;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us
270;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? b. human rights organizations are allowed to operate without <state or government> interference;'United States': [0.68, 0.23, 0.03, 0.03, 0.03], 'Britain': [0.6868686868686869, 0.24242424242424243, 0.04040404040404041, 0.020202020202020204, 0.010101010101010102];['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not too important
(D) Not important at all
(E) DK/Refused";GAS;0.68;0.6868686868686869;Very important;Very important;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Somewhat important;Somewhat important;5.0;0.8163265306122449;0.8163265306122449;0.8163265306122449;;;0.8163265306122449;0.9254574;0.9999999
271;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Japan;'United States': [0.23333333333333334, 0.5444444444444444, 0.14444444444444443, 0.07777777777777778, 0.0], 'Britain': [0.16666666666666666, 0.7307692307692307, 0.07692307692307693, 0.02564102564102564, 0.0];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0.5444444444444444;0.7307692307692307;Somewhat favorable;Somewhat favorable;O. Regions and countries;5.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Somewhat favorable;Very favorable;5.0;1.0;0.8144329896907216;1.0;;;0.8144329896907216;0.4755392;1.0
272;Turning to China, overall do you think that China's growing economy is a good thing or a bad thing for our country?;'United States': [0.5384615384615384, 0.46153846153846156], 'Britain': [0.6705882352941176, 0.32941176470588235];['Good', 'Bad'];"(A) Good
(B) Bad";GAS;0.5384615384615384;0.6705882352941176;Good;Good;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Bad;Bad;2.0;0.0;0.0;0.0;;;0.0;0.89427966;1.0000002
273;Compared to 20 years ago, do you think religion has a more important role in your country, a less important role, or do you think there has been no change?;'United States': [0.18811881188118812, 0.5742574257425742, 0.2079207920792079, 0.0297029702970297], 'Britain': [0.21, 0.52, 0.21, 0.06];['A more important role', 'A less important role', 'No change', 'DK/Refused'];"(A) A more important role
(B) A less important role
(C) No change
(D) DK/Refused";GAS;0.5742574257425742;0.52;A less important role;A less important role;B. Religion and spirituality;4.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;A less important role;A less important role;4.0;1.0;1.0;1.0;;;1.0;1.0000004;1.0000002
274;I'd like to ask your opinion about some international issues.Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...The Islamic militant group in Iraq and Syria known as ISIS;'United States': [0.6938775510204082, 0.21428571428571427, 0.05102040816326531, 0.04081632653061224], 'Britain': [0.6875, 0.21875, 0.0625, 0.03125];['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];"(A) Very concerned
(B) Somewhat concerned
(C) Not too concerned
(D) Not at all concerned";GAS;0.6938775510204082;0.6875;Very concerned;Very concerned;G. International affairs;4.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Not too concerned;Not too concerned;4.0;0.5238095238095238;0.5238095238095238;0.5238095238095238;;;0.5238095238095238;0.8220845;1.0
275;Do you think a lack of job opportunities is a very big problem, a moderately big problem, a small problem or not a problem at all in our country?;'United States': [0.7171717171717171, 0.2222222222222222, 0.04040404040404041, 0.020202020202020204], 'Britain': [0.7171717171717171, 0.2222222222222222, 0.050505050505050504, 0.010101010101010102];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0.7171717171717171;0.7171717171717171;Very big problem;Very big problem;N. Economy and work;4.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Moderately big problem;Moderately big problem;4.0;0.7674418604651163;0.7674418604651163;0.7674418604651163;;;0.7674418604651163;0.8669882;1.0000002
276;For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs – a lot of confidence, some confidence, not too much confidence, or no confidence at all. e. French President Emmanuel Macron;'United States': [0.09, 0.49, 0.28, 0.1, 0.04], 'Britain': [0.06930693069306931, 0.42574257425742573, 0.2376237623762376, 0.19801980198019803, 0.06930693069306931];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all', 'DK/Refused'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all
(E) DK/Refused";GAS;0.49;0.4257425742574257;Some confidence;Some confidence;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(B), 7.;(C), 7;Some confidence;Some confidence;5.0;1.0;1.0;1.0;;;1.0;0.52703;0.99999994
277;When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? b. Universities;'United States': [0.14, 0.33, 0.35, 0.14, 0.03, 0.01], 'Britain': [0.1111111111111111, 0.40404040404040403, 0.2828282828282828, 0.08080808080808081, 0.010101010101010102, 0.1111111111111111];['The best', 'Above average', 'Average', 'Below average', 'The worst', 'DK/Refused'];"(A) The best
(B) Above average
(C) Average
(D) Below average
(E) The worst
(F) DK/Refused";GAS;0.35;0.404040404040404;Average;Above average;N. Economy and work;6.0;Likert Scale;Economy, Health, and Environment;(C), 7.;(B), 7.;The best;Average;6.0;0.8554216867469879;1.0;0.8554216867469879;;;1.0;0.7679229;0.83468544
278;Today, which ONE of the following do you think is the world's leading economic power?;'United States': [0.25757575757575757, 0.17676767676767677, 0.025252525252525252, 0.025252525252525252, 0.0, 0.0, 0.010101010101010102, 0.5050505050505051], 'Britain': [0.155, 0.23, 0.035, 0.045, 0.005, 0.0, 0.03, 0.5];['United States', 'China', 'Japan', 'The countries of the European Union', 'Other (VOL)', 'None / There is no leading economic power (VOL)', 'DK/Refused', 'TotalN='];"(A) United States
(B) China
(C) Japan
(D) The countries of the European Union
(E) Other (VOL)
(F) None / There is no leading economic power (VOL)
(G) DK/Refused
(H) TotalN=";GAS;0.5050505050505051;0.5;TotalN=;TotalN=;N. Economy and work;8.0;Multiple Choice;Economy, Health, and Environment;(B), 9.;(B), 9.;None / There is no leading economic power (VOL);None / There is no leading economic power (VOL);8.0;0.0;0.0;0.0;;;0.0;0.99111557;1.0000002
279;Do you ever use online social networking sites like ?;'United States': [0.63, 0.37], 'Britain': [0.61, 0.39];['Yes', 'No'];"(A) Yes
(B) No";GAS;0.63;0.61;Yes;Yes;H. Internet and technology;2.0;Binary Choice;Media, Technology, and Education;(B), 6.;(B), 9.;Yes;Yes;2.0;1.0;1.0;1.0;;;1.0;0.91676134;1.0000002
280;In general, do you think your country's parents put too much pressure on their children to do well in school, not enough pressure, or about the right amount of pressure?;'United States': [0.11458333333333333, 0.6666666666666666, 0.21875], 'Britain': [0.18478260869565216, 0.3804347826086957, 0.43478260869565216];['Too much', 'Not enough', 'About the right amount'];"(A) Too much
(B) Not enough
(C) About the right amount";GAS;0.6666666666666666;0.4347826086956521;Not enough;About the right amount;L. Family and relationships;3.0;Likert Scale;Society, Culture, and Relationships;(C), 7.;(C), 7.;About the right amount;About the right amount;3.0;1.0;0.7254901960784313;1.0;;;0.7254901960784313;0.9547125;0.6565748
281;Now, thinking about some possible economic concerns for the country. Do you think that the power of financial institutions and banks pose(s) a major threat, a minor threat, or no threat to the economic well being of your country? ;'United States': [0.5591397849462365, 0.3548387096774194, 0.08602150537634409], 'Britain': [0.6701030927835051, 0.28865979381443296, 0.041237113402061855];['Major threat', 'Minor threat', 'No threat'];"(A) Major threat
(B) Minor threat
(C) No threat";GAS;0.5591397849462365;0.6701030927835051;Major threat;Major threat;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 7;(B), 7.;Major threat;Major threat;3.0;1.0;1.0;1.0;;;1.0;0.9999998;1.0
282;Which one of the religions that I name do you think of as most violent--Christianity, Islam, Judaism or Hinduism?;'United States': [0.10465116279069768, 0.813953488372093, 0.023255813953488372, 0.03488372093023256, 0.023255813953488372], 'Britain': [0.056818181818181816, 0.8522727272727273, 0.022727272727272728, 0.03409090909090909, 0.03409090909090909];['Christianity', 'Islam', 'Judaism', 'Hinduism', 'None (VOL)'];"(A) Christianity
(B) Islam
(C) Judaism
(D) Hinduism
(E) None (VOL)";GAS;0.813953488372093;0.8522727272727273;Islam;Islam;B. Religion and spirituality;5.0;Multiple Choice;Economy, Health, and Environment;(E), 10.;(B), 7.;Islam;Islam;5.0;1.0;1.0;1.0;;;1.0;0.38467175;1.0000002
283;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to work hard to get ahead in life, where 0 means not important at all and 10 means very important?;'United States': [0.0, 0.0, 0.7373737373737373, 0.0, 0.0, 0.0, 0.020202020202020204, 0.020202020202020204, 0.030303030303030304, 0.10101010101010101, 0.09090909090909091], 'Britain': [0.0, 0.0, 0.6060606060606061, 0.0, 0.0, 0.0, 0.020202020202020204, 0.020202020202020204, 0.0707070707070707, 0.15151515151515152, 0.13131313131313133];['Not important at all', 1.0, 'Very important', 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0];"(A) Not important at all
(B) 1.0
(C) Very important
(D) 2.0
(E) 3.0
(F) 4.0
(G) 5.0
(H) 6.0
(I) 7.0
(J) 8.0
(K) 9.0";GAS;0.7373737373737373;0.6060606060606061;Very important;Very important;A. Social values and attitudes;11.0;Numerical Scale;Society, Culture, and Relationships;(J), 9.;(J), 9.;9.0;Not important at all;11.0;0.3953488372093022;0.6627906976744187;0.3953488372093022;;;0.6627906976744187;0.89306325;0.9999999
284;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...French President Jacques Chirac;'United States': [0.04878048780487805, 0.25609756097560976, 0.3170731707317073, 0.2682926829268293, 0.10975609756097561], 'Britain': [0.04878048780487805, 0.4024390243902439, 0.35365853658536583, 0.1951219512195122, 0.0];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) Never heard of";GAS;0.3170731707317073;0.4024390243902439;Somewhat unfavorable;Somewhat favorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(E), 9.;(E), 9.;Very favorable;Very favorable;5.0;0.8217821782178217;0.603960396039604;0.8217821782178217;;;0.603960396039604;0.1846863;0.7626118
285;If Iran were to acquire nuclear weapons, would this represent a very serious threat to our country, a somewhat serious threat, a minor threat, or no threat at all?;'United States': [0.6020408163265306, 0.2755102040816326, 0.09183673469387756, 0.030612244897959183], 'Britain': [0.41836734693877553, 0.3163265306122449, 0.1836734693877551, 0.08163265306122448];['Very serious threat', 'Somewhat serious threat', 'Minor threat', 'No threat at all'];"(A) Very serious threat
(B) Somewhat serious threat
(C) Minor threat
(D) No threat at all";GAS;0.6020408163265306;0.4183673469387755;Very serious threat;Very serious threat;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Very serious threat;Very serious threat;4.0;1.0;1.0;1.0;;;1.0;0.9446399;0.9999999
286;Some people say that the following things are important for being truly your nationality. Others say they are not important. How important do you think each of the following is? b. to be able to speak the official language;'United States': [0.7, 0.22, 0.05, 0.03, 0.0], 'Britain': [0.801980198019802, 0.16831683168316833, 0.019801980198019802, 0.009900990099009901, 0.0];['Very important', 'Somewhat important', 'Not very important', 'Not at all important', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not very important
(D) Not at all important
(E) DK/Refused";GAS;0.7;0.801980198019802;Very important;Very important;L. Family and relationships;5.0;Likert Scale;Society, Culture, and Relationships;(B), 7;(B), 7.;Somewhat important;Somewhat important;5.0;0.8181818181818181;0.8181818181818181;0.8181818181818181;;;0.8181818181818181;0.85179394;0.9999999
287;How concerned, if at all, are you about the rise of Islamic extremism around the WORLD these days? Are you very concerned, somewhat concerned, not too concerned or not at all concerned?;'United States': [0.4842105263157895, 0.3473684210526316, 0.10526315789473684, 0.06315789473684211], 'Britain': [0.5208333333333334, 0.3541666666666667, 0.09375, 0.03125];['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];"(A) Very concerned
(B) Somewhat concerned
(C) Not too concerned
(D) Not at all concerned";GAS;0.4842105263157895;0.5208333333333334;Very concerned;Very concerned;G. International affairs;4.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Not too concerned;Not at all concerned;4.0;0.5238095238095238;0.2738095238095238;0.5238095238095238;;;0.2738095238095238;0.8560673;1.0
288;Which of these statements comes closer to your view, even if neither is exactly right? Investment from China is a good thing because it creates jobs in your country OR Investment from China is a bad thing because it gives China too much influence over domestic affairs in your country?;'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088];['Investment from China is a good thing', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Investment from China is a bad thing', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Investment from China is a good thing
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Investment from China is a bad thing
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) DK/Refused
(H) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(I) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0.54;0.350253807106599;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;9.0;Likert Scale;Politics and Governance;(H), 7.;(D), 7.;Investment from China is a good thing;Investment from China is a good thing;9.0;0.3564705882352941;0.7929411764705883;0.3564705882352941;;;0.7929411764705883;0.9423847;0.6614778
289;And finally, which comes closer to your view?Consumerism and commercialism are a threat to our culture, OR consumerism and commercialism are not a threat to our culture.;'United States': [0.48936170212765956, 0.5106382978723404], 'Britain': [0.5473684210526316, 0.45263157894736844];['Consumerism/commercialism a threat to culture', 'Consumerism/commercialism not a threat to culture'];"(A) Consumerism/commercialism a threat to culture
(B) Consumerism/commercialism not a threat to culture";GAS;0.5106382978723404;0.5473684210526316;Consumerism/commercialism not a threat to culture;Consumerism/commercialism a threat to culture;A. Social values and attitudes;2.0;Likert Scale;Society, Culture, and Relationships;(B), 7.;(B), 7.;Consumerism/commercialism a threat to culture;Consumerism/commercialism a threat to culture;2.0;1.0;0.0;1.0;;;0.0;0.61684185;0.9324637
290;Some people say that it is good to scientifically alter some fruits and vegetables because it increases crop yields to feed more people and is good for the environment.Others say it is bad to scientifically alter some fruits and vegetables because it could hurt human health and the environment.Which comes closer to your view?;'United States': [0.40217391304347827, 0.5978260869565217], 'Britain': [0.29347826086956524, 0.7065217391304348];['Good because increased crop yields', 'Bad because could hurt health and environment'];"(A) Good because increased crop yields
(B) Bad because could hurt health and environment";GAS;0.5978260869565217;0.7065217391304348;Bad because could hurt health and environment;Bad because could hurt health and environment;C. Science and technology;2.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Good because increased crop yields;Bad because could hurt health and environment;2.0;0.0;1.0;0.0;;;1.0;0.38065326;1.0000001
291;Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. b. economic issues that might destabilize the country's economy;'United States': [0.81, 0.15, 0.04], 'Britain': [0.78, 0.17, 0.05];['Media organizations should be able to publish information about these things', 'Government should be able to prevent media organizations from publishing information about these things', 'DK/Refused'];"(A) Media organizations should be able to publish information about these things
(B) Government should be able to prevent media organizations from publishing information about these things
(C) DK/Refused";GAS;0.81;0.78;Media organizations should be able to publish information about these things;Media organizations should be able to publish information about these things;D. Politics and policy;3.0;Binary Choice;Politics and Governance;(A), 9.;(B), 6.;Media organizations should be able to publish information about these things;Media organizations should be able to publish information about these things;3.0;1.0;1.0;1.0;;;1.0;0.9019845;0.9999998
292;How much confidence do you have in the healthcare system in the public to handle a future global health emergency that might occur – a great deal of confidence, some confidence, not too much confidence or no confidence at all?;'United States': [0.11, 0.44, 0.36, 0.09, 0.0], 'Britain': [0.38613861386138615, 0.43564356435643564, 0.1188118811881188, 0.04950495049504951, 0.009900990099009901];['A great deal', 'Some', 'Not too much', 'None at all', 'DK/Refused'];"(A) A great deal
(B) Some
(C) Not too much
(D) None at all
(E) DK/Refused";GAS;0.44;0.4356435643564356;Some;Some;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(B), 7;(B), 7;Some;None at all;5.0;1.0;0.6470588235294117;1.0;;;0.6470588235294117;0.9847063;1.0000002
293;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Russia;'United States': [0.019801980198019802, 0.16831683168316833, 0.33663366336633666, 0.36633663366336633, 0.10891089108910891], 'Britain': [0.04, 0.2, 0.43, 0.27, 0.06];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0.3663366336633663;0.43;Very unfavorable;Somewhat unfavorable;G. International affairs;5.0;Likert Scale;Economy, Health, and Environment;(C), 7;(C), 7;Somewhat unfavorable;Somewhat unfavorable;5.0;1.0;0.7525773195876289;1.0;;;0.7525773195876289;0.9638414;0.93289745
294;Do you think the government of Saudi Arabia respects the personal freedoms of its people, or don't you think so?;'United States': [0.13253012048192772, 0.8674698795180723], 'Britain': [0.14814814814814814, 0.8518518518518519];['Yes, respects personal freedoms', 'No, does not respect personal freedoms'];"(A) Yes, respects personal freedoms
(B) No, does not respect personal freedoms";GAS;0.8674698795180723;0.8518518518518519;No, does not respect personal freedoms;No, does not respect personal freedoms;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 9.;(B), 9.;respects personal freedoms';does not respect personal freedoms';2.0;0.0;0.0;0.0;;;0.0;0.914365;0.9999997
295;As a consequence of the war do you have more confidence or less confidence that the US is trustworthy?;'United States': [0.6236559139784946, 0.3118279569892473, 0.06451612903225806], 'Britain': [0.2553191489361702, 0.6170212765957447, 0.1276595744680851];['More', 'Less', 'Same (VOL.)'];"(A) More
(B) Less
(C) Same (VOL.)";GAS;0.6236559139784946;0.6170212765957447;More;Less;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Same (VOL.);Less;3.0;0.7333333333333334;0.7333333333333334;0.7333333333333334;;;0.7333333333333334;0.7965323;0.7012082
296;"For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs — a lot of confidence, some confidence, not too much confidence or no confidence at all. 
h. Russian President Vladimir Putin";'United States': [0.03, 0.16, 0.2, 0.58, 0.03], 'Britain': [0.06060606060606061, 0.1717171717171717, 0.25252525252525254, 0.5050505050505051, 0.010101010101010102];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all', 'DK/Refused'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all
(E) DK/Refused";GAS;0.58;0.5050505050505051;No confidence at all;No confidence at all;G. International affairs;5.0;Likert Scale;Economy, Health, and Environment;(C), 7.;(C), 7.;Not too much confidence;Some confidence;5.0;0.7452830188679246;0.5660377358490567;0.7452830188679246;;;0.5660377358490567;0.7937136;1.0
297;How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime? Are you very concerned, somewhat concerned, not too concerned or not at all concerned?;'United States': [0.27, 0.33, 0.22, 0.17, 0.0, 0.01], 'Britain': [0.37, 0.34, 0.15, 0.14, 0.0, 0.0];['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'Climate change does not exist (Vol.)', 'DK/Refused'];"(A) Very concerned
(B) Somewhat concerned
(C) Not too concerned
(D) Not at all concerned
(E) Climate change does not exist (Vol.)
(F) DK/Refused";GAS;0.33;0.37;Somewhat concerned;Very concerned;C. Science and technology;6.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Climate change does not exist (Vol.);Climate change does not exist (Vol.);6.0;0.3840579710144927;0.5144927536231884;0.3840579710144927;;;0.5144927536231884;0.7495401;0.84965384
298;According to news reports, the American government has been monitoring communications, such as emails and phone calls, in the U.S. and many other countries. In your opinion, is it acceptable or unacceptable for the American government to monitor communications from...Individuals suspected of terrorist activities?;'United States': [0.7525773195876289, 0.24742268041237114], 'Britain': [0.7291666666666666, 0.2708333333333333];['Acceptable', 'Unacceptable'];"(A) Acceptable
(B) Unacceptable";GAS;0.7525773195876289;0.7291666666666666;Acceptable;Acceptable;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Unacceptable;Unacceptable;2.0;0.0;0.0;0.0;;;0.0;0.8400794;1.0000001
299;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Illegal drugs;'United States': [0.61, 0.27, 0.1, 0.02], 'Britain': [0.6122448979591837, 0.2755102040816326, 0.10204081632653061, 0.01020408163265306];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0.61;0.6122448979591837;Very big problem;Very big problem;N. Economy and work;4.0;Likert Scale;Economy, Health, and Environment;(A), 9.;(A), 9.;Moderately big problem;Very big problem;4.0;0.7674418604651163;1.0;0.7674418604651163;;;1.0;0.7850485;1.0000002
300;Does this statement describe your country very well, somewhat well, not too well, or not well at all? d. Most people live in areas where it is dangerous to walk around at night;'United States': [0.1111111111111111, 0.32323232323232326, 0.30303030303030304, 0.24242424242424243, 0.020202020202020204], 'Britain': [0.13, 0.25, 0.33, 0.26, 0.03];['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) DK/Refused";GAS;0.3232323232323232;0.33;Somewhat well;Not too well;Q. Security;5.0;Likert Scale;Politics and Governance;(C), 7.;(C), 7.;Very well;Somewhat well;5.0;0.6153846153846154;1.0;0.6153846153846154;;;1.0;0.39357063;0.7570806
301;Do you think this is a good thing or a bad thing for your country?;'United States': [0.1044776119402985, 0.3681592039800995, 0.004975124378109453, 0.014925373134328358, 0.009950248756218905, 0.4975124378109453], 'Britain': [0.16, 0.31, 0.0, 0.02, 0.01, 0.5];['Good thing', 'Bad thing', 'Both (DO NOT READ)', 'Neither (DO NOT READ)', 'DK/Refused', 'Total N='];"(A) Good thing
(B) Bad thing
(C) Both (DO NOT READ)
(D) Neither (DO NOT READ)
(E) DK/Refused
(F) Total N=";GAS;0.4975124378109453;0.5;Total N=;Total N=;D. Politics and policy;6.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Good thing;Both (DO NOT READ);6.0;0.0;0.0;0.0;;;0.0;0.12795183;1.0000001
302;In your opinion, these days do you think there is a growing sense of Islamic identity among Muslims in our country or don't you think so? Do you think this is a good thing or a bad thing for our country?;'United States': [0.4457831325301205, 0.5542168674698795], 'Britain': [0.313953488372093, 0.686046511627907];['Good', 'Bad'];"(A) Good
(B) Bad";GAS;0.5542168674698795;0.686046511627907;Bad;Bad;B. Religion and spirituality;2.0;Likert Scale;Economy, Health, and Environment;(B), 5.;(B), 6.;Good;Good;2.0;0.0;0.0;0.0;;;0.0;0.9628345;1.0000001
303;Now, thinking about some possible economic concerns for the country. Do you think that trade unions pose(s) a major threat, a minor threat, or no threat to the economic well being of your country?;'United States': [0.29545454545454547, 0.4772727272727273, 0.22727272727272727], 'Britain': [0.25263157894736843, 0.5473684210526316, 0.2];['Major threat', 'Minor threat', 'No threat'];"(A) Major threat
(B) Minor threat
(C) No threat";GAS;0.4772727272727273;0.5473684210526316;Minor threat;Minor threat;N. Economy and work;3.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Major threat;Major threat;3.0;0.6363636363636364;0.6363636363636364;0.6363636363636364;;;0.6363636363636364;0.7183103;0.99999994
304;Now thinking about Iran, would you favor or oppose Iran acquiring nuclear weapons?;'United States': [0.03125, 0.96875], 'Britain': [0.043010752688172046, 0.956989247311828];['Favor', 'Oppose'];"(A) Favor
(B) Oppose";GAS;0.96875;0.956989247311828;Oppose;Oppose;Q. Security;2.0;Binary Choice;Politics and Governance;(B), 9.;(B), 9.;Oppose;Oppose;2.0;1.0;1.0;1.0;;;1.0;0.82684934;1.0000004
305;I am going to read you a list of possible effects of global climate change. Which one of these effects concerns you most?...Droughts or water shortages, severe weather, like floods or intense storms, long periods of unusually hot weather, rising sea levels;'United States': [0.49504950495049505, 0.15841584158415842, 0.10891089108910891, 0.16831683168316833, 0.0297029702970297, 0.039603960396039604], 'Britain': [0.33, 0.24, 0.06, 0.3, 0.01, 0.06];['Droughts or water shortages', 'Severe weather, like floods or intense storms', 'Long periods of unusually hot weather', 'Rising sea levels', 'Climate change does not exist (Vol.)', 'DK/Refused'];"(A) Droughts or water shortages
(B) Severe weather, like floods or intense storms
(C) Long periods of unusually hot weather
(D) Rising sea levels
(E) Climate change does not exist (Vol.)
(F) DK/Refused";GAS;0.495049504950495;0.33;Droughts or water shortages;Droughts or water shortages;N. Economy and work;6.0;Multiple Choice;Economy, Health, and Environment;(B), 7;(B), 7.;Rising sea levels;Rising sea levels;6.0;0.0;0.0;0.0;;;0.0;0.9271811;1.0000002
306;Now thinking about the situation in Iraq, do you believe that efforts to establish a stable government in Iraq will definitely succeed, probably succeed, probably fail, or definitely fail?;'United States': [0.031914893617021274, 0.44680851063829785, 0.40425531914893614, 0.11702127659574468], 'Britain': [0.02127659574468085, 0.44680851063829785, 0.4148936170212766, 0.11702127659574468];['Definitely succeed', 'Probably succeed', 'Probably fail', 'Definitely fail'];"(A) Definitely succeed
(B) Probably succeed
(C) Probably fail
(D) Definitely fail";GAS;0.4468085106382978;0.4468085106382978;Probably succeed;Probably succeed;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(C), 7;(B), 7.;Probably fail;Definitely succeed;4.0;0.7402597402597403;0.7142857142857143;0.7402597402597403;;;0.7142857142857143;0.79073024;0.9999999
307;Do you think a way can be found for Israel and an independent Palestinian state to coexist peacefully with each other, or not?;'United States': [0.5494505494505495, 0.45054945054945056, 0.0], 'Britain': [0.5842696629213483, 0.4044943820224719, 0.011235955056179775];['Yes', 'No', 'Depends (VOL)'];"(A) Yes
(B) No
(C) Depends (VOL)";GAS;0.5494505494505495;0.5842696629213483;Yes;Yes;G. International affairs;3.0;Binary Choice;Economy, Health, and Environment;(C), 6;(C), 7.;Yes;Yes;3.0;1.0;1.0;1.0;;;1.0;0.13872816;1.0000002
