question,answer_uk,answer_us,category
Corrupt business people.,Very big problem,Very big problem,N. Economy and work
Do you support or oppose using the Mexican army to fight drug traffickers?,Oppose,Support,D. Politics and policy
As a result of the earthquake and tsunami did you or members of your household...Experience electrical blackouts?,No,No,C. Science and technology
"Thinking about immigration, would you support or oppose your country ____? a. taking in refugees from countries where people are fleeing violence and war.",Support,Support,K. Immigration and migration
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. c. The U.S. hosting a summit of democratic nations.",Approve,Approve,D. Politics and policy
Please tell me if you approve or disapprove of the way President Peña Nieto is handling each of the following areas...Dealing with corruption.,Disapprove,Disapprove,D. Politics and policy
I am going to list some different political and social actions that people can take. Have you done this ...  f. given money to an organization that works on political or social issues.,Have done in the more distant past,Have done in the past year,D. Politics and policy
Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? e. terrorism.,Disapprove,Disapprove,D. Politics and policy
"And what is your next most frequent source of news about national and international issues--television, newspapers, radio, magazines, or the internet?",Newspapers,Internet,J. News habits and media
Do you think of yourself first as your nationality or first as a Hindu?,Country's People,Country's People,B. Religion and spirituality
"Here are some different political and social actions that people can take. Please indicate, for each type of action, whether: you have done this in the past year, you have done this in the more distant past, you have not done this but might do it, or you have not done this and would never, under any circumstances, do it...posted links to political stories or articles for others to read ONLINE?",Have done in the past year,Have done in the past year,B. Religion and spirituality
"As I read a list of groups and organizations, for each, please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of The Congress very good, somewhat good, somewhat bad or very bad in your country?",Very bad,Somewhat bad,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Israel.",Somewhat unfavorable,Somewhat favorable,O. Regions and countries
Would you favor or oppose further talks between India and Pakistan to try to reduce tensions between the two countries?,Favor,Favor,G. International affairs
Do you approve or disapprove of the way...Mexican President Felipe Calderón...is dealing with the new Arizona immigration law?,Neither approve nor disapprove  (DO NOT READ),Disapprove,D. Politics and policy
"(Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...Terrorism.",Moderately big problem,Very big problem,Q. Security
Do you approve or disapprove of the way Prime Minister Narendra Modi is handling relations with...China?,Disapprove,Disapprove,G. International affairs
"Do you think Russia should increase its military involvement in Syria, keep it about the same as it is now or decrease it?",Decrease,Decrease,G. International affairs
"Please indicate how much of a problem, if at all, each would be for the U.S. e. Cyberattacks from China.",Somewhat serious,Very serious,O. Regions and countries
Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas…the economy.,Disapprove,Disapprove,D. Politics and policy
Have you heard about the dispute about the publication of cartoons with the image of the prophet Muhammad?,"Yes, have heard of it","Yes, have heard of it",B. Religion and spirituality
"When it comes to whether or not to limit Chinese students studying in the U.S., do you....",Somewhat oppose limiting Chinese students,Somewhat support limiting Chinese students,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. b. Labour Party (PvdA).",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Please tell me whether you completely agree, mostly agree or completely disagree with the following statements: Children need to learn a foreign language to succeed in the world today.",Completely agree,Mostly agree,A. Social values and attitudes
Confidence in German Chancellor Gerhard Schroeder,Some confidence,Some confidence,D. Politics and policy
Use of nuclear power in Japan,Maintained at current level,Maintained at current level,C. Science and technology
"Participation in political, charitable, or religious-based volunteer organization",Have done in the more distant past,Have done in the past year,A. Social values and attitudes
Approval of Barack Obama's handling of Arizona immigration law,Approve,Approve,D. Politics and policy
Importance of religious minorities practicing their religion freely,Very important,Very important,B. Religion and spirituality
Opinion on people having a better life now despite inequality,Mostly agree,Mostly agree,A. Social values and attitudes
Priority of preventing and treating HIV/AIDS,A very important priority,One of the most important priorities,C. Science and technology
Closeness of following news about other countries,Somewhat closely,Somewhat closely,J. News habits and media
Associating honesty with Americans,Yes,Yes,A. Social values and attitudes
Views on refugees,Statement 1,Statement 1,K. Immigration and migration
Responsibility to combat terrorism around the world,Favor,Favor,Q. Security
Approval of Dilma Rousseff's handling of the economy,Disapprove,Disapprove,D. Politics and policy
Second most responsible for Muslim nations' lack of prosperity,Lack of democracy,Corruption in the governments of Muslim nations,B. Religion and spirituality
Associating generosity with Muslims,Yes,Yes,B. Religion and spirituality
Importance of owning a cell phone,Very important,Very important,C. Science and technology
Importance of women having the same rights as men,Very important,Very important,I. Gender and LGBTQ
Support for EU membership referendum,Support,Oppose,D. Politics and policy
Opinion on the U.S. influencing the internal affairs of other countries,Tries to influence the internal affairs of other countries,Tries to influence the internal affairs of other countries,D. Politics and policy
Support for increasing foreign aid to developing countries,Support,Support,D. Politics and policy
State's responsibility to take care of very poor people,Completely agree,Mostly agree,D. Politics and policy
Importance of women having the same rights as men,Very important,Very important,I. Gender and LGBTQ
"State should protect the country economically, even if other friendly nations object",Mostly agree,Completely agree,D. Politics and policy
"Is your overall opinion of Pope Francis very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable?. These are the options: ['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of (VOL)', ""Can't rate (VOL)""]",Somewhat favorable,Somewhat favorable,B. Religion and spirituality
"On a scale of 0 to 10 how satisfied are you with each of the following items, where 0 means you are very dissatisfied and 10 means you are very satisfied?...The safety of your neighborhood.",7.0,7.0,Q. Security
"(Now I'd like to ask your views about some political leaders in our country.) Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Sonia Gandhi?",DK/Refused,DK/Refused,D. Politics and policy
"Do you personally believe that homosexuality is morally acceptable, morally unacceptable, or is it not a moral issue?",Morally acceptable,Morally acceptable,A. Social values and attitudes
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...South Africa.",Somewhat favorable,Somewhat favorable,O. Regions and countries
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? d. charismatic.,No,Yes,D. Politics and policy
"Now I’d like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Elba Esther Gordillo ?",DK/Refused,DK/Refused,D. Politics and policy
"Who do you think is mostly to blame for this (that relations between Muslims and people in Western countries are generally bad), Muslims or people in Western countries?",People in Western countries/Christians,Both (VOL),A. Social values and attitudes
"And over the next 12 months do you expect your personal economic situation to improve a lot, improve a little, remain the same, worsen a little or worsen a lot?",Remain the same,Improve a little,N. Economy and work
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of ____ very good, somewhat good, somewhat bad or very bad in your country? e. court system.",Somewhat good,Somewhat good,D. Politics and policy
"How concerned are you about North Korea having nuclear weapons — very concerned, somewhat concerned, not too concerned or not at all concerned?",Somewhat concerned,Very concerned,G. International affairs
"As a result of the U.S. military operation that killed bin Laden, do you think relations between Pakistan and the U.S. will improve, worsen or remain the same as they have been?",Remain the same,Worsen,G. International affairs
"Overall, do you think the current government is doing too much, too little, or the right amount to ensure that women have the same rights as men?",Too little,Too little,D. Politics and policy
Which of the following phrases comes closer to your point of view?...The U.S. is right to be so concerned about the threat of international terrorism OR the U.S. is over reacting to the threat of international terrorism?,The US is over reacting to the threat,The US is right to be so concerned about the threat,Q. Security
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. d. The Liberal Democrats.",Somewhat unfavorable,DK/Refused,D. Politics and policy
"Now I'd like to ask your views about some additional political leaders and organizations.  Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the Taliban?",Very unfavorable,Very unfavorable,D. Politics and policy
"When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? a. Healthcare system.",Below average,Average,D. Politics and policy
How much do you worry about the possibility of Islamic terrorism in the United States these days?,Not too worried,Somewhat worried,Q. Security
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Iceland.",Favor,Oppose,O. Regions and countries
"As I read a list of groups and organizations, please tell me how good a job each has done in responding to the impact of the March 11th earthquake and tsunami...Self Defense Force.",DK/Refused,DK/Refused,D. Politics and policy
Do you believe that groups of Arabs carried out the attacks against the United States on September 11 or don't you believe this?,Believe,Believe,G. International affairs
"Do you use a computer at your workplace, at school, at home, or anywhere else on at least an occasional basis?",Yes,Yes,C. Science and technology
Is it more important for your country to have strong economic ties with China or with the United States?,United States,United States,O. Regions and countries
"Which of the following two statements about addressing global climate change comes closer to your own views, even if neither is exactly right?","Rich countries, such as the   U.S., Japan and Germany, should do more than developing countries because they have produced most of the world's greenhouse gas emissions so far","Rich countries, such as the   U.S., Japan and Germany, should do more than developing countries because they have produced most of the world's greenhouse gas emissions so far",D. Politics and policy
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of...Shinzo Abe...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",Mostly favorable,Mostly favorable,O. Regions and countries
Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? g. energy policy,Disapprove,Disapprove,D. Politics and policy
"Overall, how would you describe the relationship between China and Pakistan? Is it one of cooperation, one of hostility, or neither?",One of cooperation,One of cooperation,G. International affairs
"Please indicate how much of a problem, if at all, each would be for the U.S. a. The loss of U.S. jobs to China",Somewhat serious,Very serious,N. Economy and work
"Now thinking about German trade with particular countries. Do you think increased trade with Russia would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?",Somewhat good,Somewhat bad,O. Regions and countries
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of Prime Minister Manmohan Singh very good, somewhat good, somewhat bad or very bad in your country?",Somewhat good,Can't rate (VOL),D. Politics and policy
"How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? c. women have the same rights as men",Very important,Very important,A. Social values and attitudes
"Generally speaking, how much do you think the United States can trust Britain...a great deal, a fair amount, not too much, or not at all?",Great deal,Great deal,G. International affairs
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. a. People's Party (PP)",Somewhat favorable,Can't rate (VOL),D. Politics and policy
Has each of the following gotten better or worse over the last five years in our country: the availability of modern medicines and treatments,Better,Better,C. Science and technology
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. y. shortages of basic goods",Small problem,Small problem,N. Economy and work
"I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs, a great deal, a fair amount, not too much or none at all?...Prime Minister/Chancellor/President of country",Fair amount,Fair amount,D. Politics and policy
"Generally speaking, how much do you think your country can trust…South Korea...a great deal, a fair amount, not too much or not at all?",Fair amount,Fair amount,G. International affairs
"What country in the world, if any, represents the greatest danger to the United States?",Russia,China,O. Regions and countries
"(As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...The police",Somewhat good,Somewhat good,M. Race and ethnicity
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Greedy...Do you associate this with the Chinese people or not?,No,No,A. Social values and attitudes
"When foreigners buy your country companies, do you think this has a very good, somewhat good, somewhat bad, or a very bad impact on our country?",Somewhat bad,Somewhat bad,N. Economy and work
"I am going to read you the same list.  Does...the military is under the control of civilian leaders...describe our country very well, somewhat well, not too well or not well at all?",Very well,Very well,D. Politics and policy
Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will seek international approval before using military force or don't you think so?,Will,Will not,D. Politics and policy
"How much confidence do you have in U.S. President Barack Obama to do the right thing regarding world affairs – a lot of confidence, some confidence, not too much confidence or no confidence at all?",Some confidence,A lot of confidence,D. Politics and policy
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of Prime Minister Recep Tayyip Erdogan very good, somewhat good, somewhat bad or very bad in your country?",Somewhat bad,Somewhat bad,O. Regions and countries
"I'd like you to rate some different groups of people in your country according to how you feel about them. Please tell me whether your opinion of them is very favorable, mostly favorable, mostly unfavorable or very unfavorable. c. Muslims.",Mostly favorable,Mostly favorable,B. Religion and spirituality
"Overall do you think the United States' influence in our country is growing, decreasing, or staying about the same?",Staying about the same,Staying about the same,O. Regions and countries
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Sophisticated...Do you associate this with the Chinese people or not?,Yes,Yes,M. Race and ethnicity
Some people have considered not buying American products to protest U.S. policies.  Have you seriously considered not buying American products or haven't you given it serious thought?,Haven't seriously thought about,Haven't seriously thought about,D. Politics and policy
"How reliable of an ally is…Britain? Is…Britain...very reliable, somewhat reliable, not too reliable or not at all reliable as an ally?",Very reliable ally,Very reliable ally,G. International affairs
Japanese Prime Minister Koizumi has visited and paid tribute at the Yasukuni Shrine every year since taking office. Do you support or oppose PM Koizumi's visit to the Yasukuni Shrine?,Oppose,Oppose,D. Politics and policy
Which of these characteristics do you associate with Muslims?...Violent...Do you associate this with Muslims or not?,No,No,M. Race and ethnicity
Are you more optimistic or more pessimistic these days that the Middle East region will become more democratic?,More pessimistic,More pessimistic,G. International affairs
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of the military very good, somewhat good, somewhat bad or very bad in your country?",Somewhat good,Somewhat good,D. Politics and policy
"Turning to another subject, would you say you are very excited, somewhat excited, not too excited or not at all excited about the 2010 World Cup soccer tournament?",Very excited,Not too excited,O. Regions and countries
"Does our government cooperate too much, not enough, or about the right amount with the United States government?",About right,About right,D. Politics and policy
"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? b. a democratic system where representatives elected by citizens decide what becomes law.",Very good,Very good,D. Politics and policy
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the calls for political change in countries such as Egypt, Tunisia, Bahrain and Libya.",Approve,Approve,D. Politics and policy
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. n. poverty.",Very big problem,Very big problem,N. Economy and work
I'm going to read you a list of things the US might do to combat extremist groups in Pakistan. Please tell me whether you would support or oppose...providing financial and humanitarian aid to areas where extremist groups operate.,Oppose,Support,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Nigeria.",Somewhat unfavorable,Somewhat unfavorable,O. Regions and countries
Please tell me whether you think the following describes U.S. president Joe Biden. Do you think of Joe Biden as Arrogant?,No,DK/Refused,D. Politics and policy
Let's start by thinking about the growing ties between the economies of your country and other countries. Do you think the trend toward a global economy is a good thing or a bad thing for our country?,Good,Good,G. International affairs
Which of these characteristics do you associate with Americans? Do you associate optimistic with Americans or not?,Yes,Yes,A. Social values and attitudes
"Overall, do you think current economic ties between the U.S. and China are very good, somewhat good, somewhat bad or very bad?",Somewhat bad,Somewhat bad,O. Regions and countries
"In general, do you strongly support, somewhat support, somewhat oppose, or strongly oppose the anti-government protests, such as those in Gezi Park?",Somewhat support,Somewhat support,D. Politics and policy
"For each of the following issues, how likely are you personally to take political action on it, such as contact an elected official or participate in a demonstration? b. government corruption.",Somewhat likely,Very likely,D. Politics and policy
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. a. the economy.,DK/Refused,DK/Refused,D. Politics and policy
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. f. U.S. negotiations with North Korean leader Kim Jong-Un about the country's nuclear weapons program.",Disapprove,Approve,D. Politics and policy
Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas...personal freedoms.,Disapprove,Disapprove,D. Politics and policy
Overall do you think that India's growing economy is a good thing or a bad thing for our country?,Good,Good,N. Economy and work
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To be able to travel?",Very important,Very important,O. Regions and countries
"Thinking about yourself, how confident are you that you will have an adequate standard of living in your old age - very confident, somewhat confident, not too confident, not confident at all?",Somewhat confident,Somewhat confident,N. Economy and work
"For each of the following issues, how likely are you personally to take political action on it, such as contact an elected official or participate in a demonstration? a. poor quality schools.",Somewhat likely,Very likely,D. Politics and policy
"I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to know the right people to get ahead in life, where 0 means not important at all and 10 means very important?",8.0,9.0,N. Economy and work
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. dd. corrupt police officers.",Moderately big problem,Very big problem,D. Politics and policy
"(For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs — a lot of confidence, some confidence, not too much confidence or no confidence at all.)...Japanese Prime Minister Shinzo Abe.",Some confidence,Some confidence,D. Politics and policy
"Now I'd like to ask your views about some additional political leaders and organizations.  Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Nawaz Sharif.",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Thinking about your country's future, how important is it that: d. the military is under the control of civilian leaders?",Very important,Very important,D. Politics and policy
How serious of a threat is...China to our country?,Somewhat serious threat,Very serious threat,G. International affairs
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with Ukraine.,Disapprove,Disapprove,D. Politics and policy
Which one of these poses the second greatest threat to the world?,Pollution and other environmental problems,Spread of nuclear weapons,Q. Security
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion:d. Ayman Nour.",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"What kind of influence the group is having on the way things are going in your country. Is the influence of ____ very good, somewhat good, somewhat bad or very bad in your country? c. media - television, radio, newspapers, magazines.",Somewhat bad,Very bad,J. News habits and media
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Ukraine.",Favor,Oppose,O. Regions and countries
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Lithuanians.",Mostly favorable,Mostly favorable,E. Demographics
"How much, if anything, have you heard about the new Arizona immigration law - a lot, a little, or nothing at all?",A little,A lot,K. Immigration and migration
Do you think it's a good thing or a bad thing that people from the Middle East and North Africa come to live and work in this country?,Good,Bad,K. Immigration and migration
"Over the past five years do you think ____ in India has gotten much better, somewhat better, somewhat worse, or much worse? g. prices of goods and services.",Somewhat worse,Somewhat worse,N. Economy and work
And which should be the second most important priority?,Health care,Education,P. Methodological research
As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision to keep U.S. troops in Bosnia and Kosovo.,Disapprove,Approve,D. Politics and policy
"Starting in late 1989, we changed from a country where there was just one party to a country with a multiparty system. Overall, do you strongly approve, approve, disapprove or strongly disapprove of this change in your country?",Strongly approve,Strongly approve,D. Politics and policy
"I'm going to read you a list of issues that human rights organizations in your country might work on. As I read each one, please tell me how much of a priority you think it should be for these organizations - a top priority, important but lower priority, not too important or should human rights organizations in your country not work on this issue. d. promoting a clean environment.",Important but lower priority,Top priority,A. Social values and attitudes
"I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: fast food or convenience food?",Change for the worse,Not much difference,A. Social values and attitudes
"Here is a list of several statements about the role of religion here and elsewhere. For each statement, please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the statement...Religious leaders should play a larger role in politics.",Mostly disagree,Mostly disagree,B. Religion and spirituality
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of…Sony...",Mostly favorable,Very favorable,O. Regions and countries
Do you think the world would be a safer place or more dangerous place if there was another country that was equal in power to the United States?,More dangerous,More dangerous place,G. International affairs
(Please tell me if you approve or disapprove of the way President Pena Nieto is handling each of the following areas.)...Energy reform.,Disapprove,Disapprove,D. Politics and policy
How much of a danger is the current government in...Iraq to stability in the Middle East and world peace?,Moderate danger,A great danger,G. International affairs
"I'd like your opinion about some possible international concerns. Do you think that a large number of refugees leaving countries such as Iraq and Syria is a major threat, a minor threat or not a threat to your country?",Major threat,Minor threat,K. Immigration and migration
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. b. the refugee issue.,DK/Refused,DK/Refused,D. Politics and policy
Please tell me if you approve or disapprove of the way President Peña Nieto is handling each of the following areas...Dealing with organized crime and drug traffickers.,Disapprove,Disapprove,D. Politics and policy
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. b. The U.S. rejoining the World Health Organization.",Approve,Approve,D. Politics and policy
"I'd like your opinion about some possible international concerns for your country. Do you think that Iran's nuclear program is a major threat, a minor threat or not a threat to your country?",Major threat,Minor threat,G. International affairs
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Canada.",Very favorable,Very favorable,O. Regions and countries
"Now thinking about standards for products and services...In general, do you trust European standards or American standards more when it comes to environmental safety?",European standards,American standards,O. Regions and countries
Do you think most Muslims in our country today want to adopt your country’s customs and way of life or do you think that they want to be distinct from the larger society?,Both (VOL),Both (VOL),A. Social values and attitudes
Do you think the European Union promotes prosperity?,Yes,DK/Refused,O. Regions and countries
"Now thinking about China, do you think relations between China and the U.S. have improved in recent years, or don't you think so?","No, have not improved","No, have not improved",G. International affairs
"Which is more important to you...That Tunisia has a democratic government even if there is some risk of political instability, or that Tunisia has a stable government, even if there is a risk it will not be fully democratic?","That (survey country) has a democratic government, even if there is some risk of political instability","That (survey country) has a stable government, even if there is a risk it will not be fully democratic",D. Politics and policy
"Based on what you have heard or read, which of the following, if any, is doing the most to help stop the violence in Darfur?",United Nations,United States,G. International affairs
"Thinking about your country as a whole, do you think this country is now more united or more divided than before the coronavirus outbreak?",More divided,More divided,D. Politics and policy
"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? c. a system in which a strong leader can make decisions without interference from parliament or the courts.",Very bad,Very bad,D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the people of the (dominant country in region).",Somewhat favorable,Somewhat favorable,O. Regions and countries
Do you think it's a good thing or a bad thing that people from other countries within the European Union come to live and work in this country?,Good,Bad,K. Immigration and migration
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of...Haruki Murakami...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?",Mostly favorable,Can't rate (VOL),O. Regions and countries
Which of these characteristics do you associate with the Chinese? Do you associate ____ with the Chinese or not? d. nationalistic.,"Yes, associate","Yes, associate",O. Regions and countries
Which country does the most to help countries that have experienced natural disasters?,Britain,United States,O. Regions and countries
I am going to read a list of things that have happened recently. Did The re-election of President George W Bush lead you to have a more favorable or less favorable opinion of the US?,Less favorable,No change (VOL),D. Politics and policy
"Thinking about the future, if you had to choose, which of the following scenarios would be better for the world?",Neither (DO NOT READ),The U.S. is the world’s leading power,P. Methodological research
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Islamic Jihad.",Very unfavorable,Very unfavorable,B. Religion and spirituality
"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? g. a large number of refugees leaving countries such as Iraq and Syria.",Major threat,Major threat,G. International affairs
How do you see the US led war on terrorism - do you think the US is taking into account the interests of its allies in the fight against terrorism or do you think the US is acting mainly on its own interests?,Acting mainly on its own interests,Taking into account the interests of its allies,D. Politics and policy
"And what about the different products that are now available from different parts of the world - do you think this is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?",Somewhat good,Very good,O. Regions and countries
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...climate change.,Approve,Approve,D. Politics and policy
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. e. U.S. increasing tariffs or fees on imported goods from other countries.",Disapprove,Disapprove,D. Politics and policy
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Russians.",Mostly favorable,Mostly favorable,O. Regions and countries
"I am going to read you the same list.  Does...the media can report the news without (state or government) censorship...describe our country very well, somewhat well, not too well or not well at all?",Somewhat well,Very well,D. Politics and policy
"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? f. cyberattacks from other countries.",Major threat,Major threat,O. Regions and countries
"In your opinion, has President Putin’s handling of the situation in Ukraine lead people in other countries to have a more favorable opinion of Russia, a less favorable opinion, or has it made no difference?",Less favorable,Less favorable,G. International affairs
"How likely are you personally to take political action on __ , such as contact an elected official or participate in a demonstration? a. poor quality schools.",Somewhat likely,Very likely,D. Politics and policy
"Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons.",Major threat,Major threat,O. Regions and countries
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. Safety of medicine.",Moderately big problem,Small problem,C. Science and technology
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Enrique Peña Nieto.",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Over the past five years do you think ____ in India has gotten much better, somewhat better, somewhat worse, or much worse? h. the situation in Kashmir.",Somewhat worse,Somewhat worse,O. Regions and countries
"Now I'd like to ask your views about some additional political leaders.  Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Rahul Gandhi.",Somewhat unfavorable,Somewhat unfavorable,D. Politics and policy
"Overall, how much influence do you think Saudi Arabia is having on the way things are going in your country?"," ""Not too much"""," ""Not too much""",O. Regions and countries
"In your opinion, should Ukraine remain one, united country, or should regions that want to leave be allowed to secede?"," ""Remain united"""," ""Remain united""",D. Politics and policy
"Immigrants in our country today want to adopt your nationality customs and way of life, or Immigrants today want to be distinct from your nationality  society."," ""Statement #2"""," ""Statement #1""",K. Immigration and migration
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems.," ""Approve"""," ""Approve""",D. Politics and policy
"In response to the situation involving Russia and Ukraine, do you support or oppose each of the following actions?...Ukraine becoming a member of NATO."," ""Support"""," ""Support""",G. International affairs
Which of the following is the most important reason why you think a free trade agreement between the U.S. and the EU would be bad for our country?," ""It would lead to job losses or a decrease in workers' wages"""," ""None of the above (VOL)""",D. Politics and policy
Who is most to blame for the violence in eastern Ukraine?," ""Russia"""," ""Russia""",G. International affairs
"Now thinking about our economic situation, how would you describe the current economic situation in your country?"," ""Somewhat good"""," ""Somewhat good""",N. Economy and work
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? e. intolerant.," ""Yes"""," ""Yes""",D. Politics and policy
Please tell me if you approve or disapprove of the way Prime Minister Viktor Orbán is handling each of the following areas. g. media.," ""Disapprove"""," ""Disapprove""",D. Politics and policy
On which step of the ladder do you feel you personally stand at the present time?," ""7.0"""," ""6.0""",D. Politics and policy
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Muslims."," ""Somewhat favorable"""," ""Somewhat favorable""",B. Religion and spirituality
"What kind of influence the group is having on the way things are going in your country. Is the influence of ____ very good, somewhat good, somewhat bad or very bad in your country? b. the military."," ""Somewhat good"""," ""Very good""",D. Politics and policy
"In general, to what extent do you think China takes into account the interests of other countries around the world in making international policy decisions?"," ""Not too much"""," ""Not too much""",O. Regions and countries
"Over the past five years do you think ____ in India has gotten much better, somewhat better, somewhat worse, or much worse? d. the gap between rich and poor."," ""Somewhat worse"""," ""Somewhat worse""",N. Economy and work
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? b. the media can report the news without <state or government> censorship."," ""Very important"""," ""Very important""",D. Politics and policy
