,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
1030,1031,2591.json,false,"Boyce gave (a lobbyists) wife a sensitive job in the treasurers office, a job Boyce admitted he only made available at their mosque.","job-accomplishments,message-machine",josh-mandel,Ohio treasurer,Ohio,republican,4.0,5.0,4.0,5.0,6.0,a television campaign ad,The general principle of Mandels explanation  that Boyce should be held accountable for his deputys actions  is an acceptable standard against which to judge elected officials. But the ad plays loose with the facts to identify Boyce with a religion he doesnt practice.
1036,1037,7781.json,false,"We had people that were getting killed (in Benghazi), we had people who are willing to risk their lives to go save them, and somebody told them to stand down.","military,terrorism",jason-chaffetz,,Utah,republican,0.0,1.0,0.0,0.0,1.0,an interview on Fox News,"Chaffetz told Fox News that ""we had people that were getting killed, we had people who are willing to risk their lives to go save them and somebody told them to stand down. ""But its clear from Hicks testimony that four Americans ""getting killed"" in Benghazi were already dead when the decision was made to keep the special forces team in Tripoli. The mortar attack was over. A Defense Department drone watched overhead in Benghazi as Libyan militia members helped Americans get to the airport. Chaffetz, however, says the team was available to go save ""people that were getting killed,"" calling the order to stand down ""sickening and depressing and disgusting. ""His office clarifies he meant that the team might have prevented additional casualties if attacks had continued  an explanation utterly missing from his national TV appearance."
1040,1041,4100.json,false,Floridas proposed Health Care Freedom Act will allow Floridians to opt out of Obamas govt. takeover of healthcare!,"health-care,legal-issues,states",mike-haridopolos,Florida Senate President,Florida,republican,0.0,3.0,1.0,1.0,0.0,a posting on Twitter,"Bottom line: All the state constitutional amendment guarantees is standing for a lawsuit against the federal government. Floridians could only ""opt out"" of the Affordable Care Acts individual mandate if the U. S.  Supreme Court rules against the supremacy of the federal law. Thats a major, gigantic if. Theres at least a remote enough chance that the court would rule in favor of Florida in a lawsuit, so Haridopolos statement doesnt warrant a Pants On Fire ruling."
1042,1043,12050.json,false,Common Core is education through Washington D.C.,education,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a GOP debate in Miami,"Trump said Common Core is ""education through Washington D. C. "" The education standards for English and math were unveiled in 2010 after state school officials, nonprofits, teachers, parents and experts settled on broad education goals. Washington was not a player in that game, although Obama has given states that have education standards a leg up when applying for grant money."
1056,1057,49.json,false,"The Z-visa that was offered in that Senate bill let everybody who's here illegally, other than criminals, stay here for the rest of their lives.",immigration,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,"a debate in Durham, N.H.","Only immigrants who meet certain requirements will be able to stay here ""for the rest of their lives. ""For instance, immigrants who have entered before January 1, 2007 are eligible to apply for Z visas. Illegal immigrants who wish to work in the U. S.  must pass a background check, pay fines, be consistently employed, and pay taxes."
1084,1085,7132.json,false,National studies are already showing the negative effects that the health care law is having on businesses and our economy. Businesses across the country are raising their prices (or) cutting jobs as a result of the added cost.,"economy,health-care,jobs,workers",pam-bondi,,Florida,republican,2.0,2.0,0.0,4.0,0.0,remarks to the Florida Chamber of Commerce,"Bondi said, ""National studies are already showing the negative effects that the health care law is having on businesses and our economy. Businesses across the country are raising their prices  (or) cutting jobs as a result of the added cost. Starting in 2014, they will have to offer their employees health insurance or pay a financial penalty to the federal government. But Bondis comments ignore two points: These requirements havent taken effect yet, and its not clear whether businesses will find themselves forced to raise prices or cut jobs. We found no credible national studies showing these widespread effects, and certainly not showing those effects right now. We dont doubt theres anxiety among some businesses over whats to come under the health care law, and maybe some are talking about whether theyll have to raise prices or cut jobs."
1089,1090,1601.json,false,"Kay Bailey Hutchison was elected state treasurer, succeeding Ann Richards. Democrats then abolished the position ... Hutchison later became a U.S. senator.","elections,government-efficiency",karl-rove,,Texas,republican,2.0,5.0,2.0,8.0,0.0,his autobiography,"It would also  offer Texans the chance to prove that they're serious about reducing the  size of their state government. How does Roves statement  shape up?As noted, he's correct that Hutchison succeeded  Richards as treasurer. Some Republicans backed  the abolition, too, and it was Hutchisons Democratic successor whose  stint in the office came to a sign-scraping close."
1091,1092,7743.json,false,We have never gone a year in Virginia -- ever -- without passing a budget -- ever.,state-budget,ken-cuccinelli,Attorney General,Virginia,republican,1.0,10.0,3.0,2.0,1.0,a speech.,"""We have never gone a year in Virginia -- ever -- without passing a budget -- ever,"" Cuccinelli said. Never, that is, except in 2001."
1092,1093,11482.json,false,Says only about 2 percent of gunsales in Virginia are not subject to background checks.,guns,thomas-norment-jr,"Minority leader, Virginia Senate",Virginia,republican,0.0,1.0,0.0,0.0,0.0,a debate.,"Norment said ""only about 2 percent"" of gun sales in Virginia are not subject to background checks. A spokesman says Norment erred, and we agree. No one knows how many guns are sold privately in Virginia or nationwide these days."
1114,1115,913.json,false,"Says a Congressional Budget Office report on spending by House Democrats in the economic stimulus concluded it ""is just not stimulus. It won't help the economy grow.""","economy,stimulus",eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,an interview on the Fox News Channel.,"If Cantor's point is that Democrats have been too optimistic in how quickly they can create jobs through infrastructure projects, the CBO data give a bit of ammunition to suggest that such projects will likely take several years to unfold. But the way Cantor said it suggests that the nonpartisan and well-regarded CBO had come out with a report that said the opposition party's proposal wouldn't work. That's a serious distortion of three pages of data that simply laid out a likely timeline of spending. Yes, coupled with other data, it is possible to make an argument that the proposed infrastructure spending won't provide an urgently needed boost to the ecomony, but that's not an argument the CBO weighs in on one way or another."
1119,1120,4184.json,false,"The U.S. wont default, because default means that you dont pay your creditors. And it takes about 10 percent of the money thats coming in right now to pay interest to bondholders.","deficit,economy",tom-price,Congressman,Georgia,republican,1.0,2.0,5.0,3.0,0.0,"an interview on CNN's ""State of the Union with Candy Crowley""","Well concede that were in relatively uncharted territory. However, independent experts suggest that simply paying debt holders while letting other federal creditors go unpaid wont keep the U. S.  from ""default"" -- either the technical or the common-sense variety. In addition, both academic experts and the Congressional Research Service agree that only paying debt holders wont be enough to keep U. S.  creditworthiness unblemished. Price downplays the real risks of default and creditworthiness in a prioritization strategy that pays debt holders at the expense of other federal credit holders."
1124,1125,12595.json,false,Says Hillary Clinton filibustered legislation to reform Fannie Mae and Freddie Mac.,"candidates-biography,housing",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a campaign statement,"In an attempt to assign responsibility for the financial crisis to Clinton, Trumps campaign accused her of filibustering legislation that would have changed how two government-backed mortgage giants were regulated. Republican leadership chose not to bring the bill before the whole Senate after it passed out of committee."
1135,1136,6299.json,false,"A study showed that President Barack Obamas health-care reforms will devastate Wisconsin by pushing people off employer-sponsored insurance, driving up premiums, increasing dependency and making 122,000 people ineligible for Medicaid.","federal-budget,health-care,medicaid,medicare,state-budget,states",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,an op-ed piece,"Our rating    In an opinion piece in the Washington Post, Walker said ""Obamacare"" will push people off employer-sponsored insurance, drive up premiums, increase dependency and make 122,000 people, including pregnant women, ineligible for Medicaid. The context of his comments is his assertion that this will ""devastate Wisconsin. Indeed, some of the numbers he attributes to the study are really estimates from his own administration."
1150,1151,5041.json,false,New Jersey taxpayers will now face the highest tolls in the country.,transportation,steve-lonegan,Conservative Activist,New Jersey,republican,1.0,2.0,2.0,0.0,0.0,an email newsletter,"With a toll hike on the Parkway and Turnpike, New Jersey now has ""the highest tolls in the country,"" according to Lonegan. Lonegan argued that New Jerseys toll burden is greater than the rest of the country. But he said ""highest tolls"" in his newsletter and there are other roads charging more per mile for drivers to head out on the highway."
1160,1161,6759.json,false,Tim Kaine announced he wants to raise taxes on everyone.,taxes,george-allen,consultant,Virginia,republican,2.0,8.0,3.0,4.0,1.0,a news release.,"Kaine, in response to a question, said he would be ""open to a proposal that would have some minimum tax level on everyone,"" but did not endorse the concept. If such a policy was enacted, it would not mean that everyone would pay higher income taxes. It would mean that the 47 percent of filers who had no income tax liability would pay something. Even if you go beyond the debate statement the Allen camp points to and look at Kaines other major tax positions -- ending the Bush era cuts for those earning more than $500,000 and eliminating some tax deductions in exchange for lowering rates -- that does not equate to a plan that would raise taxes on everyone."
1161,1162,1338.json,false,"Senate health care legislation will ""levy a new 'abortion premium' fee on Americans in the government-run plan.""",abortion,john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,the House GOP Web site,"The bill does not require a fee, or a charge above and beyond the premium cost specifically to cover abortions. And technically speaking, we don't know whether the public option will offer abortion coverage or not. Instead, it gives the Health and Human Services secretary a minimum for estimating the cost of covering abortions."
1168,1169,813.json,false,Obama raises taxes on seniors (and) hard-working families to give welfare to those who pay none.,taxes,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a Web ad,"Using the term ""welfare"" to describe refundable tax credits?Not by most people's definition. That the plan would give payments to people who pay no taxes?Only if you don't consider payroll taxes as taxes."
1171,1172,2010.json,false,Japans interest on its own debt is 25 percent of its national budget,"economy,abc-news-week",daniel-senor,Adjunct Senior Fellow for Middle Eastern Studies at Council on Foreign Relations,,republican,0.0,1.0,0.0,0.0,0.0,ABC's 'This Week',"We checked with Senor, who told us that even if we go with the 13. 7 percent, his broader point stands -- Japan's debt is not sustainable. As we said before, that's a mess we'll leave to the economists. Our goal was to see if Senor was using the correct figures, and we found that he wasn't. Even if we go with the higher of the two figures, Senor missed the target by nearly half."
1172,1173,521.json,false,"Did Obama know that Tony Rezko was saving him $300,000 on the purchase of his home?",ethics,republican-national-committee-republican,,,republican,6.0,6.0,11.0,5.0,2.0,a news release,"The GOP offers no proof that the price paid by the Obamas was anything other than a matter of negotiation, or that the Obamas would have had to pay $300,000 more if not for the Rezkos' purchase. In fact, the seller specifically confirmed that the Obamas' offer of $1. 65-million was the best offer he received on the house. Further, the seller confirmed that he did not offer the Obamas a discount on the price of the house ""on the basis of or in relation to the price offered and accepted on the lot."
1183,1184,8483.json,false,West Linn has one of the highest per capita rates of home-based businesses in the United States.,economy,julie-parrish,businesswoman,Oregon,republican,0.0,1.0,0.0,0.0,0.0,a House floor speech,"She stood by saying West Linn has ""one of the highest"" per capita ratings in Oregon, despite the fact that no one could point to specific data to back that up. And we found that no such statistics exist on a city the size of West Linn."
1185,1186,9232.json,false,Says Al Franken voted to exempt himself and Congress from enrolling in (the Affordable Care Act marketplaces).,"health-care,voting-record",mike-mcfadden,,Minnesota,republican,0.0,1.0,0.0,0.0,0.0,a TV ad,"The senator did vote against one amendment. However, he supported a different amendment that required Congress to buy marketplace insurance, and he clearly articulated his support for the idea on the Senate floor. Now he's buying his own insurance through the Minnesota exchange and voluntarily forgoing a subsidy."
1192,1193,13450.json,false,"Beyonce and Jay Z, I like them, I like them ... I get bigger crowds than they do. Its true. I get far bigger crowds.","elections,pop-culture",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"a speech in Raleigh, N.C.","Trump said, ""Beyonce and Jay Z, I like them, I like them. And you know what they do?I get bigger crowds than they do. I get far bigger crowds. ""There is no question Trump is fixated on the size of his crowds."
1198,1199,121.json,false,"Another one he should veto is the SCHIP program, which he should say 'Take the C out of, because now it's for everybody, like every other entitlement program.'",health-care,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"Dearborn, Mich.","If ""everybody"" qualified for SCHIP and McCain says, there would be no need for private health insurance, Americans would be taking home more money in their paychecks because they wouldn't have to pay premiums and the federal government would be flat-out bankrupt. But even in the complex formula for SCHIP eligibility it's easy to dream up an example of someone who wouldn't qualify. Say, a single, 25-year-old man, earning $75,000 a year. The American Heritage Dictionary defines ""everybody"" as ""every person."
1244,1245,7879.json,false,Says Democratic Party created Planned Parenthood,"history,sexuality",stephen-martin,State senator,Virginia,republican,0.0,2.0,0.0,0.0,0.0,an interview.,"Martin said that Planned Parenthood was created by the Democratic Party. Biographers of Margaret Sanger, the founder of Planned Parenthood, say she shunned political commitments and was critical of presidents from both parties."
1265,1266,1888.json,false,A major part of the climate change bill sponsored by Sens. John Kerry and Joe Lieberman was essentially written by BP.,"climate-change,corporations,energy,environment,oil-spill",mitch-mcconnell,Senate minority leader,Kentucky,republican,7.0,6.0,5.0,7.0,0.0,a Senate floor speech,"It may be revealing that one day after the statement we're checking, McConnell had toned down his description of BP's role. In a floor speech on June 10, 2010, McConnell said, ""Some favor the Kerry-Lieberman cap-and-trade bill, a significant portion of which, by the way, has been pushed by the oil company BP. ""If he'd simply said ""pushed"" the day before, he would have been pretty close to being accurate. But McConnell went much further when he said that BP had ""essentially written"" a ""major part"" of the bill."
1266,1267,11864.json,false,"Ohios credit rating is as high as you can get, AA+.",state-budget,john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,comments on Fox News,"Kasich said on Fox News that his state of Ohio earned the highest possible credit rating, at AA+. When host Hannity asked about a AAA rating, Kasich said, ""I dont think you can really get to AAA. ""In fact, you can, and 15 other states currently hold a AAA credit rating, according to S&P."
1267,1268,8231.json,false,"Says every day of a special session costs taxpayers $40,000.",government-efficiency,sal-esquivel,State representative,Oregon,republican,0.0,1.0,0.0,0.0,0.0,an opinion article,"In fact, its closer to $35,000, and thats for regular legislative sessions. Esquivel, however, was making the argument against a special session. The cost per day for that comes in at a much lower $13,000."
1270,1271,5885.json,false,Says George Flinn has been a no show at scheduled forums.,campaign-advertising,charlotte-bergmann,Candidate,Tennessee,republican,0.0,2.0,0.0,0.0,1.0,in a press release calling for debates.,
1274,1275,278.json,false,"I supported (the surge), I argued for it. I'm the only one on this stage that did.",iraq,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"a debate in Myrtle Beach, S.C.","Huckabee, who like McCain has accused fellow candidates of insufficient support for the troop surge, initially had qualms. Shortly after the surge was announced, for example, Huckabee told MSNBC's Norah O'Donnell that he wasn't sure he could support the troop increases in Iraq if it meant calling up more National Guard and Reserve forces. He now says he firmly supports Bush's military tactics in Iraq, and recently wrote in     Foreign Affairs    magazine that he would ""not withdraw U. S.  troops from Iraq any faster than General David Petraeus, the top U. S.  commander there, recommends. ""There's no doubt that McCain is the surge's most powerful advocate among the candidates, and has been from the start."
1294,12,5947.json,false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,an interview with CBN News,
1302,20,10173.json,false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income",dennis-richardson,state representative,Oregon,republican,0.0,4.0,1.0,2.0,0.0,a campaign debate,"It didnt, in other words, change the final result. The Richardson campaign did get back to us but, regardless, the information it provided doesn't hold up. Data from the two federal agencies and the state Employment Department show that both genders make more today, when their wages are adjusted for inflation, than they did when Kitzhaber was first elected in 1995."
1314,32,9727.json,false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",shelley-moore-capito,U.S. House of Representative,West Virginia,republican,1.0,1.0,0.0,0.0,0.0,a campaign ad,"Capito said ""What (Obama is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants. ""The proposal Capito is referring to is an EPA plan to cut carbon emissions in existing power plants. Those rules do not prohibit current facilities from burning coal, and even Capitos spokeswoman said the rule ""doesn't mean that every plant has to close. ""Some facilities will close down within the next decade, but many of those plants were scheduled to be retired anyway due to age and other factors. States and power companies have options to continue to utilize coal for energy, and experts said they expect coal to remain part of the national portfolio for years to come."
1322,40,5352.json,false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a speech at the CPAC conference,"Rubio mentioned a female Supreme Court Judge and then concluded, ""if you are an appellate lawyer you need to brush up on your South African law because that is how some cases apparently are going to be decided here going forward. ""Rubio was implying that Justice Ginsburg favored South African law rather than the U. S.  Constitution, and that some cases in the U. S.  might be decided based on South African law. Rubio could have poked fun atGinsburgscomments without distorting them. There is nothing in Ginsburgsinterview in which she suggested that any legal matter in the U. S.  should be decided based on anything from South African law. Ginsburg was giving advice to another country on how to draft a constitution, and she suggested examples written more recently than the U. S.  Constitution. She didnt dis the U. S.  Constitution -- she explained that it was written at a time when slavery was legal and women didnt have equal rights. In fact, Ginsburgalso heaped lots of praise on the U. S.  Constitution."
1326,44,1926.json,false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",jerry-patterson,state land commissioner,Texas,republican,1.0,1.0,1.0,3.0,0.0,a speech at the Texas Republican Party Convention,"Just two weeks ago, American hotels were the target of bombings in Jakarta that killed eight people and injured six Americans. More recently, Napolitano told CNN on May 2, 2010  the day after a sport-utility vehicle holding a bomb was found in New Yorks Times Square  that the incident was being treated as if it could be a potential terrorist attack. And on Friday, Matthew Chandler, a spokesman for the Homeland Security Department, said: The secretary speaks publicly about terrorism often, including in a speech less than 90 minutes ago to the American Constitution Society. Patterson said Friday that Napolitanos continued use of man-made disaster proves his point. The essence of his charge at the convention was that the secretary cant and wont say terrorist attack. News accounts, congressional testimony and speeches prove otherwise."
1329,47,3652.json,false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget",john-boehner,Speaker of the House of Representatives,Ohio,republican,13.0,22.0,11.0,4.0,2.0,an interview with ABC news,"If Boehner had offered a more measured assessment, he would have had a fair point about the differences between Obamas fiscal approach and that outlined by the commission. The president certainly could have gone further in embracing the recommendations of the panel he had commissioned. But he did embrace a wide variety of them, so to say bluntly, as Boehner did, that Obama ""took exactly none of his own deficit reduction commissions ideas"" is simply not correct. To one degree or another, the commissions recommendations are sprinkled throughout Obamas budget proposals, in recognizable -- if not always in identical -- form."
1334,52,8187.json,false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",ken-cuccinelli,Attorney General,Virginia,republican,1.0,10.0,3.0,2.0,1.0,a speech.,"Cuccinelli, in attacking McAuliffes ethics, says the Democrat is ""the person who invented the scheme to rent out the Lincoln Bedroom. ""McAuliffe authored a memo in early 1995 listing ways Clinton could connect with top Democratic patrons. But the original note did not mention White House sleepovers; that idea was later added in the handwriting of others. McAuliffe has always denied he came up with the scheme; Clinton in 1997 took full responsibility for the idea. No doubt, McAuliffe strongly backed the sleepovers and recommended heavy hitters that should be offered a night in the Lincoln Bedroom."
1340,58,812.json,false,Sen. Obama's campaign announced that he's choosing his cabinet.,elections,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"a rally in Bensalem, Pa.","Has Obama ""announced that he's choosing his Cabinet""?What's happening is the usual transition planning that occurs with any presidential campaign in the final days before an election."
1349,67,12056.json,false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","civil-rights,elections,terrorism",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,"an interview on ""Meet the Press""","Trump said Thomas DiMassimo, the man who rushed at him in Dayton, Ohio, ""had chatter about ISIS, or with ISIS"" in his social media posts. There is lots to offend people on DiMassimos social media posts. But there doesnt appear to be any legitimate connection between DiMassimo and ISIS. The link Trump tweeted was a hoax or an effort to troll DiMassimo. Its also unlikely that someone who really had ISIS ties and who had been arrested for threatening a presidential candidate on live television would be quickly released from custody pending trial. The police report of his arrest makes no mention of ISIS or Islamic terrorism. UPDATE, March 14, 2016: In an interview with CNN on March 13, DiMassimo ""vehemently denied belonging to ISIS. He told CNN the video was doctored and provided a link to what he said was the original footage from a protest he participated in more than a year ago. "". sharethefacts{font-family: 'Roboto', 'Helvetica', sans-serif; color: rgba(0, 0, 0, 0. 86); font-weight: 400; margin: 0px; margin-top:40px; padding: 0; background-color:#f5f5f5; padding:32px; padding-bottom:24px; display: block; margin: auto; margin:0 auto; background-color: #ffffff; width:75%; height:auto; max-width:600px; min-width:260px; box-shadow: 0 2px 2px 0 rgba(0,0,0,. 34),0 3px 1px -2px rgba(0,0,0,. 4),0 1px 5px 0 rgba(0,0,0,. 32); position: relative;}. sharethefacts . sharethefacts-header{height: 25px; margin-top: -20px; border-bottom-width: 1px; border-bottom-color: silver; border-bottom-style: solid; margin-bottom: 20px; font-size: 16px; color: rgba(0,0,0,0. 86);}. sharethefacts . sharethefacts-name{display: inline-block; float:left;}. sharethefacts . sharethefacts-name img{display: inline-block; float:left; padding-bottom: 10px; padding-right: 20px; width: 90px; height: 90px;}. sharethefacts . sharethefacts-speaker{float:left; padding-top: 10px; width:300px;}. sharethefacts . sharethefacts-speaker . sharethefacts-speaker-name{font-weight: 500; font-size: 20px; padding-bottom: 8px;}. sharethefacts . sharethefacts-speaker . sharethefacts-speaker-title{color: rgba(0,0,0,0. 54); font-size:14px;}. sharethefacts . sharethefacts-rating{padding-left:32px; float: right; width:120px; height:auto; display: inline; max-height: 200px;}. sharethefacts . sharethefacts-rating img{width: 100%; padding-bottom:24px;}. sharethefacts h1{display: inline-block; font-weight: 500; font-size: 20px; line-height: 1. 35em; -webkit-margin-before: . 35em; -webkit-margin-after: 0em; -webkit-margin-start: 0px; -webkit-margin-end: 0px;}. sharethefacts . sharethefacts-statement{margin-top: 80px; width: 100%; display: block; font-size: 16px; line-height: 26px;}. sharethefacts . sharethefacts-dateline{font-size: 14px; color: rgba(0,0,0,0. 54); font-weight: 400; margin-top: 8px;}. sharethefacts hr{border-bottom: 1px; border-left: 0px; border-right: 0px; border-top: 0px; border-style:solid; border-color:#e0e0e0; padding-top: 0px; padding-bottom: 0px;}. sharethefacts . sharethefacts-links{display:block; padding-top: 20px;}. sharethefacts a:-webkit-any-link{color: #2196f3; text-decoration: none; cursor: pointer;}. sharethefacts . sharethefacts-links a{margin-right: 32px; font-size: 14px; text-transform: uppercase; color: #2196f3; text-decoration: none; font-weight: 500;}. sharethefacts . sharethefacts-links a:hover{cursor: pointer;}. sharethefacts a :hover{cursor: pointer; text-decoration: none;}. sharethefacts ul{padding-left: 0px; display:block; padding-top: 10px; padding-bottom: 0px;}. sharethefacts li{display: inline; margin-right: 32px; font-size: 14px; text-transform: uppercase; color: #2196f3; text-decoration: none; font-weight: 500; cursor: pointer;}. sharethefacts li a{font-size: 14px; text-transform: uppercase; color: #2196f3; text-decoration: none; font-weight: 500;}. sharethefacts li a:visited{color: #2196f3;}. sharethefacts . sharethefacts-menu . sharethefacts-share{display: none; margin-top: 32px;}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-share-button{display: inline-block; height: 64px; width: 64px; border-radius: 0px; position: relative;}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-share-button . sharethefacts-share-label{position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%); font-size: 18px; color: white;}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-share-button . sharethefacts-share-label a:-webkit-any-link{color:white;}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-share-button . sharethefacts-share-label a{color:white;}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-facebook{background-color: rgb(64,94,145);}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-twitter{background-color: rgb(104,172,216);}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-google-plus{background-color: rgb(215,84,81);}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-embed-button{display: inline-block; height: 64px; width: 275px; background: #ffffff; box-shadow: 0px 0px 2px 0px rgba(0,0,0,. 12), 0px 2px 2px 0px rgba(0,0,0,. 24); border-radius: 2px; font-weight: 500; font-size: 14px; color: #2196f3; letter-spacing: 0. 5px; line-height: 16px; position: relative; margin-left: 24px;}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-embed-button . sharethefacts-embed-label{position: absolute; top: 50%; left: 50%; transform: translate(-50%, -50%);}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-embed-button . sharethefacts-embed-label a{text-decoration: none;}. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-embed-button . sharethefacts-embed-label a:visited{color: #2196f3;}. sharethefacts . sharethefacts-share . sharethefacts-embed_box{display: none; height: 300px; margin-top: 16px; width: 100%;}. sharethefacts . sharethefacts-menu li{color: rgba(0, 0, 0, 0. 87); text-transform: none; cursor: default; display: inline;}. sharethefacts . sharethefacts-menu li span{margin-right: 0px;}. sharethefacts . sharethefacts-menu li img{width: 100%; display: -webkit-flex; display: flex;}. sharethefacts . sharethefacts-menu ul. dropit-submenu{padding-top:32px; width: 100%;}. sharethefacts . sharethefacts-menu ul. dropit-submenu a{font-size: 14px; line-height: 25px; padding: 0 18px;}. sharethefacts a{}@media screen and (min-width: 650px){. sharethefacts{width: 600px;}}@media screen and (max-width: 650px){. sharethefacts . sharethefacts-rating{padding-left: 24px; float: right; width: 100px; height: auto; display: inline;}. sharethefacts . sharethefacts-name{padding-bottom: 8px;}. sharethefacts . sharethefacts-statement{clear: left;}. sharethefacts . sharethefacts-speaker{float: none; width: 100%;}. sharethefacts . sharethefacts-speaker . sharethefacts-speaker-name{font-size: 14px;}}@media screen and (max-width: 460px){. sharethefacts . sharethefacts-menu . sharethefacts-share . sharethefacts-embed-button{margin-top: 24px; margin-left: 0px; width: 100%;}. sharethefacts . sharethefacts-name{padding-bottom: 20px;}. sharethefacts . sharethefacts-speaker{float: none;}. sharethefacts . sharethefacts-speaker . sharethefacts-speaker-name{font-size: 14px;}}@media screen and (max-width: 364px){. sharethefacts{padding: 24px; display: block; margin: auto; margin: 0 auto; background-color: #ffffff; width: 75%; height: auto; max-width: 600px; min-width: 260px; box-shadow: 0 2px 2px 0 rgba(0,0,0,. 14),0 3px 1px -2px rgba(0,0,0,. 2),0 1px 5px 0 rgba(0,0,0,. 12); position: relative;}. sharethefacts . sharethefacts-rating{padding-left: 24px; float: right; width: 90px; height: auto; display: inline;}. sharethefacts . sharethefacts-name{float: left;}. sharethefacts . sharethefacts-name img{float: left;}. sharethefacts . sharethefacts-speaker . sharethefacts-speaker-title{font-size: 9px;}. sharethefacts . sharethefacts-statement{font-size: 16px; line-height: 24px;}}  Share The Facts   Donald Trumppresidential candidate     Says the man who rushed the stage at him in Dayton, Ohio, ""had chatter about ISIS, or with ISIS"" in his social media posts."
1360,78,9165.json,false,Says Charlie Crist supports cuts to the Medicare Advantage program.,"health-care,medicare",republican-party-florida,,,republican,10.0,6.0,6.0,6.0,4.0,a Facebook post,"The Republican Party of Florida said Crist supports ""cuts to the Medicare Advantage program. ""Crist has flip-flopped on a lot of issues, including the federal health care law. He used to oppose the Affordable Care Act, but now he supports it. The law tries to bring down future health care costs by reducing Medicare Advantage payments. But on the issue of Medicare Advantage, Crist has actually been consistent: He's been critical of the Medicare Advantage cuts for years. He specifically said he opposed the reductions in 2009 and 2010, and he still opposes them today. Crist doesnt appear to have come up with other ways to save money on health care without reducing payments to Medicare Advantage."
1365,83,8755.json,false,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"terrorism,transportation",karl-rove,,Texas,republican,2.0,5.0,2.0,8.0,0.0,"comments on ""Fox News Sunday""","Rove said that the coverage of Christie pales ""in significance"" to the coverage of Benghazi. When news of the attacks on Benghazi broke, coverage was widespread, and it continued through congressional hearings. Moreover, a lot of the coverage questioned the administrations narrative and response to the attacks. Indeed, Christie has occupied much of the conversation, but it was also in a relatively slow news week. Benghazi garnered significant coverage, even during the height of the presidential election. Perhaps the outcome of those reports didnt unearth the conspiracy conservatives alleged and hoped for. More is still likely to come out, and Republicans continue to keep it in the news. But to insinuate the mainstream media ignored the attacks while putting Christie through the ringer goes too far."
