,prompts
122,"Some people claim that the goal of politics should be the pursuit of an ideal. Others argue that the goal should be finding common ground and reaching reasonable consensus.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
123,"The best way to solve environmental problems caused by consumer-generated waste is for towns and cities to impose strict limits on the amount of trash they will accept from each household.
Write a response in which you discuss the extent to which you agree or disagree with the claim. In developing and supporting your position, be sure to address the most compelling reasons and/or examples that could be used to challenge your position."
124,"We learn our most valuable lessons in life from struggling with our limitations rather than from enjoying our successes.
Write a response in which you discuss the extent to which you agree or disagree with the claim. In developing and supporting your position, be sure to address the most compelling reasons and/or examples that could be used to challenge your position."
125,"Claim: While boredom is often expressed with a sense of self-satisfaction, it should really be a source of embarrassment.
Reason: Boredom arises from a lack of imagination and self-motivation.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
126,"Some people believe that the most important qualities of an effective teacher are understanding and empathy. Others believe that it is more important for teachers to be rigorous and demanding in their expectations for students.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
127,"Claim: Though often considered an objective pursuit, learning about the historical past requires creativity.
Reason: Because we can never know the past directly, we must reconstruct it by imaginatively interpreting historical accounts, documents, and artifacts.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which the claim is based."
128,"Claim: No act is done purely for the benefit of others.
Reason: All actions — even those that seem to be done for other people — are based on self-interest.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
129,"To understand the most important characteristics of a society, one must study its major cities.
Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position."
130,"Educational institutions have a responsibility to dissuade students from pursuing fields of study in which they are unlikely to succeed.
Write a response in which you discuss the extent to which you agree or disagree with the claim. In developing and supporting your position, be sure to address the most compelling reasons and/or examples that could be used to challenge your position."
131,"Scandals are useful because they focus our attention on problems in ways that no speaker or reformer ever could.
Write a response in which you discuss the extent to which you agree or disagree with the claim. In developing and supporting your position, be sure to address the most compelling reasons and/or examples that could be used to challenge your position."
132,"Claim: Governments must ensure that their major cities receive the financial support they need in order to thrive.
Reason: It is primarily in cities that a nation's cultural traditions are preserved and generated.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
133,"Some people believe that government funding of the arts is necessary to ensure that the arts can flourish and be available to all people. Others believe that government funding of the arts threatens the integrity of the arts.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
134,"Claim: In any field — business, politics, education, government — those in power should step down after five years.
Reason: The surest path to success for any enterprise is revitalization through new leadership.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
135,"In any field of endeavor, it is impossible to make a significant contribution without first being strongly influenced by past achievements within that field.
Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position."
136,"Nations should pass laws to preserve any remaining wilderness areas in their natural state, even if these areas could be developed for economic gain.
Write a response in which you discuss your views on the policy and explain your reasoning for the position you take. In developing and supporting your position, you should consider the possible consequences of implementing the policy and explain how these consequences shape your position."
137,"People's behavior is largely determined by forces not of their own making.
Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position."
138,"Governments should offer a free university education to any student who has been admitted to a university but who cannot afford the tuition.
Write a response in which you discuss your views on the policy and explain your reasoning for the position you take. In developing and supporting your position, you should consider the possible consequences of implementing the policy and explain how these consequences shape your position."
139,"Claim: In any situation, the best way to persuade other people is to present them with facts and statistics rather than with emotional arguments.
Reason: Facts are objective, so they are more persuasive than subjective appeals.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
140,"Some people believe that success in creative fields, such as painting, fiction writing, and filmmaking, primarily requires hard work and perseverance. Others believe that such success mainly requires innate talents that cannot be learned.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
141,"In business, education, and government, it is always appropriate to remain skeptical of new leaders until those leaders show that they are worthy of trust.
Write a response in which you discuss the extent to which you agree or disagree with the claim. In developing and supporting your position, be sure to address the most compelling reasons and/or examples that could be used to challenge your position."
142,"Claim: Group assignments that students must work together to complete should replace a substantial amount of traditional lecture-based instruction in college and university courses.
Reason: It is vital for students to gain experience collaborating with peers to study a topic and to achieve a common goal.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
143,"Universities should require every student to take a variety of courses outside the student's field of study.
Write a response in which you discuss the extent to which you agree or disagree with the claim. In developing and supporting your position, be sure to address the most compelling reasons and/or examples that could be used to challenge your position."
144,"A nation should require all of its students to study the same national curriculum until they enter college.
Write a response in which you discuss your views on the policy and explain your reasoning for the position you take. In developing and supporting your position, you should consider the possible consequences of implementing the policy and explain how these consequences shape your position."
145,"Educational institutions should actively encourage their students to choose fields of study that will prepare them for lucrative careers.
Write a response in which you discuss the extent to which you agree or disagree with the claim. In developing and supporting your position, be sure to address the most compelling reasons and/or examples that could be used to challenge your position."
146,"Some people believe that in order to be effective, political leaders must yield to public opinion and abandon principle for the sake of compromise. Others believe that the most essential quality of an effective leader is the ability to remain consistently committed to particular principles and objectives.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
147,"Formal education tends to restrain our minds and spirits rather than set them free.
Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position."
148,"The well-being of a society is enhanced when many of its people question authority.
Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position."
149,"Governments should focus on solving the immediate problems of today rather than on trying to solve the anticipated problems of the future.
Write a response in which you discuss the extent to which you agree or disagree with the recommendation and explain your reasoning for the position you take. In developing and supporting your position, describe specific circumstances in which adopting the recommendation would or would not be advantageous and explain how these examples shape your position."
150,"Some people believe that college students should consider only their own talents and interests when choosing a field of study. Others believe that college students should base their choice of a field of study on the availability of jobs in that field.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
151,"Laws should be flexible enough to take account of various circumstances, times, and places.
Write a response in which you discuss the extent to which you agree or disagree with the statement and explain your reasoning for the position you take. In developing and supporting your position, you should consider ways in which the statement might or might not hold true and explain how these considerations shape your position."
152,"Claim: The best way to understand the character of a society is to examine the character of the men and women that the society chooses as its heroes or its role models.
Reason: Heroes and role models reveal a society's highest ideals.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
153,"Some people believe that it is helpful to view a challenging situation as an opportunity for personal growth. Others believe that reimagining challenging situations this way occupies too much of the focus one needs to face challenges effectively.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
154,"Some people believe that traveling to and living in numerous places increases one's ability to relate and connect to other people. Others believe that this ability is better cultivated by living in one place and developing a deep understanding of that community.
Write a response in which you discuss which view more closely aligns with your own position and explain your reasoning for the position you take. In developing and supporting your position, you should address both of the views presented."
155,"Claim: Young people's tendency to make extensive use of portable devices like smartphones and tablets has hurt their development of social skills.
Reason: These devices encourage users to form artificial personalities and relationships online rather than fully and honestly engaging with the people around them.
Write a response in which you discuss the extent to which you agree or disagree with the claim and the reason on which that claim is based."
