;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;options_dict;score_ground_truth_answers;value_diff
275;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to work hard to get ahead in life, where 0 means not important at all and 10 means very important?;{'United States': [0.0, 0.0, 0.7373737373737373, 0.0, 0.0, 0.0, 0.020202020202020204, 0.020202020202020204, 0.030303030303030304, 0.10101010101010101, 0.09090909090909091], 'Britain': [0.0, 0.0, 0.6060606060606061, 0.0, 0.0, 0.0, 0.020202020202020204, 0.020202020202020204, 0.0707070707070707, 0.15151515151515152, 0.13131313131313133]};['Not important at all', 1.0, 'Very important', 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0];"(A) Not important at all
(B) 1.0
(C) Very important
(D) 2.0
(E) 3.0
(F) 4.0
(G) 5.0
(H) 6.0
(I) 7.0
(J) 8.0
(K) 9.0";GAS;0,737375;0,606062;Very important;Very important;A. Social values and attitudes;11.0;Numerical Scale;Society, Culture, and Relationships;(J), 9.;(J), 9.;8.0;8.0;11.0;0.4534883720930233;0.4534883720930233;0.4534883720930233;;;0.4534883720930233;0.89306325;0.868687;{'A': 'Not important at all', 'B': 1.0, 'C': 'Very important', 'D': 2.0, 'E': 3.0, 'F': 4.0, 'G': 5.0, 'H': 6.0, 'I': 7.0, 'J': 8.0, 'K': 9.0};0.868687;0.868687
276;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...French President Jacques Chirac;{'United States': [0.04878048780487805, 0.25609756097560976, 0.3170731707317073, 0.2682926829268293, 0.10975609756097561], 'Britain': [0.04878048780487805, 0.4024390243902439, 0.35365853658536583, 0.1951219512195122, 0.0]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) Never heard of";GAS;0,317074;0,402440;Somewhat unfavorable;Somewhat favorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(E), 9.;(E), 9.;Never heard of;Never heard of;5.0;0.3465346534653466;0.5643564356435644;0.3465346534653466;;;0.5643564356435644;0.1846863;0.7821782178217822;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'Never heard of'};0.7821782178217822;0.9146341463414632
277;If Iran were to acquire nuclear weapons, would this represent a very serious threat to our country, a somewhat serious threat, a minor threat, or no threat at all?;{'United States': [0.6020408163265306, 0.2755102040816326, 0.09183673469387756, 0.030612244897959183], 'Britain': [0.41836734693877553, 0.3163265306122449, 0.1836734693877551, 0.08163265306122448]};['Very serious threat', 'Somewhat serious threat', 'Minor threat', 'No threat at all'];"(A) Very serious threat
(B) Somewhat serious threat
(C) Minor threat
(D) No threat at all";GAS;0,602042;0,418368;Very serious threat;Very serious threat;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Somewhat serious threat;Somewhat serious threat;4.0;0.7294117647058823;0.7294117647058823;0.7294117647058823;;;0.7294117647058823;0.9446399;0.816326;{'A': 'Very serious threat', 'B': 'Somewhat serious threat', 'C': 'Minor threat', 'D': 'No threat at all'};0.816326;0.816326
278;Some people say that the following things are important for being truly your nationality. Others say they are not important. How important do you think each of the following is? b. to be able to speak the official language;{'United States': [0.7, 0.22, 0.05, 0.03, 0.0], 'Britain': [0.801980198019802, 0.16831683168316833, 0.019801980198019802, 0.009900990099009901, 0.0]};['Very important', 'Somewhat important', 'Not very important', 'Not at all important', 'DK/Refused'];"(A) Very important
(B) Somewhat important
(C) Not very important
(D) Not at all important
(E) DK/Refused";GAS;0,700001;0,801981;Very important;Very important;L. Family and relationships;5.0;Likert Scale;Society, Culture, and Relationships;(B), 7;(B), 7.;Somewhat important;Somewhat important;5.0;0.8181818181818181;0.8181818181818181;0.8181818181818181;;;0.8181818181818181;0.85179394;0.89802;{'A': 'Very important', 'B': 'Somewhat important', 'C': 'Not very important', 'D': 'Not at all important', 'E': 'DK/Refused'};0.89802;0.89802
280;Which of these statements comes closer to your view, even if neither is exactly right? Investment from China is a good thing because it creates jobs in your country OR Investment from China is a bad thing because it gives China too much influence over domestic affairs in your country?;{'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088]};['Investment from China is a good thing', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Investment from China is a bad thing', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Investment from China is a good thing
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Investment from China is a bad thing
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) DK/Refused
(H) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(I) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;9.0;Likert Scale;Politics and Governance;(H), 7.;(D), 7.;Investment from China is a bad thing;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;9.0;0.668235294117647;0.5635294117647058;0.668235294117647;;;0.5635294117647058;0.9423847;0.5635294117647058;{'A': 'Investment from China is a good thing', 'B': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'C': 'Many of the problems facing our country can be solved by working with other countries', 'D': 'Investment from China is a bad thing', 'E': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'F': 'Few of the problems facing our country can be solved by working with other countries', 'G': 'DK/Refused', 'H': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'I': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};0.5635294117647058;0.8102538071065989
281;And finally, which comes closer to your view?Consumerism and commercialism are a threat to our culture, OR consumerism and commercialism are not a threat to our culture.;{'United States': [0.48936170212765956, 0.5106382978723404], 'Britain': [0.5473684210526316, 0.45263157894736844]};['Consumerism/commercialism a threat to culture', 'Consumerism/commercialism not a threat to culture'];"(A) Consumerism/commercialism a threat to culture
(B) Consumerism/commercialism not a threat to culture";GAS;0,510639;0,547369;Consumerism/commercialism not a threat to culture;Consumerism/commercialism a threat to culture;A. Social values and attitudes;2.0;Likert Scale;Society, Culture, and Relationships;(B), 7.;(B), 7.;Consumerism/commercialism not a threat to culture;Consumerism/commercialism not a threat to culture;2.0;0.0;1.0;0.0;;;1.0;0.61684185;0.0;{'A': 'Consumerism/commercialism a threat to culture', 'B': 'Consumerism/commercialism not a threat to culture'};0.0;0.9632698768197088
282;Some people say that it is good to scientifically alter some fruits and vegetables because it increases crop yields to feed more people and is good for the environment.Others say it is bad to scientifically alter some fruits and vegetables because it could hurt human health and the environment.Which comes closer to your view?;{'United States': [0.40217391304347827, 0.5978260869565217], 'Britain': [0.29347826086956524, 0.7065217391304348]};['Good because increased crop yields', 'Bad because could hurt health and environment'];"(A) Good because increased crop yields
(B) Bad because could hurt health and environment";GAS;0,597827;0,706523;Bad because could hurt health and environment;Bad because could hurt health and environment;C. Science and technology;2.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Bad because could hurt health and environment;Bad because could hurt health and environment;2.0;1.0;1.0;1.0;;;1.0;0.38065326;0.891304;{'A': 'Good because increased crop yields', 'B': 'Bad because could hurt health and environment'};0.891304;0.891304
285;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Russia;{'United States': [0.019801980198019802, 0.16831683168316833, 0.33663366336633666, 0.36633663366336633, 0.10891089108910891], 'Britain': [0.04, 0.2, 0.43, 0.27, 0.06]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,366338;0,430001;Very unfavorable;Somewhat unfavorable;G. International affairs;5.0;Likert Scale;Economy, Health, and Environment;(C), 7;(C), 7;Somewhat unfavorable;Somewhat unfavorable;5.0;1.0;0.7525773195876289;1.0;;;0.7525773195876289;0.9638414;0.7525773195876289;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};0.7525773195876289;0.9363366336633664
287;As a consequence of the war do you have more confidence or less confidence that the US is trustworthy?;{'United States': [0.6236559139784946, 0.3118279569892473, 0.06451612903225806], 'Britain': [0.2553191489361702, 0.6170212765957447, 0.1276595744680851]};['More', 'Less', 'Same (VOL.)'];"(A) More
(B) Less
(C) Same (VOL.)";GAS;0,623657;0,617022;More;Less;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(B), 7.;(B), 7.;Less;Less;3.0;1.0;0.7333333333333334;1.0;;;0.7333333333333334;0.7965323;0.7333333333333334;{'A': 'More', 'B': 'Less', 'C': 'Same (VOL.)'};0.7333333333333334;0.99336536261725
289;How concerned are you, if at all, that global climate change will harm you personally at some point in your lifetime? Are you very concerned, somewhat concerned, not too concerned or not at all concerned?;{'United States': [0.27, 0.33, 0.22, 0.17, 0.0, 0.01], 'Britain': [0.37, 0.34, 0.15, 0.14, 0.0, 0.0]};['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned', 'Climate change does not exist (Vol.)', 'DK/Refused'];"(A) Very concerned
(B) Somewhat concerned
(C) Not too concerned
(D) Not at all concerned
(E) Climate change does not exist (Vol.)
(F) DK/Refused";GAS;0,330001;0,370001;Somewhat concerned;Very concerned;C. Science and technology;6.0;Likert Scale;Media, Technology, and Education;(B), 7.;(B), 7.;Somewhat concerned;Somewhat concerned;6.0;0.8695652173913043;1.0;0.8695652173913043;;;1.0;0.7495401;0.8695652173913043;{'A': 'Very concerned', 'B': 'Somewhat concerned', 'C': 'Not too concerned', 'D': 'Not at all concerned', 'E': 'Climate change does not exist (Vol.)', 'F': 'DK/Refused'};0.8695652173913043;0.96
292;Does this statement describe your country very well, somewhat well, not too well, or not well at all? d. Most people live in areas where it is dangerous to walk around at night;{'United States': [0.1111111111111111, 0.32323232323232326, 0.30303030303030304, 0.24242424242424243, 0.020202020202020204], 'Britain': [0.13, 0.25, 0.33, 0.26, 0.03]};['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) DK/Refused";GAS;0,323233;0,330001;Somewhat well;Not too well;Q. Security;5.0;Likert Scale;Politics and Governance;(C), 7.;(C), 7.;Not too well;Not too well;5.0;1.0;0.782051282051282;1.0;;;0.782051282051282;0.39357063;0.782051282051282;{'A': 'Very well', 'B': 'Somewhat well', 'C': 'Not too well', 'D': 'Not well at all', 'E': 'DK/Refused'};0.782051282051282;0.9932323232323232
294;In your opinion, these days do you think there is a growing sense of Islamic identity among Muslims in our country or don't you think so? Do you think this is a good thing or a bad thing for our country?;{'United States': [0.4457831325301205, 0.5542168674698795], 'Britain': [0.313953488372093, 0.686046511627907]};['Good', 'Bad'];"(A) Good
(B) Bad";GAS;0,554218;0,686048;Bad;Bad;B. Religion and spirituality;2.0;Likert Scale;Economy, Health, and Environment;(B), 5.;(B), 6.;Bad;Bad;2.0;1.0;1.0;1.0;;;1.0;0.9628345;0.86817;{'A': 'Good', 'B': 'Bad'};0.86817;0.86817
297;I am going to read you a list of possible effects of global climate change. Which one of these effects concerns you most?...Droughts or water shortages, severe weather, like floods or intense storms, long periods of unusually hot weather, rising sea levels;{'United States': [0.49504950495049505, 0.15841584158415842, 0.10891089108910891, 0.16831683168316833, 0.0297029702970297, 0.039603960396039604], 'Britain': [0.33, 0.24, 0.06, 0.3, 0.01, 0.06]};['Droughts or water shortages', 'Severe weather, like floods or intense storms', 'Long periods of unusually hot weather', 'Rising sea levels', 'Climate change does not exist (Vol.)', 'DK/Refused'];"(A) Droughts or water shortages
(B) Severe weather, like floods or intense storms
(C) Long periods of unusually hot weather
(D) Rising sea levels
(E) Climate change does not exist (Vol.)
(F) DK/Refused";GAS;0,495051;0,330001;Droughts or water shortages;Droughts or water shortages;N. Economy and work;6.0;Multiple Choice;Economy, Health, and Environment;(B), 7;(B), 7.;Severe weather, like floods or intense storms;Severe weather, like floods or intense storms;6.0;0.0;0.0;0.0;;;0.0;0.9271811;0.83495;{'A': 'Droughts or water shortages', 'B': 'Severe weather, like floods or intense storms', 'C': 'Long periods of unusually hot weather', 'D': 'Rising sea levels', 'E': 'Climate change does not exist (Vol.)', 'F': 'DK/Refused'};0.83495;0.83495
300;How much, if anything would you be willing to change about how you live and work to help reduce the effects of global climate change? Would you be willing to make a lot of changes, some changes, only a few changes or no changes at all?;{'United States': [0.297029702970297, 0.43564356435643564, 0.1485148514851485, 0.10891089108910891, 0.009900990099009901], 'Britain': [0.43434343434343436, 0.41414141414141414, 0.09090909090909091, 0.06060606060606061, 0.0]};['A lot of changes', 'Some changes', 'Only a few changes', 'No changes at all', 'DK/Refused'];"(A) A lot of changes
(B) Some changes
(C) Only a few changes
(D) No changes at all
(E) DK/Refused";GAS;0,435645;0,434344;Some changes;A lot of changes;N. Economy and work;5.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(D), 9.;No changes at all;Some changes;5.0;0.3695652173913043;1.0;0.3695652173913043;;;1.0;0.91037387;0.7826086956521738;{'A': 'A lot of changes', 'B': 'Some changes', 'C': 'Only a few changes', 'D': 'No changes at all', 'E': 'DK/Refused'};0.7826086956521738;0.9986998699869988
301;Which statement comes closer to your own views, even if neither is exactly right? Russia is as respected around the world as it should be OR Russia should be more respected around the world than it is?;{'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.01, 0.0, 0.0, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.0, 0.0, 0.350253807106599, 0.15228426395939088]};['Russia is as respected around the world as it should be', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Russia should be more respected around the world than it is', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'Both (DO NOT READ)', 'Neither (DO NOT READ)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Russia is as respected around the world as it should be
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) Russia should be more respected around the world than it is
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) DK/Refused
(H) Both (DO NOT READ)
(I) Neither (DO NOT READ)
(J) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(K) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;G. International affairs;11.0;Multiple Choice;Economy, Health, and Environment;(J), 7;(D), 7.;Russia should be more respected around the world than it is;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;11.0;0.0;0.0;0.0;;;0.0;0.85004133;0.0;{'A': 'Russia is as respected around the world as it should be', 'B': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'C': 'Many of the problems facing our country can be solved by working with other countries', 'D': 'Russia should be more respected around the world than it is', 'E': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'F': 'Few of the problems facing our country can be solved by working with other countries', 'G': 'DK/Refused', 'H': 'Both (DO NOT READ)', 'I': 'Neither (DO NOT READ)', 'J': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'K': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};0.0;0.8102538071065989
302;Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? a. violent;{'United States': [0.42, 0.56, 0.02], 'Britain': [0.5643564356435643, 0.38613861386138615, 0.04950495049504951]};['Yes', 'No', 'DK/Refused'];"(A) Yes
(B) No
(C) DK/Refused";GAS;0,560001;0,564357;No;Yes;A. Social values and attitudes;3.0;Binary Choice;Society, Culture, and Relationships;(B), 9.;(B), 7.;No;No;3.0;0.0;1.0;0.0;;;1.0;0.70003694;0.0;{'A': 'Yes', 'B': 'No', 'C': 'DK/Refused'};0.0;0.9956435643564358
303;Now turning to different topic, if the your country government and other leading countries cannot agree on policies to protect the global environment, which should have the final say;{'United States': [0.5934065934065934, 0.4065934065934066], 'Britain': [0.44329896907216493, 0.5567010309278351]};['(Survey Country) government', 'International organization such as the UN'];"(A) (Survey Country) government
(B) International organization such as the UN";GAS;0,593408;0,556702;(Survey Country) government;International organization such as the UN;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;International organization such as the UN;International organization such as the UN;2.0;1.0;0.0;1.0;;;0.0;0.9644588;0.0;{'A': '(Survey Country) government', 'B': 'International organization such as the UN'};0.0;0.9632944375212416
304;Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? d. tolerant;{'United States': [0.65, 0.33, 0.02], 'Britain': [0.3939393939393939, 0.5454545454545454, 0.06060606060606061]};['Yes, associate', 'No, do not associate', 'DK/Refused'];"(A) Yes, associate
(B) No, do not associate
(C) DK/Refused";GAS;0,650001;0,545456;Yes, associate;No, do not associate;A. Social values and attitudes;3.0;Likert Scale;Society, Culture, and Relationships;(A), 9.;(B), 6.;No, do not associate;Yes, associate;3.0;1.0;1.0;1.0;;;1.0;1.0000002;0.6727272727272727;{'A': 'Yes, associate', 'B': 'No, do not associate', 'C': 'DK/Refused'};0.6727272727272727;0.8954545454545454
307;When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst?d. Military;{'United States': [0.4444444444444444, 0.3434343434343434, 0.1717171717171717, 0.030303030303030304, 0.0, 0.010101010101010102], 'Britain': [0.19, 0.45, 0.21, 0.06, 0.02, 0.07]};['The best', 'Above average', 'Average', 'Below average', 'The worst', 'DK/Refused'];"(A) The best
(B) Above average
(C) Average
(D) Below average
(E) The worst
(F) DK/Refused";GAS;0,444445;0,450001;The best;Above average;D. Politics and policy;6.0;Likert Scale;Politics and Governance;(A), 9;(C), 6.;Average;The best;6.0;0.7951807228915663;1.0;0.7951807228915663;;;1.0;0.8225543;0.8554216867469879;{'A': 'The best', 'B': 'Above average', 'C': 'Average', 'D': 'Below average', 'E': 'The worst', 'F': 'DK/Refused'};0.8554216867469879;0.9944444444444444
308;Suppose a young person who wanted to leave this country asked you to recommend where to go to lead a good life - what country would you recommend?;{'United States': [0.012048192771084338, 0.0, 0.10843373493975904, 0.12048192771084337, 0.1927710843373494, 0.03614457831325301, 0.03614457831325301, 0.024096385542168676, 0.1927710843373494, 0.27710843373493976], 'Britain': [0.010526315789473684, 0.06315789473684211, 0.3263157894736842, 0.0, 0.09473684210526316, 0.06315789473684211, 0.021052631578947368, 0.0, 0.10526315789473684, 0.3157894736842105]};['China', 'United States', 'Australia', 'Britain', 'Canada', 'France', 'Germany', 'Japan', 'None', 'Other (VOL)'];"(A) China
(B) United States
(C) Australia
(D) Britain
(E) Canada
(F) France
(G) Germany
(H) Japan
(I) None
(J) Other (VOL)";GAS;0,277109;0,326317;Other (VOL);Australia;G. International affairs;10.0;Multiple Choice;Economy, Health, and Environment;(E), 7;(E), 9.;Canada;Canada;10.0;0.0;0.0;0.0;;;0.0;0.9507772;0.0;{'A': 'China', 'B': 'United States', 'C': 'Australia', 'D': 'Britain', 'E': 'Canada', 'F': 'France', 'G': 'Germany', 'H': 'Japan', 'I': 'None', 'J': 'Other (VOL)'};0.0;0.9507926442612556
309;Now I'm going to read a list of political leaders.For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Israeli Prime Minister Ariel Sharon;{'United States': [0.07954545454545454, 0.4772727272727273, 0.26136363636363635, 0.18181818181818182], 'Britain': [0.06896551724137931, 0.26436781609195403, 0.3563218390804598, 0.3103448275862069]};['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all";GAS;0,477274;0,356323;Some confidence;Not too much confidence;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(C), 7;(C), 7.;Not too much confidence;Not too much confidence;4.0;1.0;0.7934782608695652;1.0;;;0.7934782608695652;0.44057375;0.7934782608695652;{'A': 'A lot of confidence', 'B': 'Some confidence', 'C': 'Not too much confidence', 'D': 'No confidence at all'};0.7934782608695652;0.8790491118077325
310;In the period following the September 11th 2001 terrorist attacks in the U.S., the U.S. government used interrogation methods that many consider to be torture on people suspected of terrorism. In your opinion, were these interrogation methods justified or not justified?;{'United States': [0.5979381443298969, 0.38144329896907214, 0.020618556701030927], 'Britain': [0.3258426966292135, 0.651685393258427, 0.02247191011235955]};['Justified', 'Not justified', 'Depends (VOL)'];"(A) Justified
(B) Not justified
(C) Depends (VOL)";GAS;0,597939;0,651686;Justified;Not justified;D. Politics and policy;3.0;Likert Scale;Politics and Governance;(C), 6.;(B), 9.;Not justified;Depends (VOL);3.0;1.0;0.3478260869565217;1.0;;;0.3478260869565217;0.29122323;0.717391304347826;{'A': 'Justified', 'B': 'Not justified', 'C': 'Depends (VOL)'};0.717391304347826;0.94625275107147
311;Now I'm going to read a list of political leaders.For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Venezuelan President Hugo Chavez.;{'United States': [0.0410958904109589, 0.2054794520547945, 0.2328767123287671, 0.5205479452054794], 'Britain': [0.03773584905660377, 0.3584905660377358, 0.2830188679245283, 0.32075471698113206]};['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all";GAS;0,520549;0,358492;No confidence at all;Some confidence;D. Politics and policy;4.0;Likert Scale;Politics and Governance;(C), 7.;(C), 7.;Not too much confidence;Not too much confidence;4.0;0.7934782608695652;0.7065217391304348;0.7934782608695652;;;0.7065217391304348;0.7656755;0.5;{'A': 'A lot of confidence', 'B': 'Some confidence', 'C': 'Not too much confidence', 'D': 'No confidence at all'};0.5;0.8379426208322563
312;Do you think that Hamas winning the election will be helpful or harmful to a FAIR settlement of the dispute between Israel and the Palestinians?;{'United States': [0.20833333333333334, 0.7916666666666666], 'Britain': [0.32432432432432434, 0.6756756756756757]};['Helpful', 'Harmful'];"(A) Helpful
(B) Harmful";GAS;0,791668;0,675677;Harmful;Harmful;D. Politics and policy;2.0;Binary Choice;Politics and Governance;(B), 7.;(B), 7.;Harmful;Harmful;2.0;1.0;1.0;1.0;;;1.0;0.98901963;0.884009;{'A': 'Helpful', 'B': 'Harmful'};0.884009;0.884009
314;Does trade with other countries lead to an increase in the wages of your nationality workers, a decrease in wages, or does it not make a difference?;{'United States': [0.31, 0.31, 0.3, 0.08], 'Britain': [0.34, 0.15, 0.43, 0.08]};['Increase', 'Decrease', 'Does not make a difference', 'DK/Refused'];"(A) Increase
(B) Decrease
(C) Does not make a difference
(D) DK/Refused";GAS;0,310001;0,430001;Increase;Does not make a difference;N. Economy and work;4.0;Likert Scale;Economy, Health, and Environment;(C), 7.;(C), 7.;Does not make a difference;Does not make a difference;4.0;1.0;0.6417910447761194;1.0;;;0.6417910447761194;0.9878938;0.6417910447761194;{'A': 'Increase', 'B': 'Decrease', 'C': 'Does not make a difference', 'D': 'DK/Refused'};0.6417910447761194;0.88
317;Thinking about some countries around the world...Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of Iran?;{'United States': [0.019801980198019802, 0.13861386138613863, 0.31683168316831684, 0.4158415841584158, 0.10891089108910891], 'Britain': [0.02, 0.19, 0.39, 0.27, 0.13]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,415843;0,390001;Very unfavorable;Somewhat unfavorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;(D), 9.;(C), 7.;Somewhat unfavorable;Very unfavorable;5.0;1.0;1.0;1.0;;;1.0;0.9442543;0.7525773195876289;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};0.7525773195876289;0.974158415841584
321;Thinking about the first problem you mentioned, what country or international organization should take responsibility for dealing with this problem?;{'United States': [0.42168674698795183, 0.012048192771084338, 0.1566265060240964, 0.0, 0.0, 0.24096385542168675, 0.024096385542168676, 0.14457831325301204], 'Britain': [0.1411764705882353, 0.023529411764705882, 0.29411764705882354, 0.0, 0.07058823529411765, 0.0, 0.0, 0.47058823529411764]};"['United States', 'European Union', 'United Nations', 'African Union', ""Respondent's own country"", 'All countries/organizations', 'No country/organization', 'Other (VOL)']";"(A) United States
(B) European Union
(C) United Nations
(D) African Union
(E) Respondent's own country
(F) All countries/organizations
(G) No country/organization
(H) Other (VOL)";GAS;0,421688;0,470589;United States;Other (VOL);G. International affairs;8.0;Multiple Choice;Economy, Health, and Environment;(C), 7.;(B), 9.;European Union;United Nations;8.0;0.0;0.0;0.0;;;0.0;0.31930572;0.0;"{'A': 'United States', 'B': 'European Union', 'C': 'United Nations', 'D': 'African Union', 'E': ""Respondent's own country"", 'F': 'All countries/organizations', 'G': 'No country/organization', 'H': 'Other (VOL)'}";0.0;0.9510985116938342
322;When children today in your country grow up, do you think they will be better off or worse off financially than their parents? ;{'United States': [0.31, 0.6, 0.0, 0.02, 0.07], 'Britain': [0.22, 0.74, 0.0, 0.03, 0.01]};['Better off', 'Worse off', 'Same (VOL)', 'Same (DO NOT READ)', 'DK/Refused'];"(A) Better off
(B) Worse off
(C) Same (VOL)
(D) Same (DO NOT READ)
(E) DK/Refused";GAS;0,600001;0,740001;Worse off;Worse off;N. Economy and work;5.0;Likert Scale;Economy, Health, and Environment;(B), 7.;(B), 7.;Worse off;Worse off;5.0;1.0;1.0;1.0;;;1.0;0.8012885;0.86;{'A': 'Better off', 'B': 'Worse off', 'C': 'Same (VOL)', 'D': 'Same (DO NOT READ)', 'E': 'DK/Refused'};0.86;0.86
