"question","answer_uk","answer_us"
"Approval of Barack Obama's handling of Arizona immigration law","Approve","Approve"
"Importance of religious minorities practicing their religion freely","Very important","Very important"
"Opinion on people having a better life now despite inequality","Mostly agree","Mostly agree"
"Priority of preventing and treating HIV/AIDS","A very important priority","One of the most important priorities"
"Closeness of following news about other countries","Somewhat closely","Somewhat closely"
"Associating honesty with Americans","Yes","Yes"
"Views on refugees","Statement 1","Statement 1"
"Responsibility to combat terrorism around the world","Favor","Favor"
"Approval of Dilma Rousseff's handling of the economy","Disapprove","Disapprove"
"Second most responsible for Muslim nations' lack of prosperity","Lack of democracy","Corruption in the governments of Muslim nations"
"Associating generosity with Muslims","Yes","Yes"
"Importance of owning a cell phone","Very important","Very important"
"Importance of women having the same rights as men","Very important","Very important"
"Support for EU membership referendum","Support","Oppose"
"Opinion on the U.S. influencing the internal affairs of other countries","Tries to influence the internal affairs of other countries","Tries to influence the internal affairs of other countries"
"Support for increasing foreign aid to developing countries","Support","Support"
"State's responsibility to take care of very poor people","Completely agree","Mostly agree"
"Importance of women having the same rights as men","Very important","Very important"
"State should protect the country economically, even if other friendly nations object","Mostly agree","Completely agree"
"Is your overall opinion of Pope Francis very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable?. These are the options: ['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of (VOL)', ""Can't rate (VOL)""]","Somewhat favorable","Somewhat favorable"
"On a scale of 0 to 10 how satisfied are you with each of the following items, where 0 means you are very dissatisfied and 10 means you are very satisfied?...The safety of your neighborhood.",7.0,7.0
"(Now I'd like to ask your views about some political leaders in our country.) Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Sonia Gandhi?","DK/Refused","DK/Refused"
"Do you personally believe that homosexuality is morally acceptable, morally unacceptable, or is it not a moral issue?","Morally acceptable","Morally acceptable"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...South Africa.","Somewhat favorable","Somewhat favorable"
"Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? d. charismatic.","No","Yes"
"Now I’d like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Elba Esther Gordillo ?","DK/Refused","DK/Refused"
"Who do you think is mostly to blame for this (that relations between Muslims and people in Western countries are generally bad), Muslims or people in Western countries?","People in Western countries/Christians","Both (VOL)"
"And over the next 12 months do you expect your personal economic situation to improve a lot, improve a little, remain the same, worsen a little or worsen a lot?","Remain the same","Improve a little"
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of ____ very good, somewhat good, somewhat bad or very bad in your country? e. court system.","Somewhat good","Somewhat good"
"How concerned are you about North Korea having nuclear weapons — very concerned, somewhat concerned, not too concerned or not at all concerned?","Somewhat concerned","Very concerned"
"As a result of the U.S. military operation that killed bin Laden, do you think relations between Pakistan and the U.S. will improve, worsen or remain the same as they have been?","Remain the same","Worsen"
"Overall, do you think the current government is doing too much, too little, or the right amount to ensure that women have the same rights as men?","Too little","Too little"
"Which of the following phrases comes closer to your point of view?...The U.S. is right to be so concerned about the threat of international terrorism OR the U.S. is over reacting to the threat of international terrorism?","The US is over reacting to the threat","The US is right to be so concerned about the threat"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. d. The Liberal Democrats.","Somewhat unfavorable","DK/Refused"
"Now I'd like to ask your views about some additional political leaders and organizations.  Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the Taliban?","Very unfavorable","Very unfavorable"
"When it comes to each of the following areas, do you think the United States is the best, above average, average, below average, or the worst? a. Healthcare system.","Below average","Average"
"How much do you worry about the possibility of Islamic terrorism in the United States these days?","Not too worried","Somewhat worried"
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Iceland.","Favor","Oppose"
"As I read a list of groups and organizations, please tell me how good a job each has done in responding to the impact of the March 11th earthquake and tsunami...Self Defense Force.","DK/Refused","DK/Refused"
"Do you believe that groups of Arabs carried out the attacks against the United States on September 11 or don't you believe this?","Believe","Believe"
"Do you use a computer at your workplace, at school, at home, or anywhere else on at least an occasional basis?","Yes","Yes"
"Is it more important for your country to have strong economic ties with China or with the United States?","United States","United States"
"Which of the following two statements about addressing global climate change comes closer to your own views, even if neither is exactly right?","Rich countries, such as the   U.S., Japan and Germany, should do more than developing countries because they have produced most of the world's greenhouse gas emissions so far","Rich countries, such as the   U.S., Japan and Germany, should do more than developing countries because they have produced most of the world's greenhouse gas emissions so far"
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of...Shinzo Abe...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?","Mostly favorable","Mostly favorable"
"Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? g. energy policy","Disapprove","Disapprove"
"Overall, how would you describe the relationship between China and Pakistan? Is it one of cooperation, one of hostility, or neither?","One of cooperation","One of cooperation"
"Please indicate how much of a problem, if at all, each would be for the U.S. a. The loss of U.S. jobs to China","Somewhat serious","Very serious"
"Now thinking about German trade with particular countries. Do you think increased trade with Russia would be a very good thing, somewhat good, somewhat bad or a very bad thing for our country?","Somewhat good","Somewhat bad"
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of Prime Minister Manmohan Singh very good, somewhat good, somewhat bad or very bad in your country?","Somewhat good","Can't rate (VOL)"
"How important is it to have ____ in our country? Is it very important, somewhat important, not too important or not important at all? c. women have the same rights as men","Very important","Very important"
"Generally speaking, how much do you think the United States can trust Britain...a great deal, a fair amount, not too much, or not at all?","Great deal","Great deal"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. a. People's Party (PP)","Somewhat favorable","Can't rate (VOL)"
"Has each of the following gotten better or worse over the last five years in our country: the availability of modern medicines and treatments","Better","Better"
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. y. shortages of basic goods","Small problem","Small problem"
"I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs, a great deal, a fair amount, not too much or none at all?...Prime Minister/Chancellor/President of country","Fair amount","Fair amount"
"Generally speaking, how much do you think your country can trust…South Korea...a great deal, a fair amount, not too much or not at all?","Fair amount","Fair amount"
"What country in the world, if any, represents the greatest danger to the United States?","Russia","China"
"(As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all.)...The police","Somewhat good","Somewhat good"
"(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Greedy...Do you associate this with the Chinese people or not?",No,No
"When foreigners buy your country companies, do you think this has a very good, somewhat good, somewhat bad, or a very bad impact on our country?",Somewhat bad,Somewhat bad
"I am going to read you the same list.  Does...the military is under the control of civilian leaders...describe our country very well, somewhat well, not too well or not well at all?",Very well,Very well
"Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will seek international approval before using military force or don't you think so?",Will,Will not
"How much confidence do you have in U.S. President Barack Obama to do the right thing regarding world affairs – a lot of confidence, some confidence, not too much confidence or no confidence at all?",Some confidence,A lot of confidence
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of Prime Minister Recep Tayyip Erdogan very good, somewhat good, somewhat bad or very bad in your country?",Somewhat bad,Somewhat bad
"I'd like you to rate some different groups of people in your country according to how you feel about them. Please tell me whether your opinion of them is very favorable, mostly favorable, mostly unfavorable or very unfavorable. c. Muslims.",Mostly favorable,Mostly favorable
"Overall do you think the United States' influence in our country is growing, decreasing, or staying about the same?",Staying about the same,Staying about the same
"(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Sophisticated...Do you associate this with the Chinese people or not?",Yes,Yes
"Some people have considered not buying American products to protest U.S. policies.  Have you seriously considered not buying American products or haven't you given it serious thought?",Haven't seriously thought about,Haven't seriously thought about
"How reliable of an ally is…Britain? Is…Britain...very reliable, somewhat reliable, not too reliable or not at all reliable as an ally?",Very reliable ally,Very reliable ally
"Japanese Prime Minister Koizumi has visited and paid tribute at the Yasukuni Shrine every year since taking office. Do you support or oppose PM Koizumi's visit to the Yasukuni Shrine?",Oppose,Oppose
"Which of these characteristics do you associate with Muslims?...Violent...Do you associate this with Muslims or not?",No,No
"Are you more optimistic or more pessimistic these days that the Middle East region will become more democratic?",More pessimistic,More pessimistic
"Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of the military very good, somewhat good, somewhat bad or very bad in your country?",Somewhat good,Somewhat good
"Turning to another subject, would you say you are very excited, somewhat excited, not too excited or not at all excited about the 2010 World Cup soccer tournament?",Very excited,Not too excited
"Does our government cooperate too much, not enough, or about the right amount with the United States government?",About right,About right
"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? b. a democratic system where representatives elected by citizens decide what becomes law.",Very good,Very good
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the calls for political change in countries such as Egypt, Tunisia, Bahrain and Libya.",Approve,Approve
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. n. poverty.",Very big problem,Very big problem
"I'm going to read you a list of things the US might do to combat extremist groups in Pakistan. Please tell me whether you would support or oppose...providing financial and humanitarian aid to areas where extremist groups operate.",Oppose,Support
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Nigeria.",Somewhat unfavorable,Somewhat unfavorable
"Please tell me whether you think the following describes U.S. president Joe Biden. Do you think of Joe Biden as Arrogant?","No","DK/Refused"
"Let's start by thinking about the growing ties between the economies of your country and other countries. Do you think the trend toward a global economy is a good thing or a bad thing for our country?","Good","Good"
"Which of these characteristics do you associate with Americans? Do you associate optimistic with Americans or not?","Yes","Yes"
"Overall, do you think current economic ties between the U.S. and China are very good, somewhat good, somewhat bad or very bad?","Somewhat bad","Somewhat bad"
"In general, do you strongly support, somewhat support, somewhat oppose, or strongly oppose the anti-government protests, such as those in Gezi Park?","Somewhat support","Somewhat support"
"For each of the following issues, how likely are you personally to take political action on it, such as contact an elected official or participate in a demonstration? b. government corruption.","Somewhat likely","Very likely"
"Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. a. the economy.","DK/Refused","DK/Refused"
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. f. U.S. negotiations with North Korean leader Kim Jong-Un about the country's nuclear weapons program.","Disapprove","Approve"
"Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas...personal freedoms.","Disapprove","Disapprove"
"Overall do you think that India's growing economy is a good thing or a bad thing for our country?","Good","Good"
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To be able to travel?","Very important","Very important"
"Thinking about yourself, how confident are you that you will have an adequate standard of living in your old age - very confident, somewhat confident, not too confident, not confident at all?","Somewhat confident","Somewhat confident"
"For each of the following issues, how likely are you personally to take political action on it, such as contact an elected official or participate in a demonstration? a. poor quality schools.","Somewhat likely","Very likely"
"I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to know the right people to get ahead in life, where 0 means not important at all and 10 means very important?","8.0","9.0"
"As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. dd. corrupt police officers.","Moderately big problem","Very big problem"
"(For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs — a lot of confidence, some confidence, not too much confidence or no confidence at all.)...Japanese Prime Minister Shinzo Abe.","Some confidence","Some confidence"
"Now I'd like to ask your views about some additional political leaders and organizations.  Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Nawaz Sharif.","Somewhat unfavorable","Somewhat unfavorable"
"Thinking about your country's future, how important is it that: d. the military is under the control of civilian leaders?","Very important","Very important"
"How serious of a threat is...China to our country?","Somewhat serious threat","Very serious threat"
"Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with Ukraine.","Disapprove","Disapprove"
"Which one of these poses the second greatest threat to the world?","Pollution and other environmental problems","Spread of nuclear weapons"
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion:d. Ayman Nour.","Somewhat unfavorable","Somewhat unfavorable"
"What kind of influence the group is having on the way things are going in your country. Is the influence of ____ very good, somewhat good, somewhat bad or very bad in your country? c. media - television, radio, newspapers, magazines.","Somewhat bad","Very bad"
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Ukraine.","Favor","Oppose"
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Lithuanians.","Mostly favorable","Mostly favorable"
"How much, if anything, have you heard about the new Arizona immigration law - a lot, a little, or nothing at all?","A little","A lot"
"Do you think it's a good thing or a bad thing that people from the Middle East and North Africa come to live and work in this country?","Good","Bad"
"Over the past five years do you think ____ in India has gotten much better, somewhat better, somewhat worse, or much worse? g. prices of goods and services.","Somewhat worse","Somewhat worse"
"And which should be the second most important priority?","Health care","Education"
"As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision to keep U.S. troops in Bosnia and Kosovo.","Disapprove","Approve"
"Starting in late 1989, we changed from a country where there was just one party to a country with a multiparty system. Overall, do you strongly approve, approve, disapprove or strongly disapprove of this change in your country?","Strongly approve","Strongly approve"
"I'm going to read you a list of issues that human rights organizations in your country might work on. As I read each one, please tell me how much of a priority you think it should be for these organizations - a top priority, important but lower priority, not too important or should human rights organizations in your country not work on this issue. d. promoting a clean environment.","Important but lower priority","Top priority"
"I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: fast food or convenience food?","Change for the worse","Not much difference"
"Here is a list of several statements about the role of religion here and elsewhere. For each statement, please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the statement...Religious leaders should play a larger role in politics.","Mostly disagree","Mostly disagree"
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of…Sony...","Mostly favorable","Very favorable"
"Do you think the world would be a safer place or more dangerous place if there was another country that was equal in power to the United States?","More dangerous","More dangerous place"
"(Please tell me if you approve or disapprove of the way President Pena Nieto is handling each of the following areas.)...Energy reform.","Disapprove","Disapprove"
"How much of a danger is the current government in...Iraq to stability in the Middle East and world peace?","Moderate danger","A great danger"
"I'd like your opinion about some possible international concerns. Do you think that a large number of refugees leaving countries such as Iraq and Syria is a major threat, a minor threat or not a threat to your country?",Major threat,Minor threat
"Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. b. the refugee issue.",DK/Refused,DK/Refused
"Please tell me if you approve or disapprove of the way President Peña Nieto is handling each of the following areas...Dealing with organized crime and drug traffickers.",Disapprove,Disapprove
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. b. The U.S. rejoining the World Health Organization.",Approve,Approve
"I'd like your opinion about some possible international concerns for your country. Do you think that Iran's nuclear program is a major threat, a minor threat or not a threat to your country?",Major threat,Minor threat
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Canada.",Very favorable,Very favorable
"Now thinking about standards for products and services...In general, do you trust European standards or American standards more when it comes to environmental safety?",European standards,American standards
"Do you think most Muslims in our country today want to adopt your country’s customs and way of life or do you think that they want to be distinct from the larger society?",Both (VOL),Both (VOL)
"Do you think the European Union promotes prosperity?",Yes,DK/Refused
"Now thinking about China, do you think relations between China and the U.S. have improved in recent years, or don't you think so?","No, have not improved","No, have not improved"
"Which is more important to you...That Tunisia has a democratic government even if there is some risk of political instability, or that Tunisia has a stable government, even if there is a risk it will not be fully democratic?","That (survey country) has a democratic government, even if there is some risk of political instability","That (survey country) has a stable government, even if there is a risk it will not be fully democratic"
"Based on what you have heard or read, which of the following, if any, is doing the most to help stop the violence in Darfur?","United Nations","United States"
"Thinking about your country as a whole, do you think this country is now more united or more divided than before the coronavirus outbreak?","More divided","More divided"
"I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? c. a system in which a strong leader can make decisions without interference from parliament or the courts.","Very bad","Very bad"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the people of the (dominant country in region).","Somewhat favorable","Somewhat favorable"
"Do you think it's a good thing or a bad thing that people from other countries within the European Union come to live and work in this country?","Good","Bad"
"I'm going to name some major companies, brands, and people from Japan. Is your overall opinion of...Haruki Murakami...very favorable, mostly favorable, mostly unfavorable, or very unfavorable?","Mostly favorable","Can't rate (VOL)"
"Which of these characteristics do you associate with the Chinese? Do you associate ____ with the Chinese or not? d. nationalistic.","Yes, associate","Yes, associate"
"Which country does the most to help countries that have experienced natural disasters?","Britain","United States"
"I am going to read a list of things that have happened recently. Did The re-election of President George W Bush lead you to have a more favorable or less favorable opinion of the US?","Less favorable","No change (VOL)"
"Thinking about the future, if you had to choose, which of the following scenarios would be better for the world?","Neither (DO NOT READ)","The U.S. is the world’s leading power"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of...Islamic Jihad.","Very unfavorable","Very unfavorable"
"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? g. a large number of refugees leaving countries such as Iraq and Syria.","Major threat","Major threat"
"How do you see the US led war on terrorism - do you think the US is taking into account the interests of its allies in the fight against terrorism or do you think the US is acting mainly on its own interests?","Acting mainly on its own interests","Taking into account the interests of its allies"
"And what about the different products that are now available from different parts of the world - do you think this is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?","Somewhat good","Very good"
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...climate change.","Approve","Approve"
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. e. U.S. increasing tariffs or fees on imported goods from other countries.","Disapprove","Disapprove"
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Russians.","Mostly favorable","Mostly favorable"
"I am going to read you the same list.  Does...the media can report the news without (state or government) censorship...describe our country very well, somewhat well, not too well or not well at all?","Somewhat well","Very well"
"I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? f. cyberattacks from other countries.","Major threat","Major threat"
"In your opinion, has President Putin’s handling of the situation in Ukraine lead people in other countries to have a more favorable opinion of Russia, a less favorable opinion, or has it made no difference?","Less favorable","Less favorable"
"How likely are you personally to take political action on __ , such as contact an elected official or participate in a demonstration? a. poor quality schools.","Somewhat likely","Very likely"
"Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons.","Major threat","Major threat"
"Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all. Safety of medicine.","Moderately big problem","Small problem"
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Enrique Peña Nieto.","Somewhat unfavorable","Somewhat unfavorable"
"Over the past five years do you think ____ in India has gotten much better, somewhat better, somewhat worse, or much worse? h. the situation in Kashmir.","Somewhat worse","Somewhat worse"
"Now I'd like to ask your views about some additional political leaders.  Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Rahul Gandhi.","Somewhat unfavorable","Somewhat unfavorable"
"Overall, how much influence do you think Saudi Arabia is having on the way things are going in your country?", "Not too much", "Not too much"
"In your opinion, should Ukraine remain one, united country, or should regions that want to leave be allowed to secede?", "Remain united", "Remain united"
"Immigrants in our country today want to adopt your nationality customs and way of life, or Immigrants today want to be distinct from your nationality  society.", "Statement #2", "Statement #1"
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems.", "Approve", "Approve"
"In response to the situation involving Russia and Ukraine, do you support or oppose each of the following actions?...Ukraine becoming a member of NATO.", "Support", "Support"
"Which of the following is the most important reason why you think a free trade agreement between the U.S. and the EU would be bad for our country?", "It would lead to job losses or a decrease in workers' wages", "None of the above (VOL)"
"Who is most to blame for the violence in eastern Ukraine?", "Russia", "Russia"
"Now thinking about our economic situation, how would you describe the current economic situation in your country?", "Somewhat good", "Somewhat good"
"Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? e. intolerant.", "Yes", "Yes"
"Please tell me if you approve or disapprove of the way Prime Minister Viktor Orbán is handling each of the following areas. g. media.", "Disapprove", "Disapprove"
"On which step of the ladder do you feel you personally stand at the present time?", "7.0", "6.0"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Muslims.", "Somewhat favorable", "Somewhat favorable"
"What kind of influence the group is having on the way things are going in your country. Is the influence of ____ very good, somewhat good, somewhat bad or very bad in your country? b. the military.", "Somewhat good", "Very good"
"In general, to what extent do you think China takes into account the interests of other countries around the world in making international policy decisions?", "Not too much", "Not too much"
"Over the past five years do you think ____ in India has gotten much better, somewhat better, somewhat worse, or much worse? d. the gap between rich and poor.", "Somewhat worse", "Somewhat worse"
"How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? b. the media can report the news without <state or government> censorship.", "Very important", "Very important"
"In general, what kind of influence has the increasing use of the Internet in our country had on each of the following things. Has the increasing use of the Internet had a good influence, a bad influence, or no influence at all?...morality.", "Bad influence", "Bad influence"
"To what extent are you concerned that the violence in Syria will spread to neighboring countries?", "Very concerned", "Somewhat concerned"
"Which statement comes closer to your own views, even if neither is exactly right: The European Union should negotiate international trade agreements on behalf of Germany, or The German government should negotiate trade agreements for Germany rather than the EU.","The European Union should negotiate international trade agreements on behalf of Germany","When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree"
"Do you approve or disapprove of the way...Arizona Governor Jan Brewer...is dealing with the new Arizona immigration law?", "Disapprove", "Approve"
"Which is more important for Germany -- to have strong ties with the United States or strong ties with Russia?", "Strong ties with the United States", "Strong ties with the United States"
"Some countries are considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Would you approve or disapprove of such a ban in your country?", "Approve", "Disapprove"
"Generally speaking, how much do you think Japan can trust the United States?","Fair amount","Fair amount"
"I'd like you to rate some different groups of people in your country...Whites","Mostly favorable","Mostly favorable"
"Which of these characteristics do you associate with Muslims?...Greedy","No","No"
"Thinking about some political leaders and organizations in our country...Raja Pervez Ashraf","Somewhat unfavorable","Somewhat unfavorable"
"Thinking of Egypt's relationship with the United States, in the future...","About as close to the United States","About as close to the United States"
"immigrants traveling through our country from Central America to the United States","Small problem","Moderately big problem"
"Which of these characteristics do you associate with the Chinese people?...Selfish","No","No"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ____. e. On The Move","Somewhat favorable","Somewhat favorable"
"Now I'm going to read a list of political leaders. For each...U.S. Presidential candidate Barack Obama","Some confidence","A lot of confidence"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Egypt","Somewhat unfavorable","Somewhat unfavorable"
"All things considered, do you think that Muslim nations should be more economically prosperous than they are today?","Yes, should be more prosperous","Yes, should be more prosperous"
"Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with the European Union","Disapprove","Disapprove"
"I'm going to read a list of some countries where people might go on vacation. Would you be interested in going to…Japan?","Somewhat interested","Very interested"
"Do you have friends or relatives who live in another country that you write to, telephone or visit regularly?","Yes","Yes"
"Would you say that each of the following is doing a good or bad job dealing with global climate change? e. the European Union","Somewhat good job","Somewhat good job"
"Would you favor or oppose allowing the U.S. and its allies to use bases in Turkey for military action in Iraq to end Saddam Hussein's rule?","Oppose","Favor"
"Which of these comes closer to your view?...Our traditional way of life is getting lost, OR our traditional way of life remains strong","Our traditional way of life is getting lost","Our traditional way of life remains strong"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Hezbollah","Very unfavorable","Very unfavorable"
"Some people say the following things are important to them...To be safe from crime?","Very important","Very important"
"Before the war the U.S. and Britain claimed that Iraq had weapons of mass destruction. Why do you think they made this claim?","US and British leaders lied to provide a reason for invading","US and British leaders were  misinformed by bad intelligence"
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion: a. Mohamed Tantawi.","DK/Refused","DK/Refused"
"Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. the public.","Yes, respects personal freedoms","Yes, respects personal freedoms"
"In your opinion, should we allow more refugees from Syria and Iraq into our country, fewer refugees or about the same as we do now?","Fewer refugees","About the same as now"
"Now I am going to read you a list of things that may be problems for the U.S. The large amount of American debt that is held by China...","Very serious problem","Very serious problem"
"Now I'd like to ask your views about some additional political leaders. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Felipe Calderón?","DK/Refused","Somewhat favorable"
"In your opinion, how much of an effect have the Western sanctions on Russia had on our economy - major effect, minor effect or no effect at all?","Minor effect","Minor effect"
"And thinking about some political leaders and organizations in our country, please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of Supreme Council of the Armed Forces?","Somewhat unfavorable","DK/Refused"
"And thinking about U.S. policy toward China, how important do you think each of the following is,very important, somewhat important, not too important, or not at all important?...be tough with China on economic and trade issues.","Very important","Very important"
"I'd like you to rate some different groups of people in your country according to how you feel about them.  For each group, please tell me whether your opinion is very favorable, mostly favorable, mostly unfavorable or very unfavorable?...Czechs.","Mostly favorable","Mostly favorable"
"Do you think the your country government should provide financial assistance to other European Union countries that have major financial problems, or don't you think the government should do this?","Yes, provide","No, do not provide"
"Do you think it's a good thing or a bad thing that people from Eastern Europe come to live and work in this country?","Good","Good"
"I'd like your opinion about some possible international concerns for your country. What if the Taliban regained control of Afghanistan, would this be a major threat, a minor threat or not a threat to the well being of your country?","Major threat","Major threat"
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Turkey.","Oppose","DK/Refused"
"Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Hamas.","Very unfavorable","Very unfavorable"
"Do you think ____ tries to influence the internal affairs of other countries or do you think ____ mostly stays out of the internal affairs of other countries? d. Canada.","Mostly stays out of the internal affairs of other countries","Mostly stays out of the internal affairs of other countries"
"I'd like your opinion about some possible international concerns for your country. Do you think that political instability in Pakistan is a major threat, a minor threat or not a threat to your country?","Minor threat","Minor threat"
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Arrogant...","No","No"
"Some countries have decided to ban the wearing of 'Burqa' by Muslim women in public places including schools. Do you think this is a good idea or a bad idea?","Bad idea","Bad idea"
"Some say that people who get ahead these days do so mainly at the expense of other people, others say that people who get ahead these days do so because they have more ability and ambition than other people - which comes closer to your point of view?","Ability and ambition","Ability and ambition"
"Do you think the United States plays a more important and powerful role as a world leader today compared to 10 years ago, a less important role or about as important a role as a world leader as it did 10 years ago?","Less important role","As important as 10 years ago"
"Here are some things that may be part of a free trade agreement with the European Union. Please tell me if you strongly support, somewhat support, somewhat oppose, or strongly oppose...Removing all duties that increase the price of goods imported from the [GERMANY: U.S. / U.S.: European Union].","Somewhat support","Strongly support"
"Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. c. sensitive issues related to national security.","Government should be able to prevent media organizations from publishing information about these things","Media organizations should be able to publish information about these things"
