;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;options_dict;score_ground_truth_answers;value_diff
340;What is more to blame for this controversy (about the publication of cartoons with the image of the prophet Muhammad), Western nations' disrespect for the Islamic religion, or Muslims' intolerance to different points of view?;{'United States': [0.21739130434782608, 0.6521739130434783, 0.09782608695652174, 0.03260869565217391], 'Britain': [0.20212765957446807, 0.6276595744680851, 0.13829787234042554, 0.031914893617021274]};"[""Western nations' disrespect for the Islamic religion"", ""Muslims' intolerance to different points of view"", 'Both (VOL)', 'Neither (VOL)']";"(A) Western nations' disrespect for the Islamic religion
(B) Muslims' intolerance to different points of view
(C) Both (VOL)
(D) Neither (VOL)";GAS;0,652175;0,627661;Muslims' intolerance to different points of view;Muslims' intolerance to different points of view;D. Politics and policy;4.0;Multiple Choice;Politics and Governance;;;;;4.0;;;;;;;;;"{'A': ""Western nations' disrespect for the Islamic religion"", 'B': ""Muslims' intolerance to different points of view"", 'C': 'Both (VOL)', 'D': 'Neither (VOL)'}";0.975486;
341;(Which ONE of the following, if any, is hurting the world's environment the most...India, Germany, China, Brazil, Japan, United States or Russia?) Which country would you name next?;{'United States': [0.2087912087912088, 0.04395604395604396, 0.1978021978021978, 0.07692307692307693, 0.14285714285714285, 0.16483516483516483, 0.15384615384615385, 0.01098901098901099], 'Britain': [0.17894736842105263, 0.010526315789473684, 0.28421052631578947, 0.06315789473684211, 0.08421052631578947, 0.25263157894736843, 0.12631578947368421, 0.0]};['India', 'Germany', 'China', 'Brazil', 'Japan', 'United States', 'Russia', 'Other (VOL)'];"(A) India
(B) Germany
(C) China
(D) Brazil
(E) Japan
(F) United States
(G) Russia
(H) Other (VOL)";GAS;0,208792;0,284212;India;China;P. Methodological research;8.0;Multiple Choice;Media, Technology, and Education;;;;;8.0;;;;;;;;;{'A': 'India', 'B': 'Germany', 'C': 'China', 'D': 'Brazil', 'E': 'Japan', 'F': 'United States', 'G': 'Russia', 'H': 'Other (VOL)'};0.0;
342;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Americans;{'United States': [0.41237113402061853, 0.4536082474226804, 0.10309278350515463, 0.030927835051546393, 0.0], 'Britain': [0.19, 0.55, 0.13, 0.03, 0.1]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,453609;0,550001;Somewhat favorable;Somewhat favorable;D. Politics and policy;5.0;Likert Scale;Politics and Governance;;;;;5.0;;;;;;;;;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};0.903608;
343;Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will get the United States to take significant measures to control global climate change or don't you think so?;{'United States': [0.7419354838709677, 0.25806451612903225], 'Britain': [0.7127659574468085, 0.2872340425531915]};['Will', 'Will not'];"(A) Will
(B) Will not";GAS;0,741936;0,712767;Will;Will;D. Politics and policy;2.0;Binary Choice;Politics and Governance;;;;;2.0;;;;;;;;;{'A': 'Will', 'B': 'Will not'};0.970831;
344;Thinking about the future of your country, please tell me whether you feel generally optimistic or generally pessimistic about the following areas. a. Our country's culture;{'United States': [0.55, 0.4, 0.02, 0.03], 'Britain': [0.62, 0.36, 0.01, 0.01]};['Optimistic', 'Pessimistic', 'Neither (DO NOT READ)', 'DK/Refused'];"(A) Optimistic
(B) Pessimistic
(C) Neither (DO NOT READ)
(D) DK/Refused";GAS;0,550001;0,620001;Optimistic;Optimistic;A. Social values and attitudes;4.0;Likert Scale;Society, Culture, and Relationships;;;;;4.0;;;;;;;;;{'A': 'Optimistic', 'B': 'Pessimistic', 'C': 'Neither (DO NOT READ)', 'D': 'DK/Refused'};0.930000;
345;Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...reports about abuses in American run prisons at Abu Graib, Guantanamo and elsewhere. Have you heard of it or not?;{'United States': [0.7676767676767676, 0.23232323232323232], 'Britain': [0.9, 0.1]};['Yes, have heard of it', 'No, have not heard of it'];"(A) Yes, have heard of it
(B) No, have not heard of it";GAS;0,767678;0,900001;Yes, have heard of it;Yes, have heard of it;Q. Security;2.0;Binary Choice;Politics and Governance;;;;;2.0;;;;;;;;;{'A': 'Yes, have heard of it', 'B': 'No, have not heard of it'};0.867677;
346;For each statement, please tell me whether you completely agree with it, mostly agree with it, mostly disagree with it or completely disagree with it...It is a good thing for any society to be made up of people from different races, religions,cultures;{'United States': [0.5714285714285714, 0.3673469387755102, 0.04081632653061224, 0.02040816326530612], 'Britain': [0.40816326530612246, 0.45918367346938777, 0.08163265306122448, 0.05102040816326531]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree";GAS;0,571430;0,459185;Completely agree;Mostly agree;N. Economy and work;4.0;Likert Scale;Economy, Health, and Environment;;;;;4.0;;;;;;;;;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree'};0.7402597402597403;
347;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the United States;{'United States': [0.32, 0.44, 0.18, 0.05, 0.01], 'Britain': [0.1111111111111111, 0.5353535353535354, 0.21212121212121213, 0.10101010101010101, 0.04040404040404041]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'DK/Refused'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable
(E) DK/Refused";GAS;0,440001;0,535355;Somewhat favorable;Somewhat favorable;P. Methodological research;5.0;Likert Scale;Media, Technology, and Education;;;;;5.0;;;;;;;;;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable', 'E': 'DK/Refused'};0.904646;
348;Overall, do you think the war with Iraq that removed Saddam Hussein from power made the world a safer place or a more dangerous place?;{'United States': [0.5543478260869565, 0.40217391304347827, 0.043478260869565216], 'Britain': [0.3191489361702128, 0.6382978723404256, 0.0425531914893617]};['Safer place', 'More dangerous place', 'No change (VOL)'];"(A) Safer place
(B) More dangerous place
(C) No change (VOL)";GAS;0,554349;0,638299;Safer place;More dangerous place;D. Politics and policy;3.0;Likert Scale;Politics and Governance;;;;;3.0;;;;;;;;;{'A': 'Safer place', 'B': 'More dangerous place', 'C': 'No change (VOL)'};0.736842105263158;
349;Do you approve or disapprove of the way [American President] George W. Bush is handling International policy?;{'United States': [0.5844155844155844, 0.4155844155844156], 'Britain': [0.25757575757575757, 0.7424242424242424]};['Approve', 'Disapprove'];"(A) Approve
(B) Disapprove";GAS;0,584417;0,742425;Approve;Disapprove;D. Politics and policy;2.0;Binary Choice;Politics and Governance;;;;;2.0;;;;;;;;;{'A': 'Approve', 'B': 'Disapprove'};0.0;
350;For each item on this list, tell me if you think it is happening a lot more, somewhat more, only a little more or not more these days than five years ago: communication and travel between the people of your country and people in other countries.;{'United States': [0.4375, 0.2604166666666667, 0.15625, 0.14583333333333334], 'Britain': [0.6632653061224489, 0.20408163265306123, 0.10204081632653061, 0.030612244897959183]};['A lot more', 'Somewhat more', 'Only a little more', 'Not more'];"(A) A lot more
(B) Somewhat more
(C) Only a little more
(D) Not more";GAS;0,437501;0,663266;A lot more;A lot more;G. International affairs;4.0;Likert Scale;Economy, Health, and Environment;;;;;4.0;;;;;;;;;{'A': 'A lot more', 'B': 'Somewhat more', 'C': 'Only a little more', 'D': 'Not more'};0.774235;
351;Here is a list of groups, organizations and institutions. For each, please tell me what kind of influence the group is having on the way things are going in our country.Is the influence of the trade unions very good, somewhat good, somewhat bad or very bad in our country?;{'United States': [0.11627906976744186, 0.6162790697674418, 0.22093023255813954, 0.046511627906976744], 'Britain': [0.11956521739130435, 0.6086956521739131, 0.20652173913043478, 0.06521739130434782]};['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];"(A) Very good
(B) Somewhat good
(C) Somewhat bad
(D) Very bad";GAS;0,616280;0,608697;Somewhat good;Somewhat good;D. Politics and policy;4.0;Likert Scale;Politics and Governance;;;;;4.0;;;;;;;;;{'A': 'Very good', 'B': 'Somewhat good', 'C': 'Somewhat bad', 'D': 'Very bad'};0.992417;
352;Now I will read a list of some things that have happened in the world recently. For each one,please tell me if you've heard of it or not...U.S. aid to Pakistan following the October earthquake. Have you heard of it or not?;{'United States': [0.696969696969697, 0.30303030303030304], 'Britain': [0.7373737373737373, 0.26262626262626265]};['Yes, have heard of it', 'No, have not heard of it'];"(A) Yes, have heard of it
(B) No, have not heard of it";GAS;0,696971;0,737375;Yes, have heard of it;Yes, have heard of it;Q. Security;2.0;Binary Choice;Politics and Governance;;;;;2.0;;;;;;;;;{'A': 'Yes, have heard of it', 'B': 'No, have not heard of it'};0.959596;
353;Which statement comes closer to your own views -- even if neither is exactly right. Ukraine should accept economic aid from Western nations, even if our government must agree to reduce spending and social benefits, or Ukraine should reject economic aid from Western nations that requires the government to reduce spending and social benefits. ;{'United States': [0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088]};['Accept economic aid', 'Reject economic aid', 'Neither/Both equally (VOL)', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) Accept economic aid
(B) Reject economic aid
(C) Neither/Both equally (VOL)
(D) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(E) Many of the problems facing our country can be solved by working with other countries
(F) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(G) Few of the problems facing our country can be solved by working with other countries
(H) DK/Refused
(I) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(J) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;10.0;Multiple Choice;Politics and Governance;;;;;10.0;;;;;;;;;{'A': 'Accept economic aid', 'B': 'Reject economic aid', 'C': 'Neither/Both equally (VOL)', 'D': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'E': 'Many of the problems facing our country can be solved by working with other countries', 'F': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'G': 'Few of the problems facing our country can be solved by working with other countries', 'H': 'DK/Refused', 'I': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'J': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};0.0;
354;How much of a danger is the American presence in Iraq to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?;{'United States': [0.3333333333333333, 0.41935483870967744, 0.15053763440860216, 0.0967741935483871], 'Britain': [0.43157894736842106, 0.42105263157894735, 0.11578947368421053, 0.031578947368421054]};['A great danger', 'Moderate danger', 'Small danger', 'No danger at all'];"(A) A great danger
(B) Moderate danger
(C) Small danger
(D) No danger at all";GAS;0,419356;0,431580;Moderate danger;A great danger;G. International affairs;4.0;Likert Scale;Economy, Health, and Environment;;;;;4.0;;;;;;;;;{'A': 'A great danger', 'B': 'Moderate danger', 'C': 'Small danger', 'D': 'No danger at all'};0.75;
355;Do you think this change in the availability of food in stores is largely because of the way the world has become more connected or mostly for other reasons?;{'United States': [0.4742268041237113, 0.5257731958762887], 'Britain': [0.8061224489795918, 0.19387755102040816]};['Largely more connected', 'Other reasons'];"(A) Largely more connected
(B) Other reasons";GAS;0,525774;0,806123;Other reasons;Largely more connected;M. Race and ethnicity;2.0;Likert Scale;Society, Culture, and Relationships;;;;;2.0;;;;;;;;;{'A': 'Largely more connected', 'B': 'Other reasons'};0.0;
356;Now I am going to read you a list of things that may be problems in our country. As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all....Poor quality schools;{'United States': [0.4536082474226804, 0.3917525773195876, 0.12371134020618557, 0.030927835051546393, 0.0], 'Britain': [0.23711340206185566, 0.422680412371134, 0.24742268041237114, 0.09278350515463918, 0.0]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all', 'DK/Refused'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all
(E) DK/Refused";GAS;0,453609;0,422681;Very big problem;Moderately big problem;N. Economy and work;5.0;Likert Scale;Economy, Health, and Environment;;;;;5.0;;;;;;;;;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all', 'E': 'DK/Refused'};0.8;
357;Do you think our country should have UN approval before it uses military force to deal with an international threat or do you think that would make it too difficult for our country to deal with international threats?;{'United States': [0.5056179775280899, 0.4943820224719101], 'Britain': [0.7282608695652174, 0.2717391304347826]};['Should have UN approval', 'Would make it too difficult to deal with threats'];"(A) Should have UN approval
(B) Would make it too difficult to deal with threats";GAS;0,505619;0,728262;Should have UN approval;Should have UN approval;D. Politics and policy;2.0;Binary Choice;Politics and Governance;;;;;2.0;;;;;;;;;{'A': 'Should have UN approval', 'B': 'Would make it too difficult to deal with threats'};0.777357;
358;In your opinion, should we allow more immigrants to move to our country, fewer immigrants, or about the same as we do now? ;{'United States': [0.2376237623762376, 0.24752475247524752, 0.43564356435643564, 0.039603960396039604, 0.039603960396039604], 'Britain': [0.16, 0.35, 0.43, 0.04, 0.02]};['More', 'Fewer', 'About the same', 'DK/Refused', 'No immigrants at all (DO NOT READ)'];"(A) More
(B) Fewer
(C) About the same
(D) DK/Refused
(E) No immigrants at all (DO NOT READ)";GAS;0,435645;0,430001;About the same;About the same;D. Politics and policy;5.0;Likert Scale;Politics and Governance;;;;;5.0;;;;;;;;;{'A': 'More', 'B': 'Fewer', 'C': 'About the same', 'D': 'DK/Refused', 'E': 'No immigrants at all (DO NOT READ)'};0.994356;
359;Now I am going to read you a list of things that may be problems in our country.As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...Pollution;{'United States': [0.4489795918367347, 0.41836734693877553, 0.11224489795918367, 0.02040816326530612], 'Britain': [0.31, 0.5, 0.16, 0.03]};['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];"(A) Very big problem
(B) Moderately big problem
(C) Small problem
(D) Not a problem at all";GAS;0,448981;0,500001;Very big problem;Moderately big problem;N. Economy and work;4.0;Likert Scale;Economy, Health, and Environment;;;;;4.0;;;;;;;;;{'A': 'Very big problem', 'B': 'Moderately big problem', 'C': 'Small problem', 'D': 'Not a problem at all'};0.7674418604651163;
360;When it comes to important issues facing the public, people may disagree over policies, but do you think most people agree or disagree on basic facts?;{'United States': [0.40594059405940597, 0.5841584158415841, 0.009900990099009901], 'Britain': [0.59, 0.37, 0.04]};['Agree on the basic facts', 'Disagree on the basic facts', 'DK/Refused'];"(A) Agree on the basic facts
(B) Disagree on the basic facts
(C) DK/Refused";GAS;0,584159;0,590001;Disagree on the basic facts;Agree on the basic facts;P. Methodological research;3.0;Likert Scale;Media, Technology, and Education;;;;;3.0;;;;;;;;;{'A': 'Agree on the basic facts', 'B': 'Disagree on the basic facts', 'C': 'DK/Refused'};0.6111111111111112;
361;Some countries have decided to ban the wearing of head scarves by Muslim women in public places including schools. Do you think this is a good idea or a bad idea?;{'United States': [0.36666666666666664, 0.6333333333333333], 'Britain': [0.31868131868131866, 0.6813186813186813]};['Good idea', 'Bad idea'];"(A) Good idea
(B) Bad idea";GAS;0,633334;0,681320;Bad idea;Bad idea;D. Politics and policy;2.0;Binary Choice;Politics and Governance;;;;;2.0;;;;;;;;;{'A': 'Good idea', 'B': 'Bad idea'};0.952014;
362;Thinking about the future of your country, please tell me whether you feel generally optimistic or generally pessimistic about the following areas. c. The availability of well-paying jobs;{'United States': [0.6, 0.36, 0.02, 0.02], 'Britain': [0.42, 0.57, 0.0, 0.01]};['Optimistic', 'Pessimistic', 'Neither (DO NOT READ)', 'DK/Refused'];"(A) Optimistic
(B) Pessimistic
(C) Neither (DO NOT READ)
(D) DK/Refused";GAS;0,600001;0,570001;Optimistic;Pessimistic;N. Economy and work;4.0;Likert Scale;Economy, Health, and Environment;;;;;4.0;;;;;;;;;{'A': 'Optimistic', 'B': 'Pessimistic', 'C': 'Neither (DO NOT READ)', 'D': 'DK/Refused'};0.791044776119403;
363;Which statement comes closer to your view about your country’s involvement in the global economy, even if neither is exactly right?;{'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.0, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088]};['It is a good thing because it provides (survey country) with new markets and opportunities for growth', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'It is a bad thing because it lowers wages and costs jobs in (survey country)', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'Neither (VOL)', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];"(A) It is a good thing because it provides (survey country) with new markets and opportunities for growth
(B) If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country
(C) Many of the problems facing our country can be solved by working with other countries
(D) It is a bad thing because it lowers wages and costs jobs in (survey country)
(E) No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country
(F) Few of the problems facing our country can be solved by working with other countries
(G) Neither (VOL)
(H) DK/Refused
(I) When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them
(J) When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree";GAS;0,540001;0,350255;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;10.0;Multiple Choice;Politics and Governance;;;;;10.0;;;;;;;;;{'A': 'It is a good thing because it provides (survey country) with new markets and opportunities for growth', 'B': 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'C': 'Many of the problems facing our country can be solved by working with other countries', 'D': 'It is a bad thing because it lowers wages and costs jobs in (survey country)', 'E': 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'F': 'Few of the problems facing our country can be solved by working with other countries', 'G': 'Neither (VOL)', 'H': 'DK/Refused', 'I': 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'J': 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'};0.0;
364;How closely have you been following news about the U.S. presidential race - very closely, somewhat closely, not too closely, or not at all?;{'United States': [0.29292929292929293, 0.37373737373737376, 0.2222222222222222, 0.1111111111111111], 'Britain': [0.04950495049504951, 0.2871287128712871, 0.38613861386138615, 0.27722772277227725]};['Very closely', 'Somewhat closely', 'Not too closely', 'Not at all'];"(A) Very closely
(B) Somewhat closely
(C) Not too closely
(D) Not at all";GAS;0,373738;0,386140;Somewhat closely;Not too closely;J. News habits and media;4.0;Likert Scale;Media, Technology, and Education;;;;;4.0;;;;;;;;;{'A': 'Very closely', 'B': 'Somewhat closely', 'C': 'Not too closely', 'D': 'Not at all'};0.7058823529411764;
365;Does trade with other countries lead to an increase in the price of products sold in your country, a decrease in prices, or does it not make a difference?;{'United States': [0.32, 0.37, 0.25, 0.06], 'Britain': [0.26, 0.27, 0.4, 0.07]};['Increase', 'Decrease', 'Does not make a difference', 'DK/Refused'];"(A) Increase
(B) Decrease
(C) Does not make a difference
(D) DK/Refused";GAS;0,370001;0,400001;Decrease;Does not make a difference;N. Economy and work;4.0;Multiple Choice;Economy, Health, and Environment;;;;;4.0;;;;;;;;;{'A': 'Increase', 'B': 'Decrease', 'C': 'Does not make a difference', 'D': 'DK/Refused'};0.0;
366;For each of the following, please tell me how news organizations in your country are doing on the issue. Would you say news organizations are doing this very well, somewhat well, not too well, or not well at all? c. reporting the different positions on political issues fairly;{'United States': [0.13, 0.34, 0.25, 0.27, 0.0, 0.01], 'Britain': [0.09, 0.43, 0.29, 0.14, 0.0, 0.05]};['Very well', 'Somewhat well', 'Not too well', 'Not well at all', 'News organizations should not do this (VOL)', 'DK/Refused'];"(A) Very well
(B) Somewhat well
(C) Not too well
(D) Not well at all
(E) News organizations should not do this (VOL)
(F) DK/Refused";GAS;0,340001;0,430001;Somewhat well;Somewhat well;D. Politics and policy;6.0;Likert Scale;Politics and Governance;;;;;6.0;;;;;;;;;{'A': 'Very well', 'B': 'Somewhat well', 'C': 'Not too well', 'D': 'Not well at all', 'E': 'News organizations should not do this (VOL)', 'F': 'DK/Refused'};0.910000;
367;Please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with the following statements. b. Voting gives people like me some say about how the government runs things;{'United States': [0.2727272727272727, 0.47474747474747475, 0.16161616161616163, 0.0707070707070707, 0.020202020202020204], 'Britain': [0.18181818181818182, 0.43434343434343436, 0.23232323232323232, 0.1414141414141414, 0.010101010101010102]};['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree', 'DK/Refused'];"(A) Completely agree
(B) Mostly agree
(C) Mostly disagree
(D) Completely disagree
(E) DK/Refused";GAS;0,474748;0,434344;Mostly agree;Mostly agree;D. Politics and policy;5.0;Likert Scale;Politics and Governance;;;;;5.0;;;;;;;;;{'A': 'Completely agree', 'B': 'Mostly agree', 'C': 'Mostly disagree', 'D': 'Completely disagree', 'E': 'DK/Refused'};0.959596;
368;In your opinion, in the public, are the conflicts very strong, strong, not very strong or are there not any conflicts between ____? e. People who practice different religions;{'United States': [0.13, 0.36, 0.47, 0.04, 0.0], 'Britain': [0.1, 0.28, 0.47, 0.13, 0.02]};['Very strong conflicts', 'Strong conflicts', 'Not very strong conflicts', 'There are not conflicts', 'DK/Refused'];"(A) Very strong conflicts
(B) Strong conflicts
(C) Not very strong conflicts
(D) There are not conflicts
(E) DK/Refused";GAS;0,470001;0,470001;Not very strong conflicts;Not very strong conflicts;A. Social values and attitudes;5.0;Likert Scale;Society, Culture, and Relationships;;;;;5.0;;;;;;;;;{'A': 'Very strong conflicts', 'B': 'Strong conflicts', 'C': 'Not very strong conflicts', 'D': 'There are not conflicts', 'E': 'DK/Refused'};1.000000;
369;Do you think products made in China are as safe as products made in other countries, or do you think they are less safe than products made in other countries?;{'United States': [0.20212765957446807, 0.776595744680851, 0.02127659574468085], 'Britain': [0.3804347826086957, 0.5434782608695652, 0.07608695652173914]};['Chinese products as safe', 'Chinese products less safe', 'Depends'];"(A) Chinese products as safe
(B) Chinese products less safe
(C) Depends";GAS;0,776597;0,543479;Chinese products less safe;Chinese products less safe;N. Economy and work;3.0;Binary Choice;Economy, Health, and Environment;;;;;3.0;;;;;;;;;{'A': 'Chinese products as safe', 'B': 'Chinese products less safe', 'C': 'Depends'};0.766882;
370;Now I'm going to read you some statements about President Barack Obama.For each one, please tell me whether you think this is something Obama has done or has not done since he became president.Do you think he has been fair in dealing with the Israelis and the Palestinians or don't you think so?;{'United States': [0.6818181818181818, 0.3181818181818182], 'Britain': [0.5595238095238095, 0.44047619047619047]};['Has', 'Has not'];"(A) Has
(B) Has not";GAS;0,681819;0,559525;Has;Has;D. Politics and policy;2.0;Likert Scale;Politics and Governance;;;;;2.0;;;;;;;;;{'A': 'Has', 'B': 'Has not'};0.877706;
371;Now I'm going to read a list of political leaders.For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...Palestinian leader Yasir Arafat;{'United States': [0.02197802197802198, 0.18681318681318682, 0.2857142857142857, 0.5054945054945055], 'Britain': [0.031578947368421054, 0.17894736842105263, 0.4105263157894737, 0.37894736842105264]};['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];"(A) A lot of confidence
(B) Some confidence
(C) Not too much confidence
(D) No confidence at all";GAS;0,505496;0,410527;No confidence at all;Not too much confidence;D. Politics and policy;4.0;Likert Scale;Politics and Governance;;;;;4.0;;;;;;;;;{'A': 'A lot of confidence', 'B': 'Some confidence', 'C': 'Not too much confidence', 'D': 'No confidence at all'};0.7065217391304348;
372;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...France;{'United States': [0.1839080459770115, 0.5287356321839081, 0.19540229885057472, 0.09195402298850575], 'Britain': [0.12222222222222222, 0.5888888888888889, 0.2111111111111111, 0.07777777777777778]};['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable'];"(A) Very favorable
(B) Somewhat favorable
(C) Somewhat unfavorable
(D) Very unfavorable";GAS;0,528737;0,588890;Somewhat favorable;Somewhat favorable;O. Regions and countries;4.0;Likert Scale;Media, Technology, and Education;;;;;4.0;;;;;;;;;{'A': 'Very favorable', 'B': 'Somewhat favorable', 'C': 'Somewhat unfavorable', 'D': 'Very unfavorable'};0.939847;
373;Which of these characteristics do you associate with Americans? Do you associate rude with Americans or not?;{'United States': [0.36082474226804123, 0.6391752577319587], 'Britain': [0.3020833333333333, 0.6979166666666666]};['Yes', 'No'];"(A) Yes
(B) No";GAS;0,639176;0,697918;No;No;A. Social values and attitudes;2.0;Binary Choice;Society, Culture, and Relationships;;;;;2.0;;;;;;;;;{'A': 'Yes', 'B': 'No'};0.941258;
374;Thinking about immigration, would you support or oppose your country ____? c. encouraging highly skilled people to immigrate and work in your country;{'United States': [0.78, 0.19, 0.03], 'Britain': [0.85, 0.12, 0.03]};['Support', 'Oppose', 'DK/Refused'];"(A) Support
(B) Oppose
(C) DK/Refused";GAS;0,780001;0,850001;Support;Support;D. Politics and policy;3.0;Binary Choice;Politics and Governance;;;;;3.0;;;;;;;;;{'A': 'Support', 'B': 'Oppose', 'C': 'DK/Refused'};0.930000;
375;Do you think our country is making progress in providing drug treatments to HIV infected people, losing ground, or is drug treatment for people with HIV about the same as it has been?;{'United States': [0.38202247191011235, 0.1348314606741573, 0.48314606741573035], 'Britain': [0.35802469135802467, 0.1728395061728395, 0.4691358024691358]};['Making progress', 'Losing ground', 'About the same'];"(A) Making progress
(B) Losing ground
(C) About the same";GAS;0,483147;0,469137;About the same;About the same;N. Economy and work;3.0;Likert Scale;Economy, Health, and Environment;;;;;3.0;;;;;;;;;{'A': 'Making progress', 'B': 'Losing ground', 'C': 'About the same'};0.985990;
