;source;category;question;answer_uk;answer_us;question type
206;GPT-4 generated;Food & Drink;What's your favorite type of dessert?;A good sticky toffee pudding.;Chocolate chip cookies.;Multiple Choice
207;GPT-4 generated;Food & Drink;Do you enjoy seafood?;Absolutely, especially fish and chips.;Yeah, especially shrimp and salmon.;Binary Choice
208;GPT-4 generated;Food & Drink;Do you eat organ meats?;Sometimes, in a good steak and kidney pie.;No way, not my thing.;Binary Choice
209;GPT-4 generated;Food & Drink;What's your preferred cooking oil?;Olive oil, usually.;Vegetable oil, it's versatile.;Multiple Choice
210;GPT-4 generated;Food & Drink;Do you meal prep for the week?;Not really, I prefer cooking fresh.;Yeah, helps me stay on track.;Binary Choice
211;GPT-4 generated;Society & Relationships;Do you go hiking?;Occasionally, in the Lake District.;Yeah, I love hitting the trails.;Binary Choice
212;GPT-4 generated;Society & Relationships;Do you prefer individual or team sports?;I enjoy watching football, but play tennis.;I like both, but basketball's my favorite.;Binary Choice
213;GPT-4 generated;Society & Relationships;How often do you watch sports on TV?;When the footie's on.;Almost every weekend, especially during the season.;Ordinal Scale
214;GPT-4 generated;Society & Relationships;Do you follow college sports?;What are college sports?;Oh yeah, college football is huge!;Binary Choice
215;GPT-4 generated;Society & Relationships;How important are sports in your social life?;It's a topic of conversation at the pub.;It's a big deal, we often gather to watch games.;Likert Scale
216;GPT-4 generated;Society & Relationships;Do you play video games?;A bit of FIFA, perhaps.;Yeah, I'm into a variety of games.;Binary Choice
217;GPT-4 generated;Society & Relationships;Do you prefer winter or summer sports?;Winter, a bit of skiing perhaps.;Summer, like baseball and water sports.;Binary Choice
218;GPT-4 generated;Society & Relationships;How often do you go swimming?;Maybe a few times a year.;In the summer, pretty regularly.;Ordinal Scale
219;GPT-4 generated;Society & Relationships;Do you participate in fantasy sports leagues?;Fantasy what?;Yeah, I've got a fantasy football team.;Binary Choice
220;GPT-4 generated;Society & Relationships;Do you own any sports memorabilia?;I've got a signed football shirt.;Yeah, autographed baseballs and jerseys.;Binary Choice
221;GPT-4 generated;Entertainment & Arts;How many streaming services are you subscribed to?;Just the BBC iPlayer, mostly.;Netflix, Hulu, Disney+—I've got 'em all.;Numerical Scale
222;GPT-4 generated;Entertainment & Arts;Do you listen to podcasts?;Occasionally, some BBC podcasts.;Yeah, all kinds of genres.;Binary Choice
223;GPT-4 generated;Entertainment & Arts;Do you prefer cable or streaming?;Streaming suits me fine.;Cut the cord, all streaming now.;Binary Choice
224;GPT-4 generated;Entertainment & Arts;Do you watch foreign films?;Sometimes, especially French cinema.;Not really, unless it's a blockbuster.;Binary Choice
225;GPT-4 generated;Entertainment & Arts;Do you read celebrity gossip?;Not my cup of tea.;Sometimes, it's a guilty pleasure.;Binary Choice
226;GPT-4 generated;Entertainment & Arts;How much time do you spend watching TV each day?;Maybe an hour or two.;A couple of hours, usually.;Numerical Scale
227;GPT-4 generated;Entertainment & Arts;What's your favorite type of movie genre?;Historical dramas.;Action and superheroes.;Multiple Choice
228;GPT-4 generated;Entertainment & Arts;Do you enjoy animated shows?;Not particularly.;Yeah, some are really good!;Binary Choice
229;GPT-4 generated;Entertainment & Arts;Do you binge-watch series?;Only if it's a British classic.;Yeah, love binge-watching new series.;Binary Choice
230;GPT-4 generated;Entertainment & Arts;Are you a fan of any YouTube influencers?;I watch some cooking and travel channels.;Yeah, I follow a few vloggers and gamers.;Binary Choice
231;GPT-4 generated;Entertainment & Arts;Do you play any instruments?;I play a bit of the piano.;I can jam on the guitar.;Binary Choice
232;GPT-4 generated;Entertainment & Arts;Have you ever been to a ballet performance?;Once or twice, a cultural experience indeed.;Nah, ballet's not really my thing.;Binary Choice
233;GPT-4 generated;Entertainment & Arts;How important is music in your daily life?;It's the soundtrack to my daily commute.;I listen to music all day, keeps me going.;Likert Scale
234;GPT-4 generated;Entertainment & Arts;Do you create any form of art?;I dabble in watercolours sometimes.;I do some digital art.;Binary Choice
235;GPT-4 generated;Entertainment & Arts;Do you listen to classical music?;Occasionally, it's quite soothing.;Sometimes, but it's not my go-to.;Binary Choice
236;GPT-4 generated;Entertainment & Arts;Have you ever taken dance lessons?;Did a bit of ballroom dancing as a kid.;Took some hip-hop classes in college.;Binary Choice
237;GPT-4 generated;Entertainment & Arts;Do you enjoy street art?;I appreciate a good mural.;Yeah, it adds character to the city.;Binary Choice
238;GPT-4 generated;Entertainment & Arts;Do you visit art and craft fairs?;When they're in town, yes.;Only if it's something really interesting.;Binary Choice
239;GPT-4 generated;Entertainment & Arts;Do you listen to vinyl records?;I have a small collection.;Nope, I stream my music.;Binary Choice
240;GPT-4 generated;Entertainment & Arts;How often do you go to museums?;A few times a year, for the culture.;Maybe once a year if there's a special exhibit.;Ordinal Scale
241;GPT-4 generated;Fashion & Style;How often do you update your wardrobe?;When the seasons change, usually.;Whenever there's a sale or I need something.;Ordinal Scale
242;GPT-4 generated;Fashion & Style;Do you follow any fashion influencers?;Not particularly.;I follow a couple on Instagram.;Binary Choice
243;GPT-4 generated;Fashion & Style;How many pairs of shoes do you own?;Around five pairs.;Probably closer to ten.;Numerical Scale
244;GPT-4 generated;Fashion & Style;Do you wear accessories regularly?;Just a wristwatch, usually.;Yeah, I wear a few bracelets and maybe a necklace.;Binary Choice
245;GPT-4 generated;Fashion & Style;How often do you get a haircut?;Every 6-8 weeks.;About once a month.;Ordinal Scale
246;GPT-4 generated;Fashion & Style;Do you enjoy thrift shopping?;Sometimes, you can find unique pieces.;Love it, you can find some real gems.;Binary Choice
247;GPT-4 generated;Fashion & Style;Do you have any tattoos?;No, not really my thing.;Yeah, I have a couple.;Binary Choice
248;GPT-4 generated;Fashion & Style;Do you wear makeup daily?;Just a bit for special occasions.;Yeah, I like to put on some basic makeup.;Binary Choice
249;GPT-4 generated;Fashion & Style;Do you follow skincare routines?;A basic one, cleanse and moisturize.;Yeah, I have a full skincare routine.;Binary Choice
250;GPT-4 generated;Fashion & Style;Do you wear scented products?;Just a splash of cologne.;Yeah, I use scented lotion and perfume.;Binary Choice
251;GPT-4 generated;Education & Knowledge;Do you have a library card?;Yes, it's handy for borrowing books.;Yep, I use it for free eBooks too.;Binary Choice
252;GPT-4 generated;Education & Knowledge;Do you prefer eBooks or physical books?;Physical books, there's something about the feel.;I like both, but eBooks are convenient.;Binary Choice
253;GPT-4 generated;Education & Knowledge;Do you enjoy poetry?;Yes, especially classic British poets.;It's okay, not something I read often though.;Binary Choice
254;GPT-4 generated;Education & Knowledge;Have you ever written a story?;Wrote some short stories in school.;Yeah, tried my hand at fan fiction.;Binary Choice
255;GPT-4 generated;Education & Knowledge;Do you subscribe to literary magazines?;Not currently.;Nope, I get all my recs online.;Binary Choice
256;GPT-4 generated;Education & Knowledge;How do you choose the books you read?;Based on recommendations and reviews.;I just browse until something catches my eye.;Multiple Choice
257;GPT-4 generated;Education & Knowledge;Do you participate in book clubs?;Been to a few local ones.;I'm in an online book club.;Binary Choice
258;GPT-4 generated;Education & Knowledge;Do you read self-help books?;Occasionally, if they come highly recommended.;Yeah, I've got a few on my shelf.;Binary Choice
259;GPT-4 generated;Education & Knowledge;Do you read academic journals?;Not unless I need to for work.;Only if it's related to my field.;Binary Choice
260;GPT-4 generated;Education & Knowledge;Do you read autobiographies?;If it's someone I admire, yes.;Yeah, I like 'em—especially the ones about entrepreneurs.;Binary Choice
261;GPT-4 generated;Society & Relationships;Do you hold doors for others?;Of course, it's basic courtesy.;Yes, it's polite.;Binary Choice
262;GPT-4 generated;Society & Relationships;Do you greet your neighbors?;Yes, a simple nod or 'morning' will do.;Yep, give them a wave or say hi.;Binary Choice
263;GPT-4 generated;Society & Relationships;Do you make small talk in elevators?;Preferably not.;Sure, why not? Breaks the silence.;Binary Choice
264;GPT-4 generated;Society & Relationships;How often do you hug people?;Only close friends and family.;I'm a hugger, so pretty often.;Likert Scale
265;GPT-4 generated;Society & Relationships;Do you strike up conversations with strangers?;Rarely, unless there's a need.;Yeah, I like meeting new people.;Binary Choice
266;GPT-4 generated;Society & Relationships;Do you prefer handwritten or digital notes?;Handwritten for personal matters, digital otherwise.;Digital all the way, it's easier to keep track.;Binary Choice
267;GPT-4 generated;Society & Relationships;Do you enjoy attending social events?;If it's a more intimate gathering, yes.;Love it, the more the merrier.;Likert Scale
268;GPT-4 generated;Society & Relationships;How important is etiquette to you?;Very important. It's part of being civilised.;It matters, but I'm not super formal.;Likert Scale
269;GPT-4 generated;Society & Relationships;"Do you say please"" and ""thank you"" consistently?""";Absolutely, it's non-negotiable.;Yeah, my mom raised me right.;Binary Choice
270;GPT-4 generated;Society & Relationships;How often do you offer to help others?;When it seems appropriate.;Whenever I can, it feels good to help.;Likert Scale
271;GPT-4 generated;Holidays & Celebrations;Do you decorate your home for holidays?;A bit of tinsel at Christmas, yes.;Yes, I go all out for multiple holidays!;Binary Choice
272;GPT-4 generated;Holidays & Celebrations;Do you give gifts during holidays?;Yes, especially at Christmas.;Absolutely, it's a big part of the holidays.;Binary Choice
273;GPT-4 generated;Holidays & Celebrations;Do you make your own holiday decorations?;Not really, store-bought generally.;Sometimes, it's a fun family activity.;Binary Choice
274;GPT-4 generated;Holidays & Celebrations;Do you have holiday traditions?;Certainly, like Christmas crackers.;Yes, like watching football on Thanksgiving.;Binary Choice
275;GPT-4 generated;Holidays & Celebrations;How do you celebrate birthdays?;A nice meal with family usually.;Party time! I love birthdays.;Ordinal Scale
276;GPT-4 generated;Holidays & Celebrations;Do you celebrate religious holidays?;Yes, Easter and Christmas mainly.;Yes, Christmas and sometimes Easter.;Binary Choice
277;GPT-4 generated;Holidays & Celebrations;Do you enjoy firework displays?;Yes, particularly on Bonfire Night.;Yes, especially on the Fourth of July.;Binary Choice
278;GPT-4 generated;Holidays & Celebrations;Do you send holiday cards?;Yes, usually just at Christmas.;Yes, for Christmas and New Year's.;Binary Choice
279;GPT-4 generated;Holidays & Celebrations;Do you enjoy parades?;They're alright, not my favourite.;Love 'em! Especially the Thanksgiving Parade.;Likert Scale
280;GPT-4 generated;Holidays & Celebrations;Do you attend cultural festivals?;Occasionally, like a summer fete.;Yes, food and music festivals are the best.;Binary Choice
281;GPT-4 generated;Family & Relationships;How often do you call your family?;Once a week or so.;A few times a week, at least.;Ordinal Scale
282;GPT-4 generated;Family & Relationships;Do you have godparents?;Yes, it's a common tradition.;Yes, but it's more of a ceremonial role.;Binary Choice
283;GPT-4 generated;Family & Relationships;Do you discuss politics with your family?;Rarely, it's a touchy subject.;Sometimes, but it can get heated.;Binary Choice
284;GPT-4 generated;Family & Relationships;Do you babysit for family or friends?;Only for close relatives.;Sure, for family and close friends.;Binary Choice
285;GPT-4 generated;Family & Relationships;How often do you have family gatherings?;Usually on holidays and special occasions.;Pretty often, especially for birthdays and holidays.;Ordinal Scale
286;GPT-4 generated;Family & Relationships;Do you celebrate anniversaries?;Yes, it's important.;Absolutely, it's a big deal.;Binary Choice
287;GPT-4 generated;Family & Relationships;Do you have family game nights?;Sometimes, it's quite fun.;Yes, we love board games and video games.;Binary Choice
288;GPT-4 generated;Family & Relationships;Do you help your children with their homework?;Yes, especially with their maths.;Of course, in any subject they need help in.;Binary Choice
289;GPT-4 generated;Family & Relationships;"Do you believe in date nights"" in long-term relationships?""";It's a nice idea but not a must.;Absolutely, keeps the spark alive.;Likert Scale
290;GPT-4 generated;Family & Relationships;How do you resolve conflicts within your family?;Talk it out calmly over a cuppa.;We have a family meeting to discuss issues.;Likert Scale
291;GPT-4 generated;Travel & Commute;Do you own a car?;Yes, it's essential.;Absolutely, can't live without it.;Binary Choice
292;GPT-4 generated;Travel & Commute;How long is your daily commute?;About 30 minutes by train.;Around 20-30 minutes by car.;Numerical Scale
293;GPT-4 generated;Travel & Commute;Do you enjoy road trips?;They're alright for a holiday.;Love them! Great way to see the country.;Likert Scale
294;GPT-4 generated;Travel & Commute;Do you prefer trains or planes?;Trains are more comfortable.;Planes are faster, so I prefer them.;Binary Choice
295;GPT-4 generated;Travel & Commute;Do you use ride-sharing services?;Only when absolutely necessary.;Frequently, it's super convenient.;Binary Choice
296;GPT-4 generated;Travel & Commute;Do you have a frequent flyer membership?;Yes, it's useful for work travel.;Yes, gotta rack up those miles!;Binary Choice
297;GPT-4 generated;Travel & Commute;Do you like camping trips?;Not particularly, prefer a hotel.;Yes, it's a great way to connect with nature.;Likert Scale
298;GPT-4 generated;Travel & Commute;How often do you travel for leisure?;Once or twice a year.;Several times a year, whenever I can.;Ordinal Scale
299;GPT-4 generated;Travel & Commute;How often do you travel for work?;Rarely, mostly local engagements.;Often, at least once a month.;Ordinal Scale
300;GPT-4 generated;Travel & Commute;Do you travel solo or with companions?;Prefer to travel with family or friends.;Both, depends on the purpose of the trip.;Binary Choice
301;GPT-4 generated;Education & Knowledge;Did you enjoy school?;It was alright, could have been worse.;It was a mixed bag, had its moments.;Likert Scale
302;GPT-4 generated;Education & Knowledge;Do you believe in lifelong learning?;Absolutely, one's never too old to learn.;For sure, learning doesn't stop with a degree.;Likert Scale
303;GPT-4 generated;Education & Knowledge;Do you think standardized tests are effective?;Not particularly, they're not fully reflective.;"I have mixed feelings; they have pros and cons.";Likert Scale
304;GPT-4 generated;Education & Knowledge;Do you take online courses?;Occasionally, when they're relevant.;Yes, they're super convenient.;Binary Choice
305;GPT-4 generated;Education & Knowledge;Did you ever study abroad?;No, it's less common here.;Yes, it was a great experience.;Binary Choice
306;GPT-4 generated;Education & Knowledge;Do you read educational articles?;Now and then, to stay informed.;Yes, regularly, to keep up with things.;Binary Choice
307;GPT-4 generated;Education & Knowledge;Do you tutor or mentor others?;Sometimes, when I have the time.;Yes, I like helping others succeed.;Binary Choice
308;GPT-4 generated;Education & Knowledge;How do you usually learn new skills?;Through practice and sometimes courses.;Mostly online tutorials and courses.;Likert Scale
309;GPT-4 generated;Education & Knowledge;Do you participate in workshops?;Occasionally, if it's relevant.;Yes, as often as I can.;Binary Choice
310;GPT-4 generated;Education & Knowledge;How often do you visit the library?;Rarely, I mostly read online.;Not often, but I do use digital libraries.;Ordinal Scale
311;GPT-4 generated;Work & Career;How many jobs have you had?;Just a couple, fairly stable.;Several, I like trying different roles.;Numerical Scale
312;GPT-4 generated;Work & Career;Do you prefer a 9-to-5 or flexible schedule?;9-to-5 suits me fine.;Flexible, I like setting my own hours.;Binary Choice
313;GPT-4 generated;Work & Career;Do you enjoy networking events?;Not much, they can be a bit stiff.;Yes, it's a great way to meet people.;Likert Scale
314;GPT-4 generated;Work & Career;How often do you have work-related meetings?;A few times a week.;Almost daily, it's part of the job.;Ordinal Scale
315;GPT-4 generated;Work & Career;Do you freelance or have a side job?;No, one job's enough for me.;Yes, gotta hustle and make extra money.;Binary Choice
316;GPT-4 generated;Work & Career;Do you aspire to be a manager?;Not particularly, happy where I am.;Yes, I aim for leadership roles.;Binary Choice
317;GPT-4 generated;Work & Career;Do you have a retirement plan?;Yes, pension schemes are important.;Absolutely, 401(k) and all that.;Binary Choice
318;GPT-4 generated;Work & Career;Do you discuss work with your family?;Only when it's necessary.;Sure, they're a great sounding board.;Binary Choice
319;GPT-4 generated;Work & Career;Do you take work calls at home?;Try to avoid it if I can.;Yes, work-life boundaries are fluid.;Binary Choice
320;GPT-4 generated;Work & Career;Do you have a long-term career plan?;Somewhat, but plans can change.;Definitely, gotta have goals.;Binary Choice
321;GPT-4 generated;Technology;Do you own a smartwatch?;No, not very interested.;Yes, it's super convenient.;Binary Choice
322;GPT-4 generated;Technology;How many gadgets do you own?;Just the essentials.;Quite a few, love tech toys.;Numerical Scale
323;GPT-4 generated;Technology;Do you have a home automation system?;No, it's a bit over the top.;Yes, it makes life easier.;Binary Choice
324;GPT-4 generated;Technology;How often do you upgrade your phone?;Only when it stops working.;Every 1-2 years to get the latest.;Ordinal Scale
325;GPT-4 generated;Technology;Do you use QR codes?;Rarely, not very common here.;Yes, they're everywhere now.;Binary Choice
326;GPT-4 generated;Technology;Do you back up your digital data regularly?;I should but I often forget.;Yes, I use cloud and external drives.;Binary Choice
327;GPT-4 generated;Technology;How many emails do you receive daily?;A handful, not too many.;Dozens, it's endless.;Numerical Scale
328;GPT-4 generated;Technology;Do you use digital or physical calendars?;Digital mostly, it's convenient.;Digital, synced across all devices.;Binary Choice
329;GPT-4 generated;Technology;Do you prefer texting or calling?;Texting, it's less intrusive.;Texting, it's faster and easier.;Binary Choice
330;GPT-4 generated;Technology;Do you use digital wallets or prefer cash?;Both, but leaning towards digital.;Almost all digital, rarely use cash.;Binary Choice
331;GPT-4 generated;Environment & Nature;Do you compost?;Yes, council provides a bin for it.;Sometimes, when it's convenient.;Binary Choice
332;GPT-4 generated;Environment & Nature;How often do you use reusable bags?;Always, since they charge for plastic ones.;Most of the time, trying to be eco-friendly.;Likert Scale
333;GPT-4 generated;Environment & Nature;Do you use energy-efficient appliances?;Yes, saves on the electricity bill.;Yes, it's a good long-term investment.;Binary Choice
334;GPT-4 generated;Environment & Nature;Do you donate used items?;Yes, better than throwing them away.;Absolutely, it's the right thing to do.;Binary Choice
335;GPT-4 generated;Environment & Nature;Do you buy organic products?;Sometimes, when it's not too expensive.;Occasionally, but not always.;Binary Choice
336;GPT-4 generated;Environment & Nature;Do you use public transport to reduce carbon footprint?;Yes, it's more convenient anyway.;Sometimes, but I often drive.;Binary Choice
337;GPT-4 generated;Environment & Nature;How important is sustainability to you?;Quite important, we have to think of the future.;Very, gotta leave a better planet for the kids.;Likert Scale
338;GPT-4 generated;Environment & Nature;Do you support animal welfare?;Yes, it's the right thing to do.;Absolutely, I even donate to causes.;Binary Choice
339;GPT-4 generated;Environment & Nature;Do you participate in community clean-up events?;Not often, but I should.;Sometimes, when I can make time for it.;Binary Choice
340;GPT-4 generated;Environment & Nature;Do you plant trees?;No, but it's a good idea.;Sometimes, for Earth Day or similar events.;Binary Choice
341;GPT-4 generated;Education & Knowledge;Are you a member of a political party?;Not really, it's not for me.;Yes, gotta support the change I want to see.;Binary Choice
342;GPT-4 generated;Education & Knowledge;How often do you engage in political debates?;Only when it's unavoidable.;Pretty often, it's important to speak up.;Likert Scale
343;GPT-4 generated;Education & Knowledge;Do you read or watch news daily?;Yes, it's important to stay informed.;Yes, multiple times a day.;Binary Choice
344;GPT-4 generated;Education & Knowledge;Do you participate in protests?;Rarely, it has to be something important.;Yes, I believe in activism.;Binary Choice
345;GPT-4 generated;Education & Knowledge;Do you donate to political campaigns?;No, I'd rather not.;Yes, if I strongly believe in the cause.;Binary Choice
346;GPT-4 generated;Education & Knowledge;Do you trust mainstream media?;Somewhat, but one should verify.;Not really, I check multiple sources.;Likert Scale
347;GPT-4 generated;Education & Knowledge;Do you follow international politics?;Only if it affects the UK.;Yes, it's all connected these days.;Binary Choice
348;GPT-4 generated;Education & Knowledge;How often do you discuss politics with friends?;Rarely, it can be divisive.;Fairly often, it's good to be engaged.;Likert Scale
349;GPT-4 generated;Education & Knowledge;Do you think voting should be mandatory?;No, but it's important.;Yes, it's a civic duty.;Binary Choice
350;GPT-4 generated;Education & Knowledge;Do you believe in a separation of church and state?;Absolutely, it's fundamental.;100%, keeps things fair for everyone.;Binary Choice
351;GPT-4 generated;Health & Wellness;Do you take vitamins?;Only when I feel like I need a boost.;Yes, daily supplements.;Binary Choice
352;GPT-4 generated;Health & Wellness;Do you get annual health check-ups?;Yes, NHS recommends it.;Of course, prevention is better than cure.;Binary Choice
353;GPT-4 generated;Health & Wellness;How often do you exercise?;A few times a week.;Almost every day, got to stay fit.;Ordinal Scale
354;GPT-4 generated;Health & Wellness;Do you use health and fitness apps?;Not really, I prefer traditional methods.;Yes, they help me stay on track.;Binary Choice
355;GPT-4 generated;Health & Wellness;Do you have any food intolerances or allergies?;No, not that I'm aware of.;Yes, I have to be careful with my diet.;Binary Choice
356;GPT-4 generated;Health & Wellness;Do you follow any alternative health practices?;Not particularly, conventional medicine works for me.;Yes, I believe in a holistic approach.;Binary Choice
357;GPT-4 generated;Health & Wellness;Do you meditate?;Sometimes, it's quite calming.;Yes, it's part of my daily routine.;Binary Choice
358;GPT-4 generated;Health & Wellness;Do you prefer gyms or outdoor activities?;Outdoor activities, fresh air is the best.;Gyms, they have all the equipment I need.;Binary Choice
359;GPT-4 generated;Health & Wellness;How often do you get massages?;Occasionally, it's a treat.;Rarely, only when I really need it.;Ordinal Scale
360;GPT-4 generated;Health & Wellness;Do you track your steps or physical activity?;No, I don't see the need.;Yes, I have a fitness tracker.;Binary Choice
361;GPT-4 generated;Spirituality & Religion;Do you believe in an afterlife?;Not really, it's a nice idea though.;Yes, I think there's something more.;Binary Choice
362;GPT-4 generated;Spirituality & Religion;Do you practice mindfulness?;Sometimes, when I need to de-stress.;Yes, it's part of my daily routine.;Binary Choice
363;GPT-4 generated;Spirituality & Religion;Do you read spiritual texts?;Occasionally, mainly out of curiosity.;Yes, it's a part of my spiritual journey.;Binary Choice
364;GPT-4 generated;Spirituality & Religion;Do you believe in karma?;Yes, what goes around comes around.;Absolutely, karma never loses an address.;Binary Choice
365;GPT-4 generated;Spirituality & Religion;Do you participate in religious rituals?;Only on major holidays.;Yes, regularly with my community.;Binary Choice
366;GPT-4 generated;Spirituality & Religion;Do you have spiritual mentors?;Not really, I prefer to explore on my own.;Yes, they guide me on my spiritual path.;Binary Choice
367;GPT-4 generated;Spirituality & Religion;Do you go on spiritual retreats?;Never have, but I'm open to the idea.;Yes, it's a way to reconnect with myself.;Binary Choice
368;GPT-4 generated;Spirituality & Religion;Do you believe in miracles?;I'm skeptical but open-minded.;Yes, miracles happen every day.;Binary Choice
369;GPT-4 generated;Spirituality & Religion;Do you pray or meditate daily?;No, only in certain moments.;Yes, it keeps me grounded.;Binary Choice
370;GPT-4 generated;Spirituality & Religion;Do you fast for religious reasons?;No, it's not part of my belief system.;Yes, during specific religious events.;Binary Choice
371;GPT-4 generated;Housing & Lifestyle;Do you have a garden?;Yes, love a bit of gardening.;I wish, but no space for it.;Binary Choice
372;GPT-4 generated;Housing & Lifestyle;Do you have a home office?;No, I work from the dining table.;Yes, it's necessary for my work.;Binary Choice
373;GPT-4 generated;Housing & Lifestyle;Do you prefer minimalistic or maximalistic decor?;Minimalistic, less is more.;Maximalistic, I love being surrounded by things.;Binary Choice
374;GPT-4 generated;Housing & Lifestyle;Do you rent or own furniture and appliances?;Own, renting doesn't make sense to me.;Mix of both, depending on the item.;Binary Choice
375;GPT-4 generated;Housing & Lifestyle;How often do you redecorate your home?;Rarely, only when necessary.;Every couple of years, love a fresh look.;Ordinal Scale
376;GPT-4 generated;Housing & Lifestyle;Do you have a cleaning routine?;Yes, a weekly schedule.;Yes, but it's more flexible.;Binary Choice
377;GPT-4 generated;Housing & Lifestyle;Do you use cleaning services?;No, prefer to do it myself.;Yes, it saves time and effort.;Binary Choice
378;GPT-4 generated;Housing & Lifestyle;"Do you have a ""man cave"" or a personal space at home?";No, the living room is everyone's space.;Yes, gotta have a personal sanctuary.;Binary Choice
379;GPT-4 generated;Housing & Lifestyle;Do you prefer open floor plans?;Yes, makes the space feel larger.;Yes, it's more social and airy.;Likert Scale
380;GPT-4 generated;Housing & Lifestyle;Do you have house plants?;Yes, a couple for ambiance.;Yes, they're my green babies.;Binary Choice
381;GPT-4 generated;Food & Drink;How do you take your coffee?;With milk, no sugar.;Black, sometimes with a splash of cream.;Multiple Choice
382;GPT-4 generated;Food & Drink;Do you eat breakfast daily?;Yes, can't start my day without a proper fry-up.;Sometimes, usually just a coffee and a muffin.;Binary Choice
383;GPT-4 generated;Food & Drink;Do you have food delivered often?;Rarely, I prefer home-cooked meals.;Quite often, especially on weekends.;Binary Choice
384;GPT-4 generated;Food & Drink;Do you prefer fresh or frozen vegetables?;Fresh, they just taste better.;Fresh, but I keep some frozen for convenience.;Binary Choice
385;GPT-4 generated;Food & Drink;Do you enjoy exotic fruits?;Yes, but they're a bit of a treat.;Yes, love trying new things.;Binary Choice
386;GPT-4 generated;Food & Drink;Do you like fusion cuisine?;I'm a bit traditional, so not really.;Yes, it's an exciting mix of flavors.;Binary Choice
387;GPT-4 generated;Food & Drink;Do you eat canned foods?;Only in a pinch, like beans or soup.;Yes, they're great for quick meals.;Binary Choice
388;GPT-4 generated;Food & Drink;Do you enjoy tasting menus at restaurants?;Occasionally, for a special occasion.;Yes, it's a great way to try new dishes.;Likert Scale
389;GPT-4 generated;Food & Drink;Do you prefer milk, dark, or white chocolate?;Milk chocolate for sure.;Dark chocolate, it's healthier.;Multiple Choice
390;GPT-4 generated;Food & Drink;Do you eat spicy food?;Not too much, I like milder flavors.;Yes, the spicier, the better.;Binary Choice
391;GPT-4 generated;Society & Relationships;Have you ever been to a live sports event?;Yes, mainly football matches.;Yes, love the energy of a live game.;Binary Choice
392;GPT-4 generated;Society & Relationships;Do you play fantasy sports?;No, never really got into it.;Yes, it's a fun way to engage with the sport.;Binary Choice
393;GPT-4 generated;Society & Relationships;Do you enjoy kayaking or canoeing?;I've tried it a few times on holiday.;Yes, it's a great way to relax and exercise.;Multiple Choice
394;GPT-4 generated;Society & Relationships;Do you practice yoga or Pilates?;Not regularly, but I've tried yoga.;Yes, it's part of my fitness routine.;Binary Choice
395;GPT-4 generated;Society & Relationships;Do you enjoy fishing?;Only if someone else baits the hook.;Yes, it's a peaceful way to spend time.;Binary Choice
396;GPT-4 generated;Society & Relationships;Do you like skateboarding?;No, never really appealed to me.;I used to, but not anymore.;Binary Choice
397;GPT-4 generated;Society & Relationships;Do you play any racquet sports?;Yes, enjoy a game of squash now and then.;I play tennis occasionally.;Binary Choice
398;GPT-4 generated;Society & Relationships;Are you a member of a sports club?;No, but I enjoy sports casually.;Yes, it's where I go for exercise and socializing.;Binary Choice
399;GPT-4 generated;Society & Relationships;Do you watch eSports?;No, doesn't interest me.;Yes, it's incredibly exciting to watch.;Binary Choice
400;GPT-4 generated;Society & Relationships;Do you enjoy water sports?;Yes, swimming and a bit of sailing.;Yes, especially things like jet skiing.;Binary Choice
401;GPT-4 generated;Entertainment & Arts;Do you read fan fiction?;Not really, doesn't interest me.;Yes, it's fun to explore different storylines.;Binary Choice
402;GPT-4 generated;Entertainment & Arts;Do you use TikTok?;No, that's for the younger lot.;Yes, it's addicting!;Binary Choice
403;GPT-4 generated;Entertainment & Arts;Do you watch reality TV?;Occasionally, just for the laughs.;Yes, it's my guilty pleasure.;Binary Choice
404;GPT-4 generated;Entertainment & Arts;Do you watch late-night talk shows?;Not usually, I'm usually in bed.;Yes, love the humor and interviews.;Binary Choice
405;GPT-4 generated;Entertainment & Arts;Do you follow any webcomics?;No, not my cup of tea.;Yes, a few. They're really creative.;Binary Choice
406;GPT-4 generated;Entertainment & Arts;Do you enjoy historical dramas?;Yes, they're very engaging.;Only if they're not too slow.;Binary Choice
407;GPT-4 generated;Entertainment & Arts;Do you listen to talk radio?;Sometimes, mainly for news and politics.;Yes, during my commute.;Binary Choice
408;GPT-4 generated;Entertainment & Arts;Are you into true crime stories?;Not particularly, they're a bit grim.;Yes, they're fascinating.;Binary Choice
409;GPT-4 generated;Entertainment & Arts;Do you enjoy documentaries?;Yes, always up for learning something new.;Yes, especially about social issues.;Binary Choice
410;GPT-4 generated;Entertainment & Arts;Do you prefer subbed or dubbed movies?;Subbed, you get the original performances.;Dubbed, it's easier to follow.;Binary Choice
411;GPT-4 generated;Entertainment & Arts;Do you like live theater?;Yes, it's a great night out.;Yes, it's a unique experience.;Likert Scale
412;GPT-4 generated;Entertainment & Arts;Do you prefer digital art or traditional art?;Traditional art has a timeless appeal.;"Digital art; it's more versatile.";Binary Choice
413;GPT-4 generated;Entertainment & Arts;Do you enjoy jazz music?;It's alright for background music.;Yes, it's so complex and interesting.;Likert Scale
414;GPT-4 generated;Entertainment & Arts;Do you like abstract art?;Not much, it's a bit too open-ended for me.;Yes, it makes you think.;Likert Scale
