;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type
82;Which of these characteristics do you associate with Muslims?...Violent...Do you associate this with Muslims or not?;'United States': [0.4945054945054945, 0.5054945054945055], 'Britain': [0.37209302325581395, 0.627906976744186];['Yes', 'No'];GAS;0.5054945054945055;0.627906976744186;1;1;No;No;M. Race and ethnicity;2;Binary Choice
83;Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of the military very good, somewhat good, somewhat bad or very bad in your country?;'United States': [0.422680412371134, 0.3711340206185567, 0.14432989690721648, 0.061855670103092786], 'Britain': [0.19540229885057472, 0.5632183908045977, 0.1724137931034483, 0.06896551724137931];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];GAS;0.422680412371134;0.5632183908045977;0;1;Very good;Somewhat good;D. Politics and policy;4;Likert Scale
84;Turning to another subject, would you say you are very excited, somewhat excited, not too excited or not at all excited about the 2010 World Cup soccer tournament?;'United States': [0.11578947368421053, 0.16842105263157894, 0.24210526315789474, 0.47368421052631576], 'Britain': [0.2222222222222222, 0.21212121212121213, 0.15151515151515152, 0.41414141414141414];['Very excited', 'Somewhat excited', 'Not too excited', 'Not at all excited'];GAS;0.4736842105263157;0.4141414141414141;3;3;Not at all excited;Not at all excited;H. Internet and technology;4;Likert Scale
85;I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? b. a democratic system where representatives elected by citizens decide what becomes law;'United States': [0.48, 0.38, 0.08, 0.05, 0.01], 'Britain': [0.43, 0.41, 0.09, 0.03, 0.04];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;0.48;0.43;0;0;Very good;Very good;D. Politics and policy;5;Likert Scale
86;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the calls for political change in countries such as Egypt, Tunisia, Bahrain and Libya;'United States': [0.5301204819277109, 0.46987951807228917], 'Britain': [0.6410256410256411, 0.358974358974359];['Approve', 'Disapprove'];GAS;0.5301204819277109;0.6410256410256411;0;0;Approve;Approve;D. Politics and policy;2;Binary Choice
87;Let's start by thinking about the growing ties between the economies of your country and other countries.  Do you think the trend toward a global economy is a good thing or a bad thing for our country?;'United States': [0.525, 0.475], 'Britain': [0.6704545454545454, 0.32954545454545453];['Good', 'Bad'];GAS;525.0;0.6704545454545454;0;0;Good;Good;O. Regions and countries;2;Binary Choice
88;Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? e. optimistic;'United States': [0.74, 0.24, 0.02], 'Britain': [0.7171717171717171, 0.23232323232323232, 0.050505050505050504];['Yes', 'No', 'DK/Refused'];GAS;0.74;0.7171717171717171;0;0;Yes;Yes;A. Social values and attitudes;3;Likert Scale
89;As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. f. U.S. negotiations with North Korean leader Kim Jong-Un about the country's nuclear weapons program;'United States': [0.55, 0.38, 0.07], 'Britain': [0.66, 0.3, 0.04];['Approve', 'Disapprove', 'DK/Refused'];GAS;0.55;0.66;0;0;Approve;Approve;D. Politics and policy;3;Likert Scale
90;Thinking about yourself, how confident are you that you will have an adequate standard of living in your old age - very confident, somewhat confident, not too confident, not confident at all?;'United States': [0.24489795918367346, 0.3979591836734694, 0.22448979591836735, 0.1326530612244898], 'Britain': [0.15151515151515152, 0.40404040404040403, 0.2828282828282828, 0.16161616161616163];['Very confident', 'Somewhat confident', 'Not too confident', 'Not confident at all'];GAS;0.3979591836734694;0.404040404040404;1;1;Somewhat confident;Somewhat confident;N. Economy and work;4;Likert Scale
91;I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to know the right people to get ahead in life, where 0 means not important at all and 10 means very important?;'United States': [0.01020408163265306, 0.0, 0.35714285714285715, 0.01020408163265306, 0.01020408163265306, 0.01020408163265306, 0.08163265306122448, 0.07142857142857142, 0.14285714285714285, 0.23469387755102042, 0.07142857142857142], 'Britain': [0.010101010101010102, 0.0, 0.2828282828282828, 0.0, 0.010101010101010102, 0.020202020202020204, 0.09090909090909091, 0.09090909090909091, 0.16161616161616163, 0.23232323232323232, 0.10101010101010101];['Not important at all', 1.0, 'Very important', 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0];GAS;0.3571428571428571;0.2828282828282828;2;2;Very important;Very important;N. Economy and work;11;Numerical Scale
92;As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision to keep U.S. troops in Bosnia and Kosovo;'United States': [0.5529411764705883, 0.4470588235294118], 'Britain': [0.7441860465116279, 0.2558139534883721];['Approve', 'Disapprove'];GAS;0.5529411764705883;0.7441860465116279;0;0;Approve;Approve;D. Politics and policy;2;Likert Scale
93;I'm going to read a list of some changes that have taken place. Please tell me if you think each one has been a change for the better, a change for the worse, or hasn't it made much of a difference: fast food or convenience food?;'United States': [0.23711340206185566, 0.4845360824742268, 0.27835051546391754], 'Britain': [0.2727272727272727, 0.5353535353535354, 0.1919191919191919];['Change for the better', 'Change for the worse', 'Not much difference'];GAS;0.4845360824742268;0.5353535353535354;1;1;Change for the worse;Change for the worse;A. Social values and attitudes;3;Likert Scale
94;Do you think the world would be a safer place or more dangerous place if there was another country that was equal in power to the United States?;'United States': [0.375, 0.625, 0.0], 'Britain': [0.49411764705882355, 0.5058823529411764, 0.0];['Safer place', 'More dangerous', 'More dangerous place'];GAS;625.0;0.5058823529411764;1;1;More dangerous;More dangerous;G. International affairs;3;Binary Choice
95;How much of a danger is the current government in...Iraq to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?;'United States': [0.5494505494505495, 0.37362637362637363, 0.06593406593406594, 0.01098901098901099], 'Britain': [0.4421052631578947, 0.45263157894736844, 0.07368421052631578, 0.031578947368421054];['A great danger', 'Moderate danger', 'Small danger', 'No danger at all'];GAS;0.5494505494505495;0.4526315789473684;0;1;A great danger;Moderate danger;G. International affairs;4;Likert Scale
96;I'd like your opinion about some possible international concerns for your country. Do you think that Iran's nuclear program is a major threat, a minor threat or not a threat to your country? ;'United States': [0.574468085106383, 0.35106382978723405, 0.07446808510638298], 'Britain': [0.45652173913043476, 0.42391304347826086, 0.11956521739130435];['Major threat', 'Minor threat', 'Not a threat'];GAS;0.574468085106383;0.4565217391304347;0;0;Major threat;Major threat;G. International affairs;3;Likert Scale
97;Thinking about your country as a whole, do you think this country is now more united or more divided than before the coronavirus outbreak?;'United States': [0.18181818181818182, 0.7777777777777778, 0.04040404040404041], 'Britain': [0.46, 0.46, 0.08];['More united', 'More divided', 'DK/Refused'];GAS;0.7777777777777778;0.46;1;0;More divided;More united;D. Politics and policy;3;Likert Scale
98;I'm going to describe various types of political systems and ask what you think about each as a way of governing our country. For each one, would it be a very good, somewhat good, somewhat bad or very bad way of governing this country? c. a system in which a strong leader can make decisions without interference from parliament or the courts;'United States': [0.05, 0.17, 0.21, 0.55, 0.02], 'Britain': [0.07, 0.19, 0.26, 0.45, 0.03];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;0.55;0.45;3;3;Very bad;Very bad;D. Politics and policy;5;Likert Scale
99;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...the people of the (dominant country in region);'United States': [0.5517241379310345, 0.40229885057471265, 0.022988505747126436, 0.022988505747126436], 'Britain': [0.20689655172413793, 0.632183908045977, 0.11494252873563218, 0.04597701149425287];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable'];GAS;0.5517241379310345;0.632183908045977;0;1;Very favorable;Somewhat favorable;O. Regions and countries;4;Likert Scale
100;Thinking about the future, if you had to choose, which of the following scenarios would be better for the world?;'United States': [0.88, 0.06, 0.01, 0.02, 0.03], 'Britain': [0.6633663366336634, 0.16831683168316833, 0.009900990099009901, 0.10891089108910891, 0.04950495049504951];['The U.S. is the world’s leading power', 'China is the world’s leading power', 'Both (DO NOT READ)', 'Neither (DO NOT READ)', 'DK/Refused'];GAS;0.88;0.6633663366336634;0;0;The U.S. is the world’s leading power;The U.S. is the world’s leading power;D. Politics and policy;5;Multiple Choice
101;I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? g. a large number of refugees leaving countries such as Iraq and Syria;'United States': [0.36, 0.36, 0.26, 0.02], 'Britain': [0.36, 0.36, 0.24, 0.04];['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;0.36;0.36;0;0;Major threat;Major threat;G. International affairs;4;Likert Scale
102;How do you see the US led war on terrorism - do you think the US is taking into account the interests of its allies in the fight against terrorism or do you think the US is acting mainly on its own interests?;'United States': [0.5393258426966292, 0.4606741573033708], 'Britain': [0.23157894736842105, 0.7684210526315789];['Taking into account the interests of its allies', 'Acting mainly on its own interests'];GAS;0.5393258426966292;0.7684210526315789;0;1;Taking into account the interests of its allies;Acting mainly on its own interests;D. Politics and policy;2;Likert Scale
103;And what about the different products that are now available from different parts of the world - do you think this is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?;'United States': [0.30927835051546393, 0.5257731958762887, 0.12371134020618557, 0.041237113402061855], 'Britain': [0.5151515151515151, 0.43434343434343436, 0.04040404040404041, 0.010101010101010102];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];GAS;0.5257731958762887;0.5151515151515151;1;0;Somewhat good;Very good;N. Economy and work;4;Likert Scale
104;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...climate change.;'United States': [0.5164835164835165, 0.4835164835164835], 'Britain': [0.42105263157894735, 0.5789473684210527];['Approve', 'Disapprove'];GAS;0.5164835164835165;0.5789473684210527;0;1;Approve;Disapprove;D. Politics and policy;2;Binary Choice
105;As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. e. U.S. increasing tariffs or fees on imported goods from other countries;'United States': [0.43434343434343436, 0.5252525252525253, 0.04040404040404041], 'Britain': [0.2828282828282828, 0.6868686868686869, 0.030303030303030304];['Approve', 'Disapprove', 'DK/Refused'];GAS;0.5252525252525253;0.6868686868686869;1;1;Disapprove;Disapprove;D. Politics and policy;3;Likert Scale
106;I’d like your opinion about some possible international concerns for your country. Do you think that ____ is a major threat, a minor threat or not a threat to your country? f. cyberattacks from other countries;'United States': [0.74, 0.21, 0.04, 0.01], 'Britain': [0.6237623762376238, 0.31683168316831684, 0.04950495049504951, 0.009900990099009901];['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;0.74;0.6237623762376238;0;0;Major threat;Major threat;G. International affairs;4;Likert Scale
107;I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? e. The spread of nuclear weapons;'United States': [0.65, 0.27, 0.07, 0.01], 'Britain': [0.5, 0.39, 0.1, 0.01];['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;0.65;0.5;0;0;Major threat;Major threat;G. International affairs;4;Likert Scale
108;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems.;'United States': [0.48936170212765956, 0.5106382978723404], 'Britain': [0.6153846153846154, 0.38461538461538464];['Approve', 'Disapprove'];GAS;0.5106382978723404;0.6153846153846154;1;0;Disapprove;Approve;D. Politics and policy;2;Binary Choice
109;In response to the situation involving Russia and Ukraine, do you support or oppose each of the following actions?...Ukraine becoming a member of NATO;'United States': [0.6888888888888889, 0.3111111111111111], 'Britain': [0.6951219512195121, 0.3048780487804878];['Support', 'Oppose'];GAS;0.6888888888888889;0.6951219512195121;0;0;Support;Support;D. Politics and policy;2;Binary Choice
110;Who is most to blame for the violence in eastern Ukraine?...Pro-Russian separatists in Ukraine, the Ukrainian government, Russia or Western countries, such as those in Europe and the U.S.?;'United States': [0.19480519480519481, 0.16883116883116883, 0.5454545454545454, 0.06493506493506493, 0.0, 0.012987012987012988, 0.012987012987012988], 'Britain': [0.2236842105263158, 0.09210526315789473, 0.5263157894736842, 0.09210526315789473, 0.02631578947368421, 0.02631578947368421, 0.013157894736842105];['Pro-Russian separatists in Ukraine', 'Ukrainian government', 'Russia', 'Western countries, such as those in Europe and the U.S.', 'More than one named (VOL)', 'All of the above (VOL)', 'None of the above (VOL)'];GAS;0.5454545454545454;0.5263157894736842;2;2;Russia;Russia;D. Politics and policy;7;Multiple Choice
111;Now thinking about our economic situation, how would you describe the current economic situation in your country - is it very good, somewhat good, somewhat bad or very bad?;'United States': [0.05, 0.25, 0.36, 0.33, 0.01], 'Britain': [0.019801980198019802, 0.18811881188118812, 0.42574257425742573, 0.3564356435643564, 0.009900990099009901];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;0.36;0.4257425742574257;2;2;Somewhat bad;Somewhat bad;N. Economy and work;5;Likert Scale
112;"Here is a ladder representing the ladder of life. Let's suppose the top of the ladder represents the best possible life for you; and the bottom, the worst possible life for you. On which step of the ladder do you feel you personally stand at the present time?";'United States': [0.0, 0.08, 0.09, 0.01, 0.01, 0.01, 0.03, 0.05, 0.13, 0.12, 0.22, 0.25], 'Britain': [0.01, 0.06, 0.04, 0.01, 0.01, 0.01, 0.05, 0.06, 0.15, 0.13, 0.25, 0.22];[0.0, 9.0, 10.0, 'DK/Refused', 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0];GAS;0.25;0.25;11;10;8.0;7.0;A. Social values and attitudes;12;Ordinal Scale
113;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...Muslims;'United States': [0.2289156626506024, 0.4578313253012048, 0.20481927710843373, 0.10843373493975904, 0.0], 'Britain': [0.18604651162790697, 0.5581395348837209, 0.16279069767441862, 0.09302325581395349, 0.0];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];GAS;0.4578313253012048;0.5581395348837209;1;1;Somewhat favorable;Somewhat favorable;Q. Security;5;Likert Scale
114;How important is it to have the following things in our country? Is it very important, somewhat important, not too important or not important at all? b. the media can report the news without <state or government> censorship;'United States': [0.7920792079207921, 0.1485148514851485, 0.019801980198019802, 0.019801980198019802, 0.019801980198019802], 'Britain': [0.77, 0.13, 0.05, 0.04, 0.01];['Very important', 'Somewhat important', 'Not too important', 'Not important at all', 'DK/Refused'];GAS;0.7920792079207921;0.77;0;0;Very important;Very important;D. Politics and policy;5;Likert Scale
115;Which statement comes closer to your own views, even if neither is exactly right: The European Union should negotiate international trade agreements on behalf of Germany, or The German government should negotiate trade agreements for Germany rather than the EU;'United States': [0.0, 0.0, 0.0, 0.54, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088];['The European Union should negotiate international trade agreements on behalf of Germany', 'The German government should negotiate trade agreements for Germany rather than the EU', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;0.54;0.350253807106599;3;7;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;9;Likert Scale
116;Some countries are considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Would you approve or disapprove of such a ban in your country?;'United States': [0.3010752688172043, 0.6989247311827957], 'Britain': [0.6595744680851063, 0.3404255319148936];['Approve', 'Disapprove'];GAS;0.6989247311827957;0.6595744680851063;1;0;Disapprove;Approve;D. Politics and policy;2;Binary Choice
117;Which of these characteristics do you associate with Muslims?...Greedy...Do you associate this with Muslims or not?;'United States': [0.22727272727272727, 0.7727272727272727], 'Britain': [0.18823529411764706, 0.8117647058823529];['Yes', 'No'];GAS;0.7727272727272727;0.8117647058823529;1;1;No;No;M. Race and ethnicity;2;Binary Choice
118;Now I'm going to read a list of political leaders.  For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. Presidential candidate Barack Obama;'United States': [0.22340425531914893, 0.3829787234042553, 0.1702127659574468, 0.22340425531914893], 'Britain': [0.15294117647058825, 0.5764705882352941, 0.1411764705882353, 0.12941176470588237];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];GAS;0.3829787234042553;0.5764705882352941;1;1;Some confidence;Some confidence;D. Politics and policy;4;Likert Scale
119;All things considered, do you think that Muslim nations should be more economically prosperous than they are today, or don't you think so?;'United States': [0.6666666666666666, 0.3333333333333333], 'Britain': [0.7468354430379747, 0.25316455696202533];['Yes, should be more prosperous', 'No, should not be more prosperous'];GAS;0.6666666666666666;0.7468354430379747;0;0;Yes, should be more prosperous;Yes, should be more prosperous;D. Politics and policy;2;Binary Choice
120;Do you have friends or relatives who live in another country that you write to, telephone or visit regularly?;'United States': [0.28, 0.72, 0.0], 'Britain': [0.63, 0.37, 0.0];"['Yes', 'No', ""Don't know/Refused""]";GAS;0.72;0.63;1;0;No;Yes;N. Economy and work;3;Binary Choice
121;Would you say that each of the following is doing a very good, somewhat good, somewhat bad, or very bad job dealing with global climate change? e. the European Union;'United States': [0.06, 0.56, 0.24, 0.08, 0.06], 'Britain': [0.06, 0.59, 0.21, 0.09, 0.05];['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'DK/Refused'];GAS;0.56;0.59;1;1;Somewhat good job;Somewhat good job;D. Politics and policy;5;Likert Scale
122;Which of these comes closer to your view?...Our traditional way of life is getting lost, OR our traditional way of life remains strong;'United States': [0.7448979591836735, 0.25510204081632654], 'Britain': [0.8105263157894737, 0.18947368421052632];['Our traditional way of life is getting lost', 'Our traditional way of life remains strong'];GAS;0.7448979591836735;0.8105263157894737;0;0;Our traditional way of life is getting lost;Our traditional way of life is getting lost;A. Social values and attitudes;2;Likert Scale
123;Before the war the U.S. and Britain claimed that Iraq had weapons of mass destruction. These weapons have yet to be found. Why do you think they made this claim: [READ];'United States': [0.550561797752809, 0.34831460674157305, 0.10112359550561797], 'Britain': [0.5217391304347826, 0.44565217391304346, 0.03260869565217391];['US and British leaders were  misinformed by bad intelligence', 'US and British leaders lied to provide a reason for invading', 'WMD might still be found (VOL)'];GAS;0.550561797752809;0.5217391304347826;0;0;US and British leaders were  misinformed by bad intelligence;US and British leaders were  misinformed by bad intelligence;D. Politics and policy;3;Multiple Choice
124;Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. the public;'United States': [0.6363636363636364, 0.35353535353535354, 0.010101010101010102], 'Britain': [0.68, 0.32, 0.0];['Yes, respects personal freedoms', 'No, does not respect personal freedoms', 'DK/Refused'];GAS;0.6363636363636364;0.68;0;0;Yes, respects personal freedoms;Yes, respects personal freedoms;D. Politics and policy;3;Likert Scale
125;I'd like your opinion about some possible international concerns for your country. What if the Taliban regained control of Afghanistan, would this be a major threat, a minor threat or not a threat to the well being of your country?;'United States': [0.7916666666666666, 0.17708333333333334, 0.03125], 'Britain': [0.631578947368421, 0.28421052631578947, 0.08421052631578947];['Major threat', 'Minor threat', 'Not a threat'];GAS;0.7916666666666666;0.631578947368421;0;0;Major threat;Major threat;G. International affairs;3;Likert Scale
126;I'd like your opinion about some possible international concerns for your country. Do you think that political instability in Pakistan is a major threat, a minor threat or not a threat to your country? ;'United States': [0.4111111111111111, 0.4777777777777778, 0.1111111111111111], 'Britain': [0.34065934065934067, 0.5164835164835165, 0.14285714285714285];['Major threat', 'Minor threat', 'Not a threat'];GAS;0.4777777777777778;0.5164835164835165;1;1;Minor threat;Minor threat;G. International affairs;3;Likert Scale
127;Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. c. sensitive issues related to national security;'United States': [0.35, 0.59, 0.06], 'Britain': [0.29, 0.66, 0.05];['Media organizations should be able to publish information about these things', 'Government should be able to prevent media organizations from publishing information about these things', 'DK/Refused'];GAS;0.59;0.66;1;1;Government should be able to prevent media organizations from publishing information about these things;Government should be able to prevent media organizations from publishing information about these things;D. Politics and policy;3;Binary Choice
128;What do you think about the growing trade and business ties between your country and other countries - do you think it is a very good thing, somewhat good, somewhat bad or a very bad thing for our country?;'United States': [0.31, 0.43, 0.14, 0.07, 0.05], 'Britain': [0.5, 0.39, 0.06, 0.02, 0.03];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad', 'DK/Refused'];GAS;0.43;0.5;1;0;Somewhat good;Very good;D. Politics and policy;5;Likert Scale
129;Please tell me whether you completely agree, mostly agree, mostly disagree, or completely disagree with the following statements...When jobs are scarce, men should have more right to a job than women;'United States': [0.05, 0.08, 0.18, 0.67, 0.02], 'Britain': [0.050505050505050504, 0.09090909090909091, 0.1919191919191919, 0.6565656565656566, 0.010101010101010102];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree', 'DK/Refused'];GAS;0.67;0.6565656565656566;3;3;Completely disagree;Completely disagree;A. Social values and attitudes;5;Likert Scale
130;And as a consequence of the war, do you have more confidence or less confidence that the US wants to promote democracy all around the world?;'United States': [0.7419354838709677, 0.22580645161290322, 0.03225806451612903], 'Britain': [0.45054945054945056, 0.4945054945054945, 0.054945054945054944];['More', 'Less', 'Same (VOL.)'];GAS;0.7419354838709677;0.4945054945054945;0;1;More;Less;D. Politics and policy;3;Likert Scale
131;Which statement comes closer to your own views, even if neither is exactly right? We should reduce air pollution even if it means slower economic growth, Air pollution is the price we have to pay for continued economic growth;'United States': [0.0, 0.0, 0.54, 0.0, 0.0, 0.45, 0.0, 0.01, 0.0, 0.0, 0.0], 'Britain': [0.0, 0.3401015228426396, 0.0, 0.0, 0.15228426395939088, 0.0, 0.0, 0.005076142131979695, 0.0, 0.350253807106599, 0.15228426395939088];['We should reduce air pollution even if it means slower economic growth', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'Air pollution is the price we have to pay for continued economic growth', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'Both (VOL)', 'DK/Refused', 'Neither (VOL)', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;0.54;0.350253807106599;2;9;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;11;Likert Scale
132;Now, thinking about some possible economic concerns for the country. Do you think that rising prices pose(s) a major threat, a minor threat, or no threat to the economic well being of your country? ;'United States': [0.6530612244897959, 0.30612244897959184, 0.04081632653061224], 'Britain': [0.6836734693877551, 0.29591836734693877, 0.02040816326530612];['Major threat', 'Minor threat', 'No threat'];GAS;0.6530612244897959;0.6836734693877551;0;0;Major threat;Major threat;N. Economy and work;3;Likert Scale
133;Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of...British Prime Minister Tony Blair;'United States': [0.4111111111111111, 0.4222222222222222, 0.07777777777777778, 0.044444444444444446, 0.044444444444444446], 'Britain': [0.14285714285714285, 0.37755102040816324, 0.24489795918367346, 0.23469387755102042, 0.0];['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Never heard of'];GAS;0.4222222222222222;0.3775510204081632;1;1;Somewhat favorable;Somewhat favorable;D. Politics and policy;5;Likert Scale
134;Now I'm going to read a list of political leaders. For each, tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all?...U.S. Secretary of State Hillary Clinton.;'United States': [0.35051546391752575, 0.422680412371134, 0.1134020618556701, 0.1134020618556701], 'Britain': [0.125, 0.53125, 0.19791666666666666, 0.14583333333333334];['A lot of confidence', 'Some confidence', 'Not too much confidence', 'No confidence at all'];GAS;0.422680412371134;0.53125;1;1;Some confidence;Some confidence;D. Politics and policy;4;Likert Scale
135;I'd like your opinion about some possible international concerns for your country. Do you think that China's power and influence is a major threat, a minor threat or not a threat to your country? ;'United States': [0.4631578947368421, 0.4, 0.1368421052631579], 'Britain': [0.3118279569892473, 0.4731182795698925, 0.21505376344086022];['Major threat', 'Minor threat', 'Not a threat'];GAS;0.4631578947368421;0.4731182795698925;0;1;Major threat;Minor threat;G. International affairs;3;Likert Scale
136;Now I am going to read you a list of things that may be problems in our country.  As I read each one, please tell me if you think it is a very big problem, a moderately big problem, a small problem or not a problem at all...public debt;'United States': [0.6494845360824743, 0.25773195876288657, 0.061855670103092786, 0.030927835051546393], 'Britain': [0.5510204081632653, 0.35714285714285715, 0.08163265306122448, 0.01020408163265306];['Very big problem', 'Moderately big problem', 'Small problem', 'Not a problem at all'];GAS;0.6494845360824743;0.5510204081632653;0;0;Very big problem;Very big problem;N. Economy and work;4;Likert Scale
137;How likely do you think it is that women in our country will eventually have the same rights as men – very likely, somewhat likely, not too likely or not at all likely?;'United States': [0.45, 0.3, 0.07, 0.03, 0.14, 0.01], 'Britain': [0.5, 0.31, 0.09, 0.04, 0.05, 0.01];['Very likely', 'Somewhat likely', 'Not too likely', 'Not at all likely', 'Women already have the same rights as men (DO NOT READ)', 'DK/Refused'];GAS;0.45;0.5;0;0;Very likely;Very likely;A. Social values and attitudes;6;Likert Scale
138;As I read another list of statements, for each one, please tell me whether you completely agree, mostly agree, mostly disagree or completely disagree with it...Religion is a matter of personal faith and should be kept separate from government policy.;'United States': [0.5612244897959183, 0.25510204081632654, 0.09183673469387756, 0.09183673469387756], 'Britain': [0.6666666666666666, 0.25252525252525254, 0.050505050505050504, 0.030303030303030304];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.5612244897959183;0.6666666666666666;0;0;Completely agree;Completely agree;D. Politics and policy;4;Likert Scale
139;Do you personally believe that gambling is morally acceptable, morally unacceptable, or is it not a moral issue? ;'United States': [0.25510204081632654, 0.24489795918367346, 0.47959183673469385, 0.02040816326530612], 'Britain': [0.22448979591836735, 0.2653061224489796, 0.45918367346938777, 0.05102040816326531];['Morally acceptable', 'Morally unacceptable', 'Not a moral issue', 'Depends on the situation (VOL)'];GAS;0.4795918367346938;0.4591836734693877;2;2;Not a moral issue;Not a moral issue;A. Social values and attitudes;4;Likert Scale
140;Which one of these comes closest to your opinion, number 1 or number 2?...#1 - Homosexuality should be accepted by society or #2 - Homosexuality should not be accepted by society;'United States': [0.6451612903225806, 0.3548387096774194, 0.0, 0.0, 0.0], 'Britain': [0.8085106382978723, 0.19148936170212766, 0.0, 0.0, 0.0];['Homosexuality is a way of life that should be accepted by society', 'Homosexuality is a way of life that should not be accepted by society', 'Homosexuality should be accepted by society', 'Homosexuality should not be accepted by society', 'DK/Refused'];GAS;0.6451612903225806;0.8085106382978723;0;0;Homosexuality is a way of life that should be accepted by society;Homosexuality is a way of life that should be accepted by society;I. Gender and LGBTQ;5;Likert Scale
141;Which comes closer to describing your view?...I like the pace of modern life, OR I do not like the pace of modern life;'United States': [0.5, 0.5], 'Britain': [0.5204081632653061, 0.47959183673469385];['I like the pace of modern life', 'I do not like the pace of modern life'];GAS;0.5;0.5204081632653061;0;0;I like the pace of modern life;I like the pace of modern life;A. Social values and attitudes;2;Binary Choice
